edge,score_1,score_2
a1.h21->m1,-0.00031089783,-0.027709961
m15->logits,-0.009155273,0.052490234
input->a0.h2<q>,0.0012283325,0.01953125
input->m4,0.00050354004,-0.009216309
input->m10,0.0008201599,-0.0076293945
a14.h17->logits,-0.000541687,0.007537842
input->a0.h1<q>,0.014709473,0.006439209
input->a0.h25<q>,0.00039100647,0.016357422
m0->a1.h30<q>,-0.0011291504,-0.022460938
a0.h2->m0,0.0016326904,-0.0077819824
m1->logits,0.0011444092,0.7890625
m0->a1.h31<q>,0.0009384155,0.00982666
a0.h8->m0,0.0008583069,-0.006958008
a1.h1->m1,-0.0005912781,-0.025634766
a14.h11->logits,-0.00042915344,0.020751953
input->m0,-0.18457031,-1.546875
a14.h2->logits,0.00043678284,-0.010131836
m12->m15,-0.0018539429,-0.008605957
input->a0.h22<q>,0.0005378723,0.006866455
input->m2,0.00062179565,-0.007659912
input->a0.h18<q>,0.0003566742,0.010314941
input->m11,0.0010910034,-0.0071105957
input->a0.h13<q>,0.00044441223,0.011352539
a1.h23->m1,-0.00032424927,0.020751953
m0->m15,-0.0010070801,-0.0072021484
input->a0.h29<q>,-0.0016479492,-0.14257812
a0.h29->m0,0.0006980896,-0.015014648
input->a1.h23<q>,-0.00051116943,0.01977539
a0.h3->m0,0.0015563965,-0.012084961
input->a0.h31<q>,-0.0022888184,0.78125
a0.h28->m0,0.00061798096,0.037109375
input->a0.h30<q>,0.0049743652,0.041503906
m12->m14,0.00033187866,-0.052246094
input->a0.h10<q>,0.0019226074,0.013305664
m9->m14,0.0004043579,-0.009399414
a0.h31->m0,0.0009460449,-0.13476562
m0->m1,0.0025634766,0.5859375
input->logits,-0.018066406,-0.12792969
m14->logits,0.0017700195,-0.40234375
input->a0.h8<q>,-0.0004196167,0.008178711
a12.h8->logits,-0.0007171631,0.0068359375
input->m9,0.00078201294,-0.011108398
a14.h6->logits,0.0009422302,0.006439209
m2->m3,0.0005378723,0.007537842
input->m1,0.0014266968,-3.265625
m13->m15,-0.0025939941,-0.06738281
input->m13,0.0008430481,-0.06738281
m0->a1.h28<q>,0.0005493164,-0.024414062
input->a0.h9<q>,-0.002670288,-0.006652832
m0->m13,-0.0017471313,-0.096191406
input->a1.h10<q>,0.0006866455,0.0066833496
m0->m14,-0.0015640259,-0.03466797
input->a1.h0<q>,0.0027770996,-0.01171875
m14->m15,-0.0069274902,0.6796875
input->a1.h11<q>,0.00077819824,0.011657715
input->a0.h27<q>,0.0018005371,0.038330078
input->a0.h5<q>,-0.004272461,0.011230469
