edge,score_1,score_2
m0->a1.h6<q>,103.0,28.75
a1.h9->a2.h5<q>,-6.90625,1.3515625
a3.h13->m3,-18.875,2.875
m0->a1.h3<q>,141.0,69.5
m21->m22,-80.5,-28.0
m4->m19,-66.0,3.71875
m4->a8.h8<q>,-9.0625,-4.0
a1.h6->a2.h3<q>,7.0,2.34375
a1.h9->m3,25.75,2.625
a1.h7->a2.h1<q>,-7.0,2.6875
m4->m5,-308.0,-230.0
m4->a8.h12<q>,6.15625,1.796875
a2.h4->m2,22.25,13.5
m5->m21,8.25,2.171875
a1.h6->m1,-38.5,-31.375
m2->m20,-36.25,-11.1875
m4->a5.h11<q>,-10.75,1.5078125
m4->a8.h1<q>,6.25,-1.8515625
a2.h11->m2,-48.0,1.6875
m4->a11.h11<q>,-6.1875,-3.1875
a2.h0->m3,20.75,-1.6484375
m4->m20,-4160.0,-528.0
a1.h0->a2.h10<q>,-23.25,1.78125
m1->a4.h3<q>,-22.875,6.0
a2.h2->m3,18.375,-1.96875
input->m0,-12800.0,70.5
a2.h13->m2,-90.0,-2.296875
m2->a4.h3<q>,118.5,-51.75
m4->m8,220.0,-27.875
m1->m3,-154.0,-53.0
m0->a1.h5<q>,129.0,30.125
m0->a2.h12<q>,-16.75,-1.359375
a1.h8->m3,15.9375,7.53125
input->a1.h13<q>,-12.8125,2.625
m3->a4.h3<q>,138.0,11.0625
a1.h7->m1,432.0,8.0
input->a0.h12<q>,-117.0,8.6875
a1.h5->m1,-1104.0,-19.75
a2.h6->m2,61.0,3.515625
m0->m1,540.0,-272.0
m1->a2.h11<q>,10.5,-5.90625
a0.h11->m0,-52.25,-4.4375
m4->m11,-20.75,-3.859375
a1.h0->m2,-26.875,-6.125
m1->a2.h12<q>,44.75,2.84375
m4->a6.h0<q>,-8.6875,2.53125
m4->a9.h2<q>,9.4375,1.46875
m3->m22,25.75,1.3203125
m8->m20,14.3125,6.71875
a1.h0->a2.h5<q>,-13.625,-2.15625
m2->a4.h5<q>,-13.9375,-25.0
a1.h11->a2.h10<q>,-10.0,1.8203125
m1->a2.h1<q>,-140.0,466.0
m0->a2.h9<q>,-21.5,3.71875
a1.h3->a2.h2<q>,33.5,-3.734375
m1->a2.h6<q>,31.875,2.921875
m0->m3,33.75,-3.984375
m0->a2.h2<q>,-23.375,17.25
a1.h10->a2.h1<q>,71.5,21.75
m4->a11.h5<q>,-6.03125,3.625
a2.h12->m2,-43.25,7.1875
input->a2.h2<q>,-12.3125,-1.65625
m1->a2.h13<q>,6.96875,-2.40625
m4->m6,123.0,314.0
a0.h9->m0,10.5625,13.9375
m4->a7.h3<q>,27.375,2.21875
m4->a21.h10<q>,7.46875,1.609375
a0.h6->m0,-764.0,14.875
m0->a2.h1<q>,78.0,-62.5
m22->a23.h2<q>,-30.25,-11.625
a1.h8->a2.h2<q>,-7.1875,4.375
a1.h10->a2.h7<q>,-19.5,2.28125
m2->a3.h4<q>,9.0,-1.4296875
m4->a11.h10<q>,-6.90625,2.90625
input->m2,17.25,1.96875
a1.h1->m1,332.0,7.3125
m0->a2.h10<q>,-41.0,4.9375
m2->a3.h11<q>,16.75,-1.671875
a1.h4->m1,241.0,-3.015625
