edge,score_1,score_2
m4->a8.h11<q>,-1744.0,-132.0
m22->logits,1896.0,2688.0
m2->m9,1144.0,-161.0
m6->m9,-46.0,-48.75
m1->a2.h2<q>,42.5,-304.0
m4->m13,-192.0,56.75
m2->a3.h9<q>,-2512.0,-209.0
m3->a4.h5<q>,-227.0,-96.0
a1.h8->m1,278.0,260.0
m5->m9,90.0,30.375
a1.h1->m1,-55.25,-158.0
m2->m3,114176.0,-1744.0
m2->m7,8320.0,310.0
m0->a1.h9<q>,-544.0,186.0
m4->m17,-408.0,-182.0
m1->a2.h6<q>,36.25,-52.75
m1->a2.h12<q>,36.25,77.0
m4->a6.h0<q>,136.0,51.25
m0->m4,-66.0,128.0
m4->a15.h11<q>,-51.25,39.75
m2->a4.h13<q>,-2288.0,-49.0
m4->a7.h6<q>,366.0,-48.25
m4->a5.h4<q>,40.0,-120.5
m4->a6.h1<q>,-212.0,-560.0
m4->a10.h5<q>,788.0,140.0
m3->a4.h0<q>,326.0,112.5
m4->a9.h4<q>,-382.0,-32.75
a0.h7->m0,81.5,320.0
a0.h0->m0,-312.0,-145.0
m4->m21,-556.0,1784.0
m1->a4.h5<q>,-74.0,24.125
m4->a8.h7<q>,-450.0,400.0
m4->m18,62.75,-101.0
m4->a5.h1<q>,308.0,50.25
m4->m10,-2640.0,-720.0
m0->a1.h11<q>,-78.0,318.0
m22->m23,224.0,-1864.0
m2->a3.h13<q>,-70.5,138.0
m4->a7.h11<q>,87.0,-143.0
m1->a2.h0<q>,-102.5,-139.0
m1->a2.h3<q>,-163.0,50.5
a1.h3->a2.h1<q>,-32.25,-48.25
m2->a8.h6<q>,-253.0,72.0
m2->a3.h7<q>,71.5,66.0
m4->a6.h7<q>,67.5,152.0
m7->m8,-161.0,-59.25
a1.h4->a2.h1<q>,-27.875,63.75
a1.h10->m2,-43.0,211.0
m4->a16.h4<q>,-44.5,-117.0
m4->a8.h9<q>,-3648.0,340.0
a0.h1->m0,-308.0,-708.0
m0->a1.h5<q>,-86.0,164.0
m1->a2.h1<q>,-158.0,70.5
m0->m3,148.0,-99.0
m4->m6,2352.0,12544.0
m4->a10.h0<q>,219.0,70.5
m4->a16.h5<q>,-110.0,39.0
m4->a13.h4<q>,-101.0,-24.375
m20->m21,-93.0,-43.5
m4->a5.h2<q>,438.0,420.0
m4->m19,-488.0,402.0
a1.h9->m1,-38.0,216.0
m4->a8.h1<q>,300.0,-42.0
m2->a3.h4<q>,424.0,24.75
a0.h11->m0,50.5,-79.0
m4->a7.h3<q>,237.0,-49.0
m2->a3.h12<q>,253.0,36.0
m2->a3.h11<q>,215.0,-27.875
m3->m6,40.5,136.0
m0->a1.h2<q>,-104.5,24.125
m4->a18.h13<q>,57.5,34.5
m4->a13.h11<q>,-32.75,25.25
m4->a7.h2<q>,-772.0,-62.0
m4->a9.h12<q>,476.0,-36.75
m1->a2.h10<q>,-201.0,179.0
m4->a6.h3<q>,11776.0,14976.0
m4->a5.h10<q>,-84.0,-143.0
m4->a10.h2<q>,79.0,-39.0
m4->a10.h3<q>,33.0,-36.5
m4->a8.h13<q>,-2448.0,107.5
m1->a2.h13<q>,81.0,-94.5
m0->m2,152.0,298.0
m4->a14.h4<q>,56.0,-45.75
m2->a3.h5<q>,30.125,36.75
m4->a6.h9<q>,224.0,187.0
a0.h4->m0,-272.0,286.0
a2.h4->m2,-33.5,142.0
m4->a16.h9<q>,-72.5,26.125
m4->a5.h12<q>,-876.0,-33.75
a1.h13->m1,216.0,76.0
m1->a2.h8<q>,-306.0,-250.0
m2->a3.h6<q>,131.0,25.75
m4->a6.h13<q>,424.0,-672.0
m4->m12,956.0,-170.0
m4->a10.h12<q>,-215.0,-67.5
m4->a11.h5<q>,-104.5,84.0
a0.h3->m0,-298.0,412.0
m4->a7.h10<q>,288.0,-178.0
a1.h2->m1,44.5,-134.0
a2.h3->m3,30.75,-42.25
m4->a8.h5<q>,-49.25,-69.5
a1.h1->m2,-40.25,78.0
a1.h10->a2.h8<q>,-31.375,-34.25
m2->m5,-3744.0,-404.0
m4->a7.h8<q>,69.0,486.0
m2->a3.h1<q>,-137.0,84.5
m2->a3.h8<q>,50.5,70.0
m3->a6.h3<q>,105.0,142.0
m2->a4.h0<q>,4608.0,-51.0
a0.h9->m0,38.75,-652.0
m1->a2.h7<q>,-51.0,116.0
m4->a14.h5<q>,-70.5,-33.5
a1.h6->m2,-48.0,179.0
m3->m5,-280.0,-294.0
m4->a17.h2<q>,-102.5,27.0
m4->m14,1208.0,54.75
m1->a4.h1<q>,-344.0,33.0
m4->logits,-109.0,-378.0
m1->a3.h1<q>,-27.5,28.0
a3.h2->m3,-31.0,-74.5
m3->a4.h2<q>,84.0,-51.5
m6->m7,67.0,-44.25
a2.h3->m2,-43.0,-31.625
m4->a9.h0<q>,-324.0,33.0
m4->a9.h6<q>,112.0,32.5
m4->a14.h12<q>,110.0,-87.5
m4->a15.h6<q>,81.0,155.0
a1.h7->m2,-73.0,-133.0
a0.h6->m0,-253.0,170.0
m4->m5,-29952.0,-35584.0
m4->a6.h10<q>,-149.0,262.0
m4->a10.h4<q>,-780.0,68.0
m2->a4.h1<q>,-9280.0,137.0
m4->a10.h7<q>,197.0,46.75
input->m0,-1304.0,-1712.0
a2.h2->m3,-28.0,-57.0
m0->a1.h4<q>,-448.0,55.25
a2.h6->m3,33.25,39.75
m4->a6.h2<q>,412.0,-328.0
m4->a6.h8<q>,-82.5,-664.0
m4->a8.h12<q>,1816.0,252.0
m1->m2,-4320.0,-1792.0
m4->a6.h12<q>,736.0,-170.0
m4->m9,9984.0,77.5
a2.h5->m2,-54.5,109.0
m1->m5,-182.0,26.75
m4->a5.h0<q>,49.0,88.5
m4->m8,-87040.0,-4224.0
m6->m20,-49.25,-26.375
m2->a9.h13<q>,39.0,-32.5
m4->m16,-238.0,-456.0
m0->a1.h6<q>,-157.0,-58.25
m2->a4.h3<q>,-55808.0,3456.0
a0.h10->m0,59.0,-95.5
m0->a1.h1<q>,27.5,-28.5
m2->a6.h3<q>,1464.0,114.5
m4->a13.h10<q>,42.25,-31.625
m2->a8.h9<q>,-286.0,31.375
m4->a7.h5<q>,192.0,156.0
m2->m6,52.5,191.0
m4->a15.h5<q>,-45.5,-33.75
m2->a4.h6<q>,-552.0,-27.5
m0->a1.h8<q>,-360.0,892.0
m4->a16.h3<q>,-41.25,49.0
a1.h4->m1,-100.5,-87.0
m4->a16.h11<q>,64.5,25.5
m4->a15.h2<q>,-126.0,-198.0
m21->m22,-179.0,-72.5
m4->a5.h9<q>,-354.0,165.0
m4->a15.h4<q>,-72.5,-84.0
m4->m15,-262.0,-400.0
m2->a5.h8<q>,-356.0,-38.5
m4->a9.h8<q>,225.0,-436.0
m1->a3.h9<q>,-69.0,39.75
m3->m4,8032.0,1728.0
m4->a5.h7<q>,-338.0,-234.0
m4->a7.h0<q>,32.0,-36.75
a1.h9->m2,-41.25,64.0
m0->a1.h12<q>,-48.0,292.0
m3->a4.h1<q>,-736.0,-28.125
m4->a7.h7<q>,314.0,-136.0
a2.h6->m2,-75.5,-58.5
m0->m1,-442.0,-3168.0
m4->m11,1160.0,-64.5
m4->a5.h11<q>,79.5,-118.0
m4->a9.h13<q>,588.0,-290.0
m2->m8,-8832.0,-206.0
m4->m7,77824.0,4992.0
m2->a3.h0<q>,47.25,-55.25
m4->m22,2256.0,1440.0
m4->a5.h13<q>,112.0,564.0
m4->a5.h8<q>,-2944.0,-260.0
m2->m4,81408.0,-239.0
m2->a4.h5<q>,-3120.0,-46.0
m1->m4,1208.0,346.0
m4->a8.h10<q>,1224.0,-65.5
m3->m8,-780.0,-34.0
m0->a2.h10<q>,-41.0,-46.0
m4->a8.h4<q>,216.0,158.0
a1.h10->m1,51.0,-430.0
m4->a16.h0<q>,142.0,-48.0
m4->m20,-4512.0,-1536.0
m4->a8.h6<q>,-2464.0,2416.0
a1.h3->m1,-63.0,-174.0
m4->a6.h4<q>,1824.0,-290.0
m4->a10.h10<q>,-1256.0,-62.5
a0.h2->m0,-296.0,-120.5
m2->a8.h4<q>,47.0,30.875
m4->a9.h3<q>,-119.0,70.5
a1.h12->m1,-34.25,-54.75
a4.h3->m4,-45.0,-600.0
m0->a1.h7<q>,354.0,246.0
m1->m3,3952.0,-201.0
m4->a21.h12<q>,-45.5,-35.0
m4->a6.h11<q>,-123.0,-182.0
m5->m6,115.0,35.25
a1.h11->m2,-53.5,-382.0
m3->a4.h3<q>,-5568.0,672.0
