edge,score_1,score_2
m2->a8.h7<q>,-197.0,-262.0
m2->a4.h6<q>,-207.0,-3008.0
m4->a6.h2<q>,237.0,1968.0
m4->a6.h7<q>,-152.0,-242.0
m4->a5.h9<q>,161.0,-1576.0
m0->a1.h3<q>,-147.0,418.0
m4->a6.h0<q>,41.5,-214.0
m20->m21,53.0,41.25
m4->a14.h7<q>,143.0,-77.0
a1.h1->m1,-97.5,210.0
m4->a10.h5<q>,-74.0,466.0
a1.h5->m2,34.75,97.5
m4->a9.h10<q>,-151.0,-1512.0
m2->a3.h8<q>,148.0,-672.0
m4->a10.h9<q>,239.0,-266.0
m2->a8.h6<q>,-768.0,756.0
m4->a5.h5<q>,-51.75,-143.0
m4->a8.h4<q>,-128.0,-2576.0
m6->m7,-21.625,412.0
m2->a4.h3<q>,912.0,77824.0
m4->a9.h7<q>,474.0,-224.0
m4->a11.h7<q>,-25.0,-207.0
a2.h10->m2,40.75,197.0
m3->m8,336.0,-400.0
m4->a15.h5<q>,19.0,184.0
m4->a11.h2<q>,23.0,86.5
m4->a14.h5<q>,-29.25,-87.0
m4->a6.h6<q>,58.5,-122.0
a0.h13->m0,23.625,-209.0
m4->m5,-9984.0,-20352.0
m1->a2.h10<q>,-78.5,272.0
m4->m17,-54.0,788.0
m4->a11.h10<q>,-30.375,-107.0
m4->a17.h6<q>,21.75,-67.0
m4->a5.h13<q>,-376.0,-2352.0
m4->a8.h7<q>,-2208.0,-3904.0
m1->a2.h13<q>,-91.0,54.75
m2->a3.h11<q>,74.0,354.0
m4->a8.h10<q>,-2800.0,-680.0
m3->m4,2144.0,-5952.0
m4->a10.h0<q>,-37.0,168.0
m4->a8.h6<q>,-7552.0,13824.0
m1->a4.h7<q>,-19.875,-55.25
m0->a1.h5<q>,-41.5,-97.5
m1->a2.h1<q>,144.0,84.5
m0->a2.h1<q>,14.5,-70.0
m4->m14,-268.0,1232.0
a1.h10->m1,-76.0,56.25
m4->a7.h8<q>,20.375,-344.0
m4->a17.h4<q>,29.0,68.0
m4->a9.h2<q>,-141.0,1120.0
m4->a8.h3<q>,-14.875,354.0
m4->a8.h9<q>,900.0,184.0
m1->m3,1256.0,-5248.0
m4->a5.h8<q>,-188.0,2320.0
a0.h6->m0,-149.0,148.0
m4->a8.h13<q>,2512.0,-3904.0
m6->a8.h6<q>,-15.125,189.0
m4->a15.h1<q>,35.75,-500.0
m3->a4.h6<q>,-38.0,-560.0
m2->a6.h2<q>,19.625,112.0
m2->m11,-45.0,47.75
m2->a3.h3<q>,-154.0,-1800.0
a2.h13->m2,37.0,74.0
m4->a10.h2<q>,422.0,-680.0
m4->a10.h7<q>,448.0,-510.0
m4->a8.h1<q>,-286.0,-4800.0
m4->a9.h8<q>,18.125,-107.5
a0.h1->m0,-96.5,-87.0
m4->a13.h0<q>,-48.75,492.0
m4->a13.h8<q>,-24.75,-123.0
m6->m21,-28.5,-39.75
m4->a14.h8<q>,14.3125,-39.0
m4->m7,-29056.0,92160.0
a1.h8->m2,-36.75,216.0
a1.h13->m1,62.5,57.5
m2->a9.h2<q>,-16.875,100.0
m2->a5.h8<q>,-24.0,129.0
m0->a1.h7<q>,-60.5,-79.5
m4->a7.h7<q>,79.5,-122.0
m0->a2.h7<q>,36.75,-56.75
m2->a3.h10<q>,-23.625,-73.5
m1->m8,14.75,-93.5
m4->a7.h2<q>,68.0,-258.0
m2->a8.h12<q>,-40.5,174.0
m4->a8.h5<q>,-16.125,896.0
m2->a4.h7<q>,-808.0,-1392.0
m2->a4.h10<q>,184.0,39.5
m2->a6.h3<q>,-242.0,134.0
a1.h8->m1,52.5,-356.0
m3->a4.h2<q>,68.0,892.0
m3->a4.h3<q>,110.0,12608.0
a1.h12->m1,14.375,40.25
m4->a6.h1<q>,428.0,900.0
m4->a7.h12<q>,-47.25,-330.0
m4->a10.h4<q>,41.5,125.5
m4->m8,41728.0,-40704.0
m4->a11.h8<q>,350.0,-89.0
m4->m11,-422.0,1352.0
m4->a12.h4<q>,-36.5,41.25
m2->m7,-2624.0,5728.0
m4->a9.h3<q>,-60.25,250.0
m4->a13.h3<q>,-24.75,-78.5
m3->m7,-220.0,884.0
a1.h7->m1,-25.75,126.0
m4->a9.h0<q>,-908.0,-318.0
m4->a7.h3<q>,-43.0,368.0
a1.h11->m2,-25.75,-70.0
m2->a5.h12<q>,66.5,-52.25
m4->a9.h5<q>,-304.0,-282.0
m4->a10.h1<q>,61.5,-1020.0
m2->a8.h4<q>,-17.75,-196.0
a2.h5->m2,53.75,131.0
m1->a4.h3<q>,65.5,1536.0
m2->a8.h10<q>,-260.0,-39.5
a1.h5->m1,-42.0,-103.5
m0->m1,396.0,-1720.0
m0->a1.h12<q>,-680.0,442.0
a0.h10->m0,-28.5,182.0
m1->m2,-6016.0,8576.0
m4->a7.h13<q>,-15.0625,856.0
m4->m16,88.5,-1832.0
m4->a15.h11<q>,270.0,-182.0
m4->m15,-184.0,136.0
m1->a2.h11<q>,-41.25,47.75
m4->a9.h1<q>,26.375,660.0
m2->m14,-17.0,63.25
m8->a9.h7<q>,-17.0,-39.0
a0.h3->m0,-133.0,122.0
m4->a7.h5<q>,-230.0,-2624.0
m0->a1.h8<q>,-1176.0,964.0
a2.h7->m2,31.0,69.0
m2->m9,215.0,-350.0
m3->a4.h7<q>,-99.0,-237.0
m4->a6.h11<q>,103.5,-95.5
a2.h12->m2,39.25,56.75
m1->a2.h7<q>,-93.5,197.0
m0->a1.h10<q>,-114.0,110.5
m2->a3.h7<q>,15.4375,-1912.0
m2->a8.h2<q>,-35.0,38.25
m0->a1.h9<q>,-41.5,290.0
a0.h4->m0,-63.25,-44.25
a2.h1->m2,-28.75,73.0
m2->a4.h0<q>,-1864.0,-136.0
a2.h9->m2,51.5,-82.5
m1->a2.h5<q>,-67.0,87.0
m4->a6.h3<q>,-2160.0,1432.0
m4->a15.h0<q>,-151.0,326.0
m2->a4.h1<q>,-304.0,358.0
m4->a10.h8<q>,-61.5,46.5
m3->a8.h6<q>,-67.0,96.5
a1.h9->m1,-28.5,177.0
m6->a7.h5<q>,-22.25,-193.0
m4->a5.h4<q>,-79.5,-179.0
input->m0,-1104.0,-544.0
m2->a7.h5<q>,-16.125,-195.0
m1->a3.h3<q>,-18.125,164.0
m1->a2.h9<q>,-129.0,50.25
m4->a7.h9<q>,-672.0,-414.0
m4->a18.h3<q>,-23.25,35.0
m2->a8.h0<q>,-109.0,45.0
m4->a7.h10<q>,-20.125,85.0
a0.h9->m0,48.75,288.0
m7->m8,56.25,63.25
m2->a6.h9<q>,61.75,-47.25
m22->logits,-2400.0,-4048.0
m4->m9,4320.0,-9856.0
m0->m2,-368.0,184.0
m6->a9.h7<q>,22.75,96.0
m2->a3.h6<q>,-23.875,143.0
m4->m6,15296.0,4512.0
m4->a10.h11<q>,840.0,-276.0
m4->a12.h10<q>,35.25,-86.5
m4->m12,-101.0,856.0
m0->m3,88.5,-220.0
m4->a5.h10<q>,179.0,145.0
m4->a6.h9<q>,732.0,-900.0
m2->m5,-736.0,-1424.0
m2->a3.h9<q>,-968.0,-2224.0
m2->a4.h5<q>,266.0,-187.0
m4->a10.h3<q>,-21.625,424.0
m4->a10.h12<q>,211.0,72.0
m3->m5,-93.0,-179.0
m0->a1.h4<q>,-528.0,482.0
m3->a4.h5<q>,14.5,-102.0
m2->a8.h13<q>,215.0,-172.0
m4->a15.h2<q>,-37.75,-197.0
m4->a5.h7<q>,-128.0,-107.5
a0.h7->m0,223.0,129.0
m4->a9.h13<q>,560.0,-214.0
m4->a8.h12<q>,-338.0,2848.0
m4->a5.h12<q>,708.0,-322.0
m4->a5.h11<q>,205.0,672.0
m4->a9.h11<q>,-74.5,-86.5
m4->m10,328.0,1048.0
m4->a15.h4<q>,-154.0,624.0
m4->a9.h9<q>,18.0,152.0
m4->a16.h2<q>,14.75,-179.0
m4->a5.h3<q>,173.0,-136.0
m4->a13.h9<q>,-70.5,-169.0
m2->a8.h1<q>,-28.5,-296.0
m3->m9,53.75,-113.5
m4->m18,410.0,53.0
m2->a3.h4<q>,-59.25,440.0
m2->a5.h13<q>,-33.5,-126.0
m4->a5.h1<q>,-19.75,56.25
m4->a16.h9<q>,-62.75,-61.0
m3->a8.h7<q>,-21.5,-43.0
a2.h11->m2,47.75,36.5
m4->a12.h3<q>,-27.25,77.5
m4->a6.h5<q>,-556.0,-506.0
m2->m12,-20.5,44.25
m2->a4.h2<q>,920.0,10176.0
m1->a2.h4<q>,-29.125,104.5
m2->m6,1184.0,-59.75
m2->a10.h2<q>,45.5,-45.0
m4->m22,-1328.0,-1608.0
m0->a1.h6<q>,205.0,248.0
m2->a5.h9<q>,16.0,-109.0
m4->a18.h11<q>,18.25,45.5
m4->a9.h12<q>,36.75,150.0
m2->m4,16768.0,-30592.0
m4->m20,3088.0,1464.0
m0->a1.h2<q>,-96.5,201.0
m6->a7.h6<q>,-29.875,-205.0
m2->m3,38400.0,-226304.0
m4->m21,-320.0,-484.0
m1->m4,420.0,-528.0
m4->a7.h11<q>,-156.0,-1328.0
m4->a17.h11<q>,-17.875,64.0
m4->a16.h1<q>,148.0,138.0
m22->m23,67.5,418.0
m21->m22,122.0,161.0
m4->m13,294.0,-464.0
m2->a4.h13<q>,74.0,-464.0
m4->a7.h6<q>,74.0,-744.0
m4->m19,-41.0,-158.0
m2->a4.h4<q>,64.0,-336.0
m3->a4.h4<q>,17.125,-56.0
m2->m20,151.0,49.25
m3->a4.h1<q>,-26.875,224.0
m4->a6.h10<q>,-23.5,161.0
m4->a7.h0<q>,-103.0,75.0
m4->a9.h6<q>,-18.25,262.0
m4->a16.h3<q>,29.625,-86.5
m2->a3.h0<q>,-22.75,-856.0
m3->a4.h0<q>,-170.0,-62.5
m1->a2.h2<q>,39.5,205.0
m2->a4.h8<q>,282.0,-129.0
m0->a1.h11<q>,111.5,-59.75
m4->a15.h13<q>,-47.25,-414.0
m2->m8,3296.0,-2624.0
m4->a8.h11<q>,40.5,10240.0
m2->a3.h2<q>,-454.0,-1144.0
m1->a2.h8<q>,-18.375,348.0
m2->a5.h11<q>,24.625,41.0
m2->m22,-58.0,-45.5
m4->a11.h3<q>,48.75,-156.0
m4->a18.h5<q>,25.125,-46.5
m1->a3.h9<q>,-43.0,-54.0
m4->a14.h4<q>,200.0,-246.0
m4->a8.h2<q>,-392.0,2240.0
m4->logits,124.0,198.0
m4->a17.h12<q>,-27.625,60.75
m4->a10.h10<q>,-46.0,-792.0
a2.h2->m3,16.375,-94.5
m4->a8.h0<q>,-1032.0,652.0
m4->a20.h1<q>,-29.625,-60.75
a1.h11->m1,46.75,340.0
a1.h4->m1,-196.0,-124.0
m4->a16.h4<q>,-114.0,482.0
m2->a3.h13<q>,-91.5,-492.0
m6->m9,22.125,-86.0
a2.h3->m2,26.25,-56.0
