edge,score_1,score_2
m4->m19,-15.75,-720.0
m3->a4.h0<q>,-87.0,-23.625
m4->a5.h6<q>,146.0,-33.0
m4->a5.h8<q>,31.625,-47.75
m4->a19.h13<q>,-17.25,56.75
m3->m9,27.375,-123.5
a1.h9->m1,17.75,27.875
a2.h8->m2,53.0,241.0
m1->a3.h9<q>,-13.9375,-92.0
m4->a9.h4<q>,-11.625,178.0
m1->a2.h3<q>,16.375,43.5
a1.h4->a2.h2<q>,17.625,-22.75
m0->a1.h7<q>,-15.8125,165.0
a2.h11->m2,34.25,75.5
a1.h8->a2.h3<q>,-16.125,-61.5
m4->a5.h5<q>,44.75,77.0
m1->a2.h4<q>,-34.0,-22.75
m1->m3,1840.0,816.0
m5->m8,-15.625,-25.5
a1.h7->m2,-13.4375,47.75
m0->a1.h11<q>,100.5,428.0
m4->a8.h9<q>,-193.0,49.5
a2.h2->m2,-150.0,-187.0
m4->a15.h2<q>,-74.5,205.0
a1.h3->a2.h2<q>,27.625,-31.25
a2.h1->m2,-284.0,192.0
m2->a4.h5<q>,116.0,92.0
m4->a10.h8<q>,21.875,93.0
m1->a4.h5<q>,-25.5,-37.0
m4->a5.h2<q>,1048.0,-206.0
m0->m2,37.5,-506.0
a1.h5->m2,33.5,55.25
m4->a8.h8<q>,276.0,192.0
a1.h7->m1,93.0,157.0
m4->a10.h1<q>,11.8125,238.0
a0.h11->m0,-243.0,308.0
m22->logits,4480.0,1184.0
m3->a4.h1<q>,12.3125,-166.0
m4->a9.h10<q>,82.0,-178.0
a1.h13->m1,-13.25,36.25
m4->a15.h10<q>,-156.0,109.0
m1->a2.h13<q>,-10.0625,-31.625
m4->a7.h8<q>,63.0,-44.75
m1->a2.h1<q>,-356.0,-129.0
m0->a1.h13<q>,-21.5,130.0
a1.h8->m2,-45.5,-94.5
m22->m23,-1488.0,-860.0
m2->a3.h5<q>,39.75,-162.0
m4->a6.h2<q>,-87.5,-89.0
m4->a17.h9<q>,-10.625,89.0
m0->m3,-22.125,272.0
m4->a5.h1<q>,14.0625,43.75
a1.h5->a2.h3<q>,21.75,-196.0
m6->m9,-9.8125,-33.25
m2->a4.h13<q>,23.875,-38.5
m4->a9.h13<q>,73.0,-108.0
a2.h5->m3,13.75,67.5
a3.h5->m3,-12.0,23.0
m2->m8,336.0,-402.0
m4->a9.h11<q>,27.25,191.0
m7->m8,-12.25,-54.0
m4->a10.h2<q>,-262.0,-104.5
m4->a7.h0<q>,-552.0,25.0
m4->a8.h5<q>,-350.0,-37.0
m6->m7,-62.75,182.0
m4->m6,24576.0,-38144.0
m1->m4,-840.0,616.0
m0->a1.h9<q>,-78.0,-296.0
m4->a10.h6<q>,59.75,39.0
a4.h3->m4,15.0625,592.0
m0->a1.h10<q>,21.0,328.0
a0.h4->m0,-368.0,-241.0
a1.h0->m2,13.625,36.5
a1.h8->m3,14.875,32.0
m4->m10,792.0,820.0
m4->m7,-27136.0,23296.0
m2->a3.h13<q>,88.5,36.0
m1->a2.h9<q>,14.5,-41.5
a1.h5->a2.h8<q>,11.75,-28.0
m4->a11.h13<q>,-12.0,77.0
a2.h4->m2,-75.5,-93.0
m4->a8.h4<q>,-255.0,-225.0
m4->a7.h3<q>,-103.0,-308.0
m4->m11,350.0,-410.0
a1.h11->a2.h1<q>,-15.0625,21.0
m3->m8,20.0,-220.0
a1.h6->m1,-100.5,454.0
m4->a6.h1<q>,58.25,242.0
m4->a6.h0<q>,13.125,74.0
m22->a23.h12<q>,23.5,35.5
a1.h8->m1,-260.0,-145.0
m3->m7,-188.0,206.0
a0.h1->m0,-340.0,84.0
m2->a4.h0<q>,-1376.0,-24.5
a1.h8->a2.h1<q>,-26.5,-25.25
m4->a9.h6<q>,-12.875,1232.0
m4->m20,-2048.0,1440.0
a1.h2->a2.h8<q>,-27.0,-58.5
a1.h11->m3,9.1875,24.375
m4->logits,-258.0,-52.75
m4->a8.h11<q>,336.0,394.0
m3->a4.h3<q>,808.0,-1832.0
m4->a7.h6<q>,44.5,-40.25
m4->a21.h5<q>,47.0,-102.5
a2.h10->m2,19.875,-142.0
m1->a2.h8<q>,-82.0,-63.0
m3->a4.h13<q>,12.625,-122.0
m21->m22,-186.0,-59.5
m4->a9.h7<q>,-22.25,220.0
m4->a17.h8<q>,-80.0,26.25
a0.h0->m0,-346.0,86.0
m4->a6.h9<q>,215.0,420.0
m4->a5.h9<q>,-76.0,-43.5
m1->a2.h11<q>,-14.3125,74.0
a3.h1->m3,-21.125,-35.75
a0.h10->m0,-312.0,-292.0
m1->a2.h5<q>,-11.75,22.5
a2.h12->m2,67.5,-35.25
m2->a4.h4<q>,-146.0,87.5
m3->m5,39.75,-43.0
m4->m16,-139.0,-752.0
m2->a3.h10<q>,21.25,-28.0
a0.h9->m0,-258.0,-378.0
a2.h7->m3,-12.0625,62.0
m4->a7.h13<q>,53.5,23.5
m5->m9,-13.25,-38.5
m4->m9,3056.0,-13952.0
m4->a6.h6<q>,13.375,43.75
m4->a13.h3<q>,-24.0,-154.0
m2->m20,-17.25,25.875
m4->a10.h10<q>,78.0,-536.0
m3->a4.h4<q>,-10.5,73.5
m4->a6.h4<q>,68.0,48.75
m4->m15,-61.5,-1904.0
m4->a9.h2<q>,-86.5,58.5
m2->m3,-6464.0,33024.0
m4->a15.h13<q>,16.0,232.0
m2->a3.h9<q>,13.625,438.0
a1.h13->m2,16.25,24.625
m4->m17,75.0,422.0
m4->a15.h4<q>,-13.9375,-22.375
m4->a5.h11<q>,-17.625,129.0
a1.h10->m1,223.0,-154.0
m4->a8.h10<q>,-107.5,556.0
a2.h2->m3,-12.625,-23.0
a2.h13->m2,75.0,-35.0
m4->a6.h3<q>,-175.0,-932.0
a0.h7->m0,-372.0,31.625
a1.h10->m2,22.125,34.25
a1.h12->m1,46.5,228.0
a1.h10->a2.h3<q>,43.25,-20.625
a1.h11->m2,15.625,49.25
m4->a10.h5<q>,16.5,944.0
m4->m18,-40.75,-188.0
a1.h9->m2,-9.75,63.0
m4->m23,93.5,46.0
m2->m4,-30464.0,16000.0
m2->a4.h2<q>,420.0,-25.25
a2.h0->m3,17.625,-34.0
a2.h6->m2,-156.0,-43.5
m4->a5.h3<q>,268.0,-348.0
m2->a4.h1<q>,85.0,-147.0
a0.h5->m0,-552.0,-81.5
m3->m6,177.0,-472.0
a1.h3->m1,282.0,55.0
m4->a15.h0<q>,14.625,207.0
m1->a4.h3<q>,390.0,-422.0
m4->a9.h9<q>,-14.75,-65.5
a3.h8->m3,9.4375,37.0
a1.h3->m2,10.875,-22.5
m0->a1.h5<q>,10.5625,-35.75
m4->a8.h7<q>,-278.0,-332.0
m4->m8,310.0,-17152.0
m4->a6.h7<q>,-92.0,23.5
m4->a15.h11<q>,-15.75,-22.375
m2->a3.h8<q>,11.0625,79.5
m1->a2.h2<q>,145.0,-86.0
m2->m6,2416.0,-432.0
a1.h4->m1,350.0,-308.0
m2->m12,38.5,-22.75
m4->a9.h5<q>,-25.125,-95.5
m4->m13,132.0,-247.0
a1.h3->a2.h8<q>,-32.25,65.0
m4->m12,294.0,-1488.0
a2.h0->m2,-187.0,-63.25
a0.h2->m0,-390.0,211.0
m4->a8.h13<q>,644.0,-1176.0
m3->m4,-2720.0,1320.0
a1.h0->m1,-90.0,72.0
a1.h12->m2,-25.125,38.5
m0->m1,548.0,242.0
a1.h1->m1,9.9375,-92.0
m3->a4.h7<q>,-63.75,264.0
m0->a2.h2<q>,-19.375,46.75
m0->a1.h8<q>,125.0,1000.0
m2->a4.h3<q>,10432.0,-16064.0
m0->a1.h3<q>,30.75,-139.0
input->m0,-1464.0,3376.0
a2.h7->m2,21.75,-110.5
m0->a1.h12<q>,-64.5,-52.75
m4->m5,2368.0,-3024.0
m4->a16.h8<q>,-20.625,80.5
m4->a7.h2<q>,33.5,502.0
m4->a8.h3<q>,17.5,103.0
m2->m21,11.9375,-39.75
m2->m7,-2640.0,276.0
m4->a9.h1<q>,13.5,-149.0
a2.h5->m2,-168.0,37.0
m4->a7.h11<q>,340.0,225.0
m4->a8.h6<q>,348.0,5600.0
a1.h5->m1,-91.5,187.0
m4->a9.h3<q>,-13.375,-211.0
m6->m8,-57.25,-36.5
m5->m6,88.5,-100.5
m1->m2,-6880.0,-1872.0
m4->a17.h11<q>,-16.25,157.0
m2->m9,412.0,-148.0
m4->a8.h2<q>,76.0,-78.0
m4->a5.h13<q>,708.0,-138.0
a1.h10->a2.h5<q>,-14.75,44.5
a0.h8->m0,-196.0,-127.5
m4->a6.h10<q>,-32.25,-55.75
m4->a18.h5<q>,8.9375,66.0
a1.h4->m2,18.0,105.0
m8->m9,-11.8125,-34.75
m4->m21,468.0,-920.0
m4->a7.h1<q>,35.25,-39.0
a2.h3->m2,-412.0,-200.0
a3.h3->m3,-9.5625,24.375
m4->m14,-19.625,672.0
m1->a2.h10<q>,-68.0,-104.5
m4->a15.h7<q>,22.375,91.5
m2->a3.h7<q>,-11.1875,-280.0
m4->a8.h1<q>,-189.0,-106.0
m2->a8.h13<q>,86.0,-21.25
a1.h2->m1,-166.0,193.0
m4->a6.h11<q>,-25.75,28.5
m4->a18.h12<q>,-14.5625,22.25
a0.h13->m0,-502.0,368.0
m2->a3.h3<q>,-13.25,24.75
m4->a14.h13<q>,8.9375,-215.0
a0.h12->m0,-268.0,464.0
a0.h6->m0,-442.0,-66.0
