edge,score_1,score_2
m1->a2.h2<q>,476.0,-64.5
a1.h9->m2,-11.4375,-16.625
m4->m5,-2496.0,-230.0
m0->a2.h10<q>,33.75,4.9375
a1.h5->m2,-141.0,-13.75
a1.h1->a2.h1<q>,57.0,-21.5
m4->a6.h0<q>,43.75,2.53125
a1.h3->m3,-12.5,1.9765625
m4->a10.h7<q>,47.25,-3.28125
input->a2.h1<q>,-89.5,9.1875
m4->a5.h9<q>,-51.25,-2.3125
a1.h11->a2.h1<q>,218.0,17.75
m4->a6.h8<q>,-43.5,1.3515625
a1.h10->a2.h1<q>,130.0,21.75
a1.h10->a2.h6<q>,15.0625,7.96875
m3->m4,-900.0,25.125
a1.h0->a2.h1<q>,-46.5,7.1875
a1.h12->a2.h1<q>,-58.0,11.0625
m1->a2.h8<q>,-47.25,-12.8125
a1.h3->m1,75.0,7.5625
a1.h2->a2.h1<q>,-13.125,-13.5
a2.h0->m2,50.0,6.96875
a2.h12->m2,27.875,7.1875
a1.h8->a2.h4<q>,13.75,4.875
m2->m4,-712.0,58.5
m21->m22,-66.5,-28.0
input->a0.h5<q>,24.375,-8.1875
a1.h1->m1,195.0,7.3125
m4->a19.h7<q>,17.625,1.2265625
m2->a3.h11<q>,15.375,-1.671875
m4->a5.h11<q>,54.5,1.5078125
a0.h2->m0,80.0,1.890625
a1.h0->a2.h4<q>,-31.0,1.9375
m22->logits,596.0,588.0
a1.h2->m1,77.5,33.0
a1.h11->m1,-384.0,-9.0625
m4->a8.h8<q>,22.875,-4.0
a2.h13->m2,-17.625,-2.296875
a1.h10->a2.h10<q>,-44.25,3.484375
m23->logits,14.25,-1.3984375
m4->a21.h10<q>,35.75,1.609375
m4->a5.h10<q>,-40.75,1.640625
a1.h9->m1,-30.75,38.0
input->a0.h13<q>,20.75,3.5625
m0->a2.h12<q>,-15.1875,-1.359375
m4->a6.h6<q>,-12.3125,1.203125
input->a0.h12<q>,26.5,8.6875
m4->a11.h5<q>,-91.0,3.625
m0->m1,2016.0,-272.0
a1.h9->a2.h5<q>,-19.875,1.3515625
a2.h1->m2,-21.5,24.75
m4->a10.h5<q>,-142.0,-1.8671875
m4->a10.h10<q>,62.75,-4.625
m1->a4.h1<q>,-35.5,2.71875
a1.h6->m1,-155.0,-31.375
m2->a4.h5<q>,50.5,-25.0
m4->m16,50.0,-3.625
a1.h13->a2.h1<q>,68.0,8.5
m4->a8.h1<q>,-131.0,-1.8515625
a2.h11->m3,-23.0,1.2421875
m4->m14,59.0,1.3828125
m0->m4,28.75,6.4375
a2.h1->m4,12.875,-4.9375
m2->a3.h10<q>,43.25,3.09375
input->a0.h1<q>,-12.5,-4.5625
m2->m3,316.0,74.5
m4->a11.h11<q>,-18.75,-3.1875
a1.h0->m2,26.5,-6.125
m0->a1.h1<q>,-125.0,4.25
a3.h9->m3,12.9375,-6.3125
m4->a18.h11<q>,62.0,2.765625
m0->a1.h5<q>,-92.0,30.125
m1->a4.h2<q>,14.375,-1.390625
a1.h1->a2.h11<q>,37.0,-1.8125
a0.h4->m0,-17.0,-3.9375
m4->a16.h11<q>,-36.25,1.3984375
a1.h2->a2.h5<q>,-42.25,-3.5
m6->m8,-33.75,1.2734375
a2.h4->m2,20.625,13.5
m4->m8,-2144.0,-27.875
m6->m7,75.0,2.0625
m6->m21,15.4375,3.921875
m0->a1.h13<q>,-34.5,11.1875
m2->a4.h3<q>,1088.0,-51.75
m0->a1.h11<q>,-73.0,66.5
m0->a1.h3<q>,141.0,69.5
m0->a2.h13<q>,89.5,1.7265625
a1.h6->a2.h10<q>,-12.625,3.59375
m2->a4.h7<q>,-13.0625,-2.234375
m4->a6.h9<q>,-35.75,3.203125
a1.h3->m2,28.0,-10.375
a0.h6->m0,180.0,14.875
m4->m7,4128.0,81.0
m4->m18,246.0,-4.84375
a1.h5->a2.h9<q>,16.0,-1.71875
a2.h10->m2,91.0,2.9375
m1->m2,-306.0,-338.0
