edge,score_1,score_2
a3.h3->m3,50.0,128.0
a1.h9->m2,-77.0,64.0
m3->a4.h3<q>,6304.0,672.0
m21->logits,23.625,24.125
a1.h11->m2,93.5,-382.0
m4->m13,-840.0,56.75
a2.h7->m2,38.75,-94.0
m2->a3.h1<q>,-164.0,84.5
a1.h6->m1,-55.25,204.0
m0->m4,-51.0,128.0
m4->a6.h0<q>,-58.0,51.25
a1.h8->m1,-304.0,260.0
m0->m3,-161.0,-99.0
m4->a7.h3<q>,218.0,-49.0
m0->m2,-116.0,298.0
m4->a11.h10<q>,24.375,39.75
m4->m10,-1984.0,-720.0
m0->a1.h2<q>,276.0,24.125
a2.h1->m3,-25.625,-112.5
a1.h7->m2,89.0,-133.0
m4->a6.h2<q>,85.0,-328.0
m2->m4,-31616.0,-239.0
m4->a8.h6<q>,8064.0,2416.0
m2->m9,528.0,-161.0
m4->m14,-900.0,54.75
a3.h8->m3,54.5,-244.0
m3->a4.h0<q>,-41.5,112.5
a1.h7->a2.h1<q>,28.75,-53.5
a1.h6->m2,-43.0,179.0
m4->m18,-286.0,-101.0
m2->a3.h0<q>,216.0,-55.25
m2->m7,-1152.0,310.0
m4->a9.h6<q>,31.0,32.5
m0->a2.h10<q>,-41.25,-46.0
m6->m9,84.0,-48.75
a1.h12->a2.h1<q>,25.125,103.5
a1.h1->a2.h1<q>,51.25,-66.5
m2->m6,-616.0,191.0
m5->m7,-27.25,38.0
a1.h4->m1,-189.0,-87.0
m1->m5,-29.25,26.75
m4->a10.h7<q>,-86.0,46.75
m2->a3.h12<q>,-74.0,36.0
m2->a4.h1<q>,3312.0,137.0
m4->a6.h13<q>,189.0,-672.0
a1.h8->a2.h12<q>,29.5,-25.25
m4->a5.h9<q>,804.0,165.0
a2.h8->m2,44.25,-60.75
m2->a3.h9<q>,768.0,-209.0
m0->a1.h7<q>,63.0,246.0
m1->m2,1104.0,-1792.0
m2->a3.h2<q>,-33.0,75.0
a2.h3->m4,-27.0,49.0
m3->m6,-50.5,136.0
m4->a7.h10<q>,-66.0,-178.0
m0->a2.h8<q>,31.625,-39.75
m4->a7.h7<q>,-48.25,-136.0
m2->a3.h7<q>,140.0,66.0
m4->a16.h0<q>,-188.0,-48.0
m3->m5,27.625,-294.0
a1.h3->m1,-211.0,-174.0
m4->a6.h12<q>,-148.0,-170.0
m4->a15.h2<q>,134.0,-198.0
m3->a4.h1<q>,502.0,-28.125
m7->m9,40.5,27.25
m6->m7,53.5,-44.25
a1.h1->a2.h10<q>,27.25,38.75
m4->a8.h5<q>,-67.0,-69.5
a1.h9->m1,-27.0,216.0
a2.h1->m2,-28.375,186.0
m2->a4.h13<q>,-592.0,-49.0
m0->a1.h0<q>,121.0,41.0
a1.h11->a2.h9<q>,-45.75,39.25
m3->a4.h5<q>,58.0,-96.0
m6->m20,-38.0,-26.375
m22->logits,2544.0,2688.0
a1.h2->m2,-79.0,25.625
m4->m11,-2880.0,-64.5
m4->a8.h7<q>,-264.0,400.0
m2->a6.h3<q>,-140.0,114.5
a1.h3->m2,146.0,-88.5
m4->m23,129.0,320.0
m4->a6.h5<q>,137.0,-186.0
a2.h6->m3,61.75,39.75
m4->a5.h11<q>,170.0,-118.0
m0->a1.h13<q>,80.5,145.0
a1.h4->a2.h1<q>,-24.0,63.75
a2.h11->m2,122.0,-94.0
a3.h0->m3,61.75,-63.25
m3->a6.h3<q>,-26.125,142.0
m4->a7.h8<q>,76.5,486.0
m4->a6.h9<q>,-258.0,187.0
m4->m19,584.0,402.0
a1.h8->a2.h7<q>,-35.75,-116.0
m1->a2.h2<q>,-67.5,-304.0
m4->a15.h12<q>,-59.0,51.0
m4->m9,8192.0,77.5
m4->a7.h11<q>,-48.0,-143.0
m4->m20,-1912.0,-1536.0
m4->m8,15424.0,-4224.0
m2->a3.h4<q>,87.0,24.75
a3.h1->a4.h3<q>,-37.5,24.625
m2->a4.h0<q>,-442.0,-51.0
m7->m8,66.5,-59.25
m2->a8.h6<q>,696.0,72.0
m4->a13.h10<q>,-41.5,-31.625
m0->a2.h4<q>,27.0,-35.25
a1.h11->m1,-268.0,576.0
m4->a16.h5<q>,41.25,39.0
a2.h13->m2,47.0,164.0
m4->a6.h11<q>,237.0,-182.0
m4->a14.h10<q>,-38.25,-36.75
m4->a10.h10<q>,173.0,-62.5
a2.h0->m2,57.25,102.5
m4->a16.h1<q>,-36.25,-25.125
m1->a2.h1<q>,-75.5,70.5
m1->a4.h1<q>,-68.0,33.0
m2->m3,-34816.0,-1744.0
m0->a1.h6<q>,816.0,-58.25
m4->a8.h9<q>,-664.0,340.0
a2.h12->m2,66.5,143.0
m4->a10.h12<q>,-68.5,-67.5
m4->a9.h3<q>,253.0,70.5
a2.h4->m2,92.0,142.0
m4->a8.h4<q>,-79.5,158.0
m0->a1.h10<q>,91.5,-474.0
a1.h13->m1,51.75,76.0
m0->a1.h8<q>,134.0,892.0
m4->a8.h11<q>,-636.0,-132.0
input->a0.h1<q>,54.75,-110.5
m1->a2.h11<q>,-41.5,58.5
m0->a2.h9<q>,49.5,-26.25
m4->a5.h0<q>,-25.25,88.5
m2->a4.h3<q>,31104.0,3456.0
a2.h5->m2,23.875,109.0
a1.h7->m1,87.0,61.0
m4->a5.h13<q>,86.0,564.0
m4->a14.h7<q>,25.125,-49.0
m1->m3,-1424.0,-201.0
m2->m8,1304.0,-206.0
m2->a8.h9<q>,-98.0,31.375
a2.h6->m2,29.0,-58.5
a1.h8->a2.h4<q>,34.25,30.875
m4->m5,6560.0,-35584.0
a0.h13->m0,57.25,-196.0
m2->a3.h8<q>,237.0,70.0
m2->a3.h5<q>,157.0,36.75
m2->a3.h6<q>,52.75,25.75
m1->a3.h9<q>,-38.5,39.75
input->m2,-39.25,-46.75
a2.h9->m2,102.0,57.0
m1->a2.h0<q>,84.5,-139.0
a2.h0->m3,35.0,-59.25
m4->m22,568.0,1440.0
a1.h7->a2.h4<q>,62.0,47.0
m4->a6.h3<q>,-8448.0,14976.0
m4->a10.h2<q>,-37.5,-39.0
m4->m12,696.0,-170.0
m2->m5,-32.5,-404.0
m21->m22,-66.0,-72.5
a1.h1->m2,-97.5,78.0
m4->a5.h4<q>,-266.0,-120.5
m1->a2.h3<q>,52.5,50.5
a0.h1->m0,24.75,-708.0
m4->a5.h2<q>,2464.0,420.0
a1.h8->m2,76.0,-141.0
m4->a6.h1<q>,-310.0,-560.0
m8->a10.h7<q>,43.0,25.5
