edge,score_1,score_2
a0.h6->m0,122.0,-73.5
m2->a4.h5<q>,-3264.0,6016.0
m2->m8,6880.0,5824.0
m4->m19,-948.0,1184.0
m3->m9,-105.5,71.5
m4->m7,8320.0,-278528.0
m2->a3.h9<q>,-366.0,-1040.0
m6->m7,-27.625,-584.0
m1->a2.h5<q>,-45.0,89.5
a1.h4->m1,-384.0,82.0
m4->a6.h11<q>,41.5,2800.0
m4->a13.h5<q>,442.0,162.0
m4->a17.h4<q>,-45.0,-202.0
m4->m23,572.0,1232.0
m3->m6,-368.0,1440.0
m4->m17,600.0,5952.0
m4->a10.h5<q>,-284.0,-5152.0
m6->a8.h6<q>,109.0,298.0
m1->a2.h6<q>,157.0,-124.0
m2->a10.h10<q>,47.25,-107.0
m2->a4.h6<q>,-5280.0,-5088.0
m4->a8.h6<q>,24192.0,46080.0
m3->a5.h12<q>,-41.0,-69.5
m4->a6.h13<q>,772.0,-5696.0
m4->a17.h6<q>,-358.0,-174.0
m0->m3,-408.0,113.5
m3->a4.h3<q>,8384.0,2192.0
m5->a8.h6<q>,62.75,137.0
m1->a2.h10<q>,-272.0,-148.0
m2->a6.h4<q>,188.0,1120.0
m4->a5.h10<q>,96.5,-348.0
m4->a7.h13<q>,60.25,210.0
m4->a8.h0<q>,45.5,756.0
m2->a4.h13<q>,9728.0,1536.0
m1->a4.h4<q>,-45.5,-102.5
m3->a4.h7<q>,77.0,-468.0
m2->m4,-86528.0,-174080.0
m4->a10.h12<q>,900.0,-67.0
m4->m9,-13440.0,5088.0
m4->a10.h2<q>,89.5,-780.0
m4->a14.h6<q>,-27.5,-496.0
m7->a8.h6<q>,55.75,114.0
m2->a3.h13<q>,-118.5,728.0
m4->m6,-33024.0,178176.0
m4->a7.h10<q>,-81.5,1144.0
m4->a14.h7<q>,-33.5,-218.0
m4->a14.h5<q>,-84.0,-280.0
m4->a7.h2<q>,688.0,-1032.0
a0.h2->m0,120.5,-197.0
a0.h3->m0,148.0,-486.0
m2->m23,32.75,116.5
m0->a1.h4<q>,306.0,450.0
m4->m16,-644.0,1392.0
m4->a5.h2<q>,-652.0,-636.0
m2->a7.h0<q>,-105.0,100.5
m4->a19.h2<q>,-43.25,161.0
m0->a2.h1<q>,-113.5,119.0
a2.h2->m2,109.5,-117.0
a1.h8->m1,52.75,186.0
m4->a14.h13<q>,218.0,-166.0
m4->a6.h5<q>,-87.5,608.0
m4->a10.h3<q>,-59.0,206.0
m4->a16.h2<q>,-33.5,-182.0
input->m0,788.0,984.0
m0->a1.h0<q>,29.875,89.0
m3->a4.h6<q>,-436.0,-628.0
m2->m9,-1352.0,688.0
m4->a17.h12<q>,141.0,-77.0
m4->a5.h13<q>,1376.0,2024.0
a1.h1->m3,53.75,-83.0
m2->m16,-58.0,205.0
m4->a9.h11<q>,-130.0,70.0
m4->a13.h1<q>,124.0,448.0
m4->a14.h2<q>,-35.0,253.0
m2->a6.h13<q>,52.75,-552.0
m1->a4.h2<q>,604.0,223.0
m4->a17.h13<q>,-76.0,402.0
m1->m2,17152.0,-4080.0
m4->a8.h13<q>,168.0,11136.0
m4->a18.h12<q>,-89.0,-76.0
m4->a16.h1<q>,-67.5,732.0
m4->m14,-1200.0,-110.0
m2->a5.h12<q>,-238.0,-680.0
m1->m4,-3168.0,-5024.0
m4->a7.h4<q>,492.0,-3888.0
a1.h1->m1,-468.0,87.0
m2->a5.h13<q>,163.0,253.0
m4->a16.h4<q>,-156.0,126.5
m4->a15.h12<q>,414.0,-112.5
a0.h4->m0,87.0,282.0
m0->m1,-820.0,79.5
a0.h13->m0,111.5,286.0
m4->a13.h0<q>,-290.0,-358.0
m4->m21,3600.0,-1632.0
m4->a7.h9<q>,-83.0,2688.0
m4->m20,1952.0,-2064.0
m4->a17.h7<q>,256.0,100.0
m2->m10,-218.0,436.0
m3->a6.h3<q>,492.0,-135.0
m4->a14.h1<q>,41.25,-280.0
m4->a15.h11<q>,143.0,486.0
m2->m20,-138.0,-241.0
m2->a8.h7<q>,-63.25,516.0
m1->a4.h6<q>,-111.5,-82.0
m0->m4,39.0,-71.0
m4->a10.h8<q>,-80.5,-700.0
m4->a18.h0<q>,149.0,216.0
m2->a6.h7<q>,143.0,97.5
m6->m9,27.0,-149.0
m2->a4.h11<q>,227.0,87.5
m4->a10.h6<q>,-67.0,596.0
a1.h3->m1,-376.0,175.0
m2->a4.h0<q>,268.0,-1032.0
m4->a18.h7<q>,55.25,-728.0
m4->a6.h2<q>,2880.0,1272.0
m2->a4.h2<q>,19968.0,6560.0
a1.h13->m1,156.0,-64.5
m1->a8.h6<q>,82.5,78.5
m2->a4.h4<q>,-828.0,-616.0
m4->a18.h2<q>,106.0,716.0
m2->a4.h3<q>,96256.0,123.0
m4->a5.h12<q>,-2448.0,-6272.0
m2->a3.h4<q>,206.0,-123.0
m4->a9.h3<q>,-107.5,-278.0
m2->a3.h7<q>,328.0,-2112.0
a1.h9->m1,55.25,-282.0
m2->a5.h11<q>,25.875,-91.5
m4->a9.h9<q>,105.0,-94.0
m4->m18,-524.0,-6240.0
m3->m4,-6464.0,-10176.0
m2->a5.h5<q>,-50.5,-78.0
a1.h5->m1,-368.0,-512.0
m4->a17.h1<q>,-61.75,173.0
m4->m22,2128.0,7040.0
m2->a3.h5<q>,58.5,-964.0
m4->a5.h8<q>,736.0,1024.0
m4->a7.h11<q>,-51.25,6848.0
m4->m5,-146432.0,-90624.0
m4->a5.h7<q>,-89.0,-3056.0
m2->a3.h12<q>,-308.0,3312.0
m2->m22,340.0,712.0
a1.h12->m1,94.0,-144.0
m4->a15.h3<q>,-71.0,804.0
a0.h9->m0,102.0,-253.0
m6->a7.h5<q>,77.0,324.0
m3->m7,78.5,-2384.0
m4->a9.h10<q>,446.0,-272.0
m4->a8.h2<q>,-440.0,182.0
m3->a4.h5<q>,-243.0,396.0
m4->logits,-768.0,-1608.0
m1->m6,-30.375,274.0
m4->a8.h8<q>,-38.5,936.0
m1->m3,-11904.0,10304.0
m1->a4.h1<q>,308.0,604.0
a0.h10->m0,86.0,-207.0
m4->a12.h7<q>,29.875,192.0
m3->a4.h1<q>,984.0,1360.0
