edge,score_1,score_2
m4->a8.h3<q>,-1760.0,103.0
m6->a7.h2<q>,-56.75,25.625
m4->a8.h2<q>,-7456.0,-78.0
m4->a14.h9<q>,96.5,57.0
m4->a5.h4<q>,54.0,20.75
a2.h2->m3,-40.0,-23.0
m4->a8.h6<q>,80.0,5600.0
m4->a18.h9<q>,-57.5,28.5
m4->a8.h4<q>,13376.0,-225.0
m2->m7,2176.0,276.0
m0->m3,-160.0,272.0
m4->a6.h7<q>,2096.0,23.5
a0.h2->m0,-175.0,211.0
m6->m7,394.0,182.0
a1.h2->m1,205.0,193.0
m4->m21,120.5,-920.0
m1->a4.h3<q>,253.0,-422.0
m2->m20,39.5,25.875
a2.h12->m2,175.0,-35.25
m4->a6.h6<q>,-87.5,43.75
input->m0,-2912.0,3376.0
m4->a15.h2<q>,36.25,205.0
m0->m2,86.0,-506.0
a2.h10->m2,43.0,-142.0
m4->a6.h9<q>,5312.0,420.0
m0->a1.h3<q>,-209.0,-139.0
m0->a1.h9<q>,196.0,-296.0
m1->a2.h2<q>,-79.5,-86.0
m4->a7.h5<q>,152.0,-143.0
m2->a4.h3<q>,16320.0,-16064.0
m4->m20,1344.0,1440.0
a1.h10->m1,-77.0,-154.0
m4->a6.h10<q>,-410.0,-55.75
a1.h4->m1,-96.0,-308.0
m4->a10.h3<q>,188.0,138.0
m4->logits,-147.0,-52.75
m3->a4.h1<q>,1168.0,-166.0
m0->a1.h11<q>,396.0,428.0
m4->a7.h1<q>,-62.75,-39.0
a2.h2->m2,-80.0,-187.0
m4->a8.h13<q>,-1632.0,-1176.0
m4->a7.h2<q>,-828.0,502.0
m4->a7.h3<q>,-712.0,-308.0
m4->m9,-2544.0,-13952.0
m4->a8.h1<q>,728.0,-106.0
m3->a4.h0<q>,-486.0,-23.625
m22->logits,1712.0,1184.0
m4->a8.h5<q>,1216.0,-37.0
m4->m12,720.0,-1488.0
m0->m1,180.0,242.0
m6->m8,-330.0,-36.5
m2->m3,-100864.0,33024.0
m4->a9.h13<q>,-205.0,-108.0
m4->a20.h6<q>,238.0,178.0
m2->a4.h10<q>,-446.0,35.0
m2->a3.h5<q>,300.0,-162.0
m4->m15,-856.0,-1904.0
m0->a2.h2<q>,-42.25,46.75
m4->m17,524.0,422.0
m4->m19,1012.0,-720.0
m2->a3.h9<q>,-604.0,438.0
m3->m4,-4080.0,1320.0
m22->m23,-1088.0,-860.0
m4->a5.h3<q>,-1608.0,-348.0
m3->m16,-35.75,-22.125
m3->m8,-1568.0,-220.0
m4->a5.h13<q>,3952.0,-138.0
m4->a10.h6<q>,-644.0,39.0
a1.h12->m2,90.0,38.5
m4->a5.h5<q>,112.5,77.0
m4->a6.h13<q>,-2768.0,-214.0
a1.h11->a2.h1<q>,-81.5,21.0
m4->a12.h5<q>,300.0,94.0
m3->m6,1128.0,-472.0
m4->a15.h10<q>,-197.0,109.0
m1->a2.h5<q>,-138.0,22.5
m4->a5.h6<q>,294.0,-33.0
m4->a7.h0<q>,-198.0,25.0
a1.h8->m2,129.0,-94.5
a2.h7->m2,51.25,-110.5
a2.h5->m3,-43.0,67.5
m4->a9.h10<q>,-968.0,-178.0
m0->a1.h7<q>,66.0,165.0
m4->a5.h2<q>,-848.0,-206.0
a2.h4->m3,-63.0,-42.5
m4->a11.h0<q>,-44.5,97.5
a1.h5->a2.h4<q>,58.5,-71.5
a1.h13->m2,50.25,24.625
m4->a7.h6<q>,-676.0,-40.25
m4->m23,78.5,46.0
m4->a15.h7<q>,140.0,91.5
m4->a5.h12<q>,964.0,378.0
