edge,score_1,score_2
a2.h10->m3,34.5,46.5
m2->a3.h11<q>,-36.0,-27.875
a2.h1->m2,-157.0,186.0
m22->m23,-892.0,-1864.0
m0->a1.h4<q>,-3568.0,55.25
a2.h13->m2,-138.0,164.0
a1.h7->m1,-256.0,61.0
m4->a14.h4<q>,-41.5,-45.75
m2->a4.h3<q>,20736.0,3456.0
m22->logits,2288.0,2688.0
m0->m1,3952.0,-3168.0
m4->m7,2192.0,4992.0
a2.h2->m3,95.5,-57.0
m1->a2.h8<q>,-338.0,-250.0
a1.h10->a2.h8<q>,78.0,-34.25
m4->a9.h8<q>,-37.5,-436.0
m4->a11.h10<q>,43.5,39.75
m4->a7.h7<q>,-71.5,-136.0
m4->a17.h2<q>,38.0,27.0
m4->a5.h7<q>,-98.5,-234.0
m0->m3,229.0,-99.0
a2.h8->m3,66.0,66.0
m0->a1.h8<q>,-21120.0,892.0
a1.h0->a2.h1<q>,-30.25,-26.875
m4->a16.h11<q>,-109.0,25.5
m4->m11,201.0,-64.5
a1.h10->a2.h4<q>,-104.5,52.75
a1.h12->m1,278.0,-54.75
m4->m13,-195.0,56.75
a1.h7->a2.h4<q>,-45.75,47.0
m0->a1.h12<q>,-8512.0,292.0
m4->m14,-152.0,54.75
m2->m9,-468.0,-161.0
a1.h1->a2.h1<q>,-436.0,-66.5
a1.h11->a2.h9<q>,-151.0,39.25
m2->a3.h13<q>,45.0,138.0
a0.h0->m0,-408.0,-145.0
m1->a2.h3<q>,-50.25,50.5
a2.h7->m3,47.75,-51.0
a0.h7->m0,91.0,320.0
m2->a4.h0<q>,68.5,-51.0
a0.h6->m0,-290.0,170.0
m4->a6.h4<q>,-580.0,-290.0
m4->m9,-8064.0,77.5
m4->a20.h9<q>,-44.75,-163.0
a1.h6->a2.h1<q>,-125.0,-39.5
m4->a6.h5<q>,-302.0,-186.0
m2->a3.h4<q>,-30.125,24.75
m4->a15.h11<q>,43.75,39.75
m4->m10,-992.0,-720.0
m2->a6.h3<q>,36.25,114.5
m4->a10.h10<q>,132.0,-62.5
m4->a8.h3<q>,33.0,266.0
m4->a8.h13<q>,1104.0,107.5
a1.h8->a2.h10<q>,-82.0,-65.0
m0->a1.h11<q>,108.0,318.0
m4->a16.h1<q>,-92.0,-25.125
a1.h10->a2.h2<q>,78.0,41.0
m2->a8.h6<q>,-127.5,72.0
m2->m7,159.0,310.0
m0->m2,3504.0,298.0
m4->a7.h5<q>,-338.0,156.0
m2->a3.h3<q>,126.0,157.0
m4->a6.h9<q>,57.5,187.0
m0->a1.h7<q>,178.0,246.0
m3->a4.h5<q>,103.5,-96.0
m1->a2.h4<q>,-142.0,140.0
input->m2,-141.0,-46.75
m2->a4.h1<q>,98.0,137.0
a1.h8->m3,-29.875,-51.75
a1.h3->a2.h1<q>,103.5,-48.25
m4->m23,47.25,320.0
m4->a8.h9<q>,38.75,340.0
m2->a3.h2<q>,-50.5,75.0
m4->a9.h6<q>,161.0,32.5
a2.h1->m3,39.0,-112.5
a1.h4->m2,150.0,-107.0
m0->a1.h2<q>,-664.0,24.125
a1.h1->m1,976.0,-158.0
a2.h3->m2,-298.0,-31.625
m1->m2,-13376.0,-1792.0
m4->a8.h7<q>,502.0,400.0
m2->a4.h5<q>,120.5,-46.0
a0.h2->m0,-322.0,-120.5
a0.h8->m0,81.5,-43.25
m3->a4.h0<q>,-70.0,112.5
m4->m12,-808.0,-170.0
m4->a5.h4<q>,-54.0,-120.5
a2.h4->m2,-1056.0,142.0
a1.h1->a2.h10<q>,-47.75,38.75
m4->a10.h0<q>,-30.75,70.5
input->a0.h1<q>,-896.0,-110.5
m4->a5.h8<q>,-218.0,-260.0
m4->a5.h11<q>,-108.0,-118.0
m4->m20,-188.0,-1536.0
a1.h7->a2.h1<q>,53.0,-53.5
a4.h3->m4,46.5,-600.0
a1.h8->a2.h0<q>,-67.0,72.5
m4->m21,-472.0,1784.0
a1.h2->m1,234.0,-134.0
m1->a3.h9<q>,37.75,39.75
a1.h13->m1,294.0,76.0
m3->m6,-122.0,136.0
m0->a2.h2<q>,-137.0,118.0
m4->a10.h12<q>,-64.0,-67.5
a0.h3->m0,-390.0,412.0
m1->a2.h12<q>,93.0,77.0
a1.h9->a2.h10<q>,100.0,30.125
m4->a7.h0<q>,89.0,-36.75
m1->m4,-244.0,346.0
m4->m22,1080.0,1440.0
m2->a3.h9<q>,512.0,-209.0
a1.h9->m2,-36.25,64.0
a2.h7->m2,-314.0,-94.0
a1.h3->m2,103.0,-88.5
m4->a6.h13<q>,209.0,-672.0
m0->a1.h6<q>,-3008.0,-58.25
a1.h1->m2,418.0,78.0
m4->a21.h7<q>,-84.5,-24.5
m2->m6,-1128.0,191.0
a0.h12->m0,89.0,184.0
m4->a8.h11<q>,-430.0,-132.0
m4->a15.h2<q>,51.0,-198.0
m4->m16,-166.0,-456.0
a1.h8->a2.h2<q>,-60.5,112.0
m1->a2.h0<q>,77.0,-139.0
m4->a15.h6<q>,-43.5,155.0
m4->m18,-270.0,-101.0
a1.h7->a2.h6<q>,-43.5,41.0
a1.h12->a2.h1<q>,-1584.0,103.5
a0.h10->m0,70.5,-95.5
m4->a6.h10<q>,-100.5,262.0
m4->a8.h5<q>,-66.5,-69.5
m2->m3,-15424.0,-1744.0
m4->m8,-1008.0,-4224.0
m4->a6.h3<q>,2800.0,14976.0
a1.h8->m1,-196.0,260.0
input->m0,-2176.0,-1712.0
m0->a1.h13<q>,-5536.0,145.0
m2->m5,55.0,-404.0
m0->a2.h11<q>,50.25,66.0
m4->a9.h12<q>,30.375,-36.75
m3->m4,-1936.0,1728.0
m4->a14.h5<q>,-112.0,-33.5
a1.h11->a2.h10<q>,204.0,49.0
m0->a2.h10<q>,404.0,-46.0
a1.h6->m1,-456.0,204.0
a1.h10->m1,-129.0,-430.0
m1->a3.h1<q>,39.5,28.0
m4->a16.h9<q>,-72.5,26.125
a1.h11->m1,548.0,576.0
m4->m17,97.5,-182.0
m1->a4.h1<q>,-38.5,33.0
a1.h8->m2,-109.0,-141.0
a0.h13->m0,86.5,-196.0
m4->a10.h7<q>,44.5,46.75
a1.h3->m1,70.5,-174.0
