edge,score_1,score_2
m0->a1.h12<q>,-1632.0,442.0
m3->a4.h1<q>,-73.5,224.0
a1.h8->m1,-1840.0,-356.0
m4->m19,716.0,-158.0
m3->a4.h7<q>,82.5,-237.0
m4->a6.h13<q>,225.0,-2480.0
m4->a5.h9<q>,-1800.0,-1576.0
m4->a5.h7<q>,175.0,-107.5
m2->m9,-163.0,-350.0
a2.h13->m2,-652.0,74.0
a1.h8->m4,-61.75,-43.5
m4->a6.h12<q>,159.0,-150.0
m2->a4.h7<q>,376.0,-1392.0
m22->logits,-3232.0,-4048.0
m4->a10.h10<q>,218.0,-792.0
m3->a4.h2<q>,840.0,892.0
m1->a2.h7<q>,316.0,197.0
m2->a8.h13<q>,-192.0,-172.0
m4->a5.h5<q>,-211.0,-143.0
m2->a4.h1<q>,-624.0,358.0
m7->m8,110.0,63.25
m2->a3.h1<q>,-286.0,-280.0
m2->m3,113152.0,-226304.0
m4->m11,-486.0,1352.0
m0->a1.h2<q>,248.0,201.0
m2->m5,944.0,-1424.0
m4->a8.h11<q>,3440.0,10240.0
m4->m15,-210.0,136.0
m2->a3.h4<q>,-110.5,440.0
m0->a1.h7<q>,276.0,-79.5
m2->a4.h6<q>,-282.0,-3008.0
m4->a6.h6<q>,-141.0,-122.0
m1->a4.h2<q>,162.0,448.0
m0->a1.h3<q>,-78.5,418.0
a2.h1->m2,-458.0,73.0
a1.h6->m1,608.0,157.0
a0.h4->m0,1792.0,-44.25
a2.h12->m3,79.5,-35.25
m4->a7.h7<q>,191.0,-122.0
m3->m4,2208.0,-5952.0
a1.h12->m2,-128.0,-63.75
m4->a9.h3<q>,89.5,250.0
m4->m13,564.0,-464.0
a0.h13->m0,-1160.0,-209.0
a2.h10->m2,-548.0,197.0
m2->a7.h5<q>,-79.0,-195.0
m4->a8.h4<q>,3632.0,-2576.0
m4->a10.h5<q>,482.0,466.0
m4->a9.h5<q>,290.0,-282.0
m2->a3.h9<q>,1112.0,-2224.0
a1.h2->m1,876.0,83.0
a1.h10->m1,-768.0,56.25
m4->a6.h11<q>,-15424.0,-95.5
a2.h11->m2,-532.0,36.5
m4->a15.h4<q>,66.0,624.0
a2.h2->m2,-764.0,96.0
m4->a10.h6<q>,94.0,-516.0
m4->m9,-2544.0,-9856.0
