edge,score_1,score_2
m0->logits,-0.51171875,-0.07861328
m0->m7,-0.020141602,0.01373291
m0->a8.h5<q>,-0.007507324,-0.010253906
m2->m6,-0.03149414,0.03466797
a7.h6->logits,-0.002105713,-0.019897461
a10.h9->logits,0.020019531,-0.024047852
m10->m11,0.15917969,-0.07519531
input->a0.h10<v>,-0.0036010742,-0.019897461
m10->logits,-0.45507812,-0.033935547
m0->a1.h8<v>,0.005706787,0.010131836
input->a0.h9<v>,-0.0032043457,-0.010131836
m9->m10,-0.007385254,-0.055419922
m2->m5,-0.015991211,0.06298828
m4->logits,0.07714844,-0.028442383
a6.h7->logits,-0.0065307617,0.026977539
m7->m8,0.004272461,-0.010803223
m5->m11,-0.110839844,0.017456055
m1->m2,0.009216309,-0.12890625
a0.h9->logits,0.0020751953,0.015563965
m0->m1,0.09423828,0.16503906
m0->a8.h2<v>,0.0022888184,-0.018554688
input->m0,-1.3515625,0.10986328
input->m8,-0.0022888184,-0.012878418
m0->m2,0.052246094,-0.09423828
a6.h5->logits,-0.0022277832,-0.018554688
m4->m5,0.0029907227,0.04345703
m4->m6,0.022338867,0.028564453
m8->m11,0.017211914,-0.053466797
m7->logits,0.038085938,-0.038085938
m2->m10,-0.025268555,-0.023803711
m5->m8,0.024902344,0.013916016
input->a0.h5<k>,-0.0036010742,0.03955078
a0.h6->m0,0.0032196045,0.03466797
m0->m3,0.015075684,0.03930664
input->m2,0.0031585693,0.0134887695
input->a0.h11<v>,-0.017822266,-0.049316406
input->a0.h3<v>,-0.005065918,-0.00970459
m6->m10,-0.0079956055,-0.016845703
m3->m7,-0.010314941,0.041015625
m1->m7,0.029418945,0.012023926
m7->m9,0.0031433105,-0.057617188
m0->m10,-0.296875,-0.038085938
m0->m9,-0.080566406,-0.01928711
m1->m11,0.024169922,-0.013671875
m3->m10,0.024169922,0.01977539
m9->logits,-0.13867188,-0.13769531
m1->m3,0.0036773682,0.07519531
m4->m11,-0.067871094,-0.014709473
m4->m7,-0.03149414,-0.021118164
input->m4,-0.0052490234,0.021118164
m4->m8,-0.0061035156,-0.021606445
m7->m11,-0.055908203,0.014526367
input->a0.h7<v>,-0.004211426,-0.024902344
a7.h4->logits,0.0049438477,-0.024169922
m3->m5,-0.007232666,0.036865234
m5->m9,-0.01574707,-0.030883789
m2->m8,0.032226562,0.018310547
m2->m3,-0.03466797,0.017700195
m5->m7,-0.026611328,-0.034423828
m0->a4.h7<v>,-0.0021209717,-0.017944336
a10.h10->logits,-0.0020751953,-0.013671875
a8.h7->m9,-0.0015563965,-0.011169434
a7.h0->m7,-0.0017776489,-0.015991211
m2->m11,0.0030212402,0.019165039
m0->a5.h3<k>,0.0035552979,0.016357422
input->a0.h6<v>,0.027832031,0.125
m1->m10,-0.046875,-0.020996094
input->a0.h4<v>,0.0044555664,0.022338867
m0->a6.h2<v>,0.012878418,0.010131836
m8->m10,-0.0077209473,0.014587402
m6->m8,0.01586914,0.0119018555
m1->logits,0.01171875,-0.03881836
m1->m5,0.03491211,0.053955078
m0->m4,-0.029052734,0.010131836
m0->a1.h11<v>,0.0023956299,-0.011169434
m1->m4,0.025512695,0.048828125
a11.h9->logits,0.0019302368,0.013122559
a5.h4->m7,-0.0017776489,-0.012756348
a8.h5->logits,-0.006164551,0.01373291
m0->a2.h10<v>,-0.0037841797,-0.020751953
input->a0.h8<v>,-0.029541016,-0.12451172
a11.h11->logits,0.0028381348,0.020751953
a11.h7->logits,0.0015716553,0.025024414
m0->a6.h6<k>,-0.0015258789,-0.010314941
m0->m6,0.0134887695,0.052734375
m0->a1.h3<v>,-0.0015792847,0.012084961
a0.h7->logits,0.0022125244,-0.009521484
input->a0.h5<v>,-0.004272461,0.032470703
m3->m4,-0.001953125,0.049316406
a11.h11->m11,0.0015411377,-0.015991211
m9->m11,0.064453125,-0.061279297
a10.h5->logits,-0.004180908,-0.032714844
m6->m7,0.011657715,0.063964844
a8.h5->m11,-0.005859375,0.01586914
a10.h5->m11,-0.013061523,0.03881836
m3->logits,0.021850586,-0.019042969
input->m6,-0.007385254,-0.010131836
m0->a2.h6<v>,0.008300781,0.0234375
a11.h4->m11,0.0021820068,0.034423828
m0->m11,-0.296875,-0.017333984
m6->m11,-0.05126953,-0.025268555
a10.h9->m11,-0.013061523,0.014526367
a8.h9->logits,-0.0022583008,0.032226562
m8->logits,-0.01965332,-0.12011719
