edge,score_1,score_2
m0->a5.h2<q>,0.005004883,-0.014465332
m10->logits,-0.33984375,-0.34960938
m5->m11,-0.080078125,-0.036132812
m2->a5.h8<v>,0.0018157959,0.020263672
input->a0.h5<k>,-0.0019683838,0.10253906
m0->logits,-0.26953125,-0.13964844
m3->m11,-0.005706787,-0.06738281
a11.h11->logits,0.0047912598,-0.10449219
m2->m11,-0.029174805,-0.046142578
a11.h7->logits,0.0017776489,-0.067871094
a11.h3->logits,0.006866455,-0.11230469
input->a0.h11<v>,-0.007873535,-0.22167969
m0->a1.h2<v>,0.0028533936,-0.019897461
a10.h8->logits,0.0028381348,-0.017700195
m2->m5,0.0079956055,0.072265625
m0->m1,0.09814453,0.22753906
a9.h3->m11,-0.002746582,0.023803711
m9->m11,0.050048828,-0.038085938
m2->a11.h8<v>,0.0024871826,0.125
m0->m6,-0.024658203,-0.091308594
m7->logits,0.030273438,0.14160156
m0->m11,-0.20703125,-0.028320312
m8->m10,-0.0051574707,0.042236328
m1->m2,0.060302734,-0.044433594
input->a0.h5<v>,-0.001663208,-0.026977539
m7->m11,-0.03857422,-0.20410156
a4.h1->m11,-0.0016098022,0.032470703
a0.h5->logits,-0.0018615723,-0.03930664
m2->m3,-0.037109375,0.044677734
m2->m10,-0.06542969,-0.099609375
input->a0.h8<v>,-0.030639648,-0.11425781
m9->m10,-0.0034332275,0.083984375
m1->logits,0.0115356445,-0.056152344
m1->m4,0.0030212402,-0.068847656
m0->m3,0.12011719,-0.059570312
m0->m2,-0.05834961,0.049804688
m6->m9,-0.002746582,0.045410156
m2->logits,0.16894531,-0.02734375
input->m10,0.011169434,0.017456055
m4->m6,0.010864258,0.033691406
m9->logits,-0.07519531,0.044921875
a8.h5->m8,0.0017776489,0.021850586
m6->m11,-0.038330078,-0.19921875
a6.h6->logits,-0.0031585693,0.048339844
a5.h2->m11,0.002670288,-0.02331543
input->a0.h6<v>,0.022338867,0.12451172
a6.h5->m11,-0.0025939941,-0.047607422
m5->m6,0.018188477,0.017089844
a4.h2->logits,-0.0033416748,-0.053955078
a7.h4->m11,-0.006439209,-0.038330078
a8.h5->m11,-0.0047912598,-0.06542969
m0->m5,-0.079589844,0.092285156
a10.h0->logits,0.003326416,-0.05444336
m2->m8,0.033691406,0.026367188
m2->m6,-0.024902344,-0.036621094
m3->m8,-0.008178711,0.036621094
m3->m5,-0.007537842,0.019042969
m2->m4,-0.0134887695,-0.029663086
a10.h5->m11,-0.0076904297,-0.029541016
a11.h9->logits,0.0037841797,-0.06640625
m11->logits,-0.18457031,-1.7265625
input->a0.h1<v>,0.0016403198,-0.045898438
m4->m7,-0.012329102,-0.016479492
a6.h7->logits,-0.0049743652,-0.028442383
m8->m11,0.013977051,-0.16992188
a9.h5->logits,-0.0043029785,-0.015136719
m4->m8,-0.007019043,0.025756836
m4->m11,-0.050048828,-0.076171875
a11.h2->logits,0.0075683594,-0.0390625
m1->m3,-0.04321289,0.06933594
a0.h10->m0,-0.0021514893,0.071777344
a5.h3->logits,-0.009460449,-0.032226562
m2->m9,0.009521484,-0.027709961
input->a0.h3<v>,-0.004425049,0.08935547
m3->m7,-0.0035095215,-0.025878906
a5.h11->logits,-0.0030517578,0.026977539
m4->logits,0.056640625,0.036132812
a10.h3->logits,0.0016326904,-0.05126953
m0->m4,-0.014587402,-0.057861328
a11.h4->logits,0.0029754639,0.21972656
input->a0.h9<k>,-0.0021209717,0.043701172
m0->a2.h7<v>,0.014526367,0.015014648
m0->a11.h8<v>,-0.0095825195,0.036621094
m1->m10,-0.03149414,-0.103027344
m7->m10,-0.012878418,0.016113281
m6->logits,0.06689453,0.036376953
a10.h1->logits,0.0022583008,-0.02722168
a8.h9->logits,-0.0032653809,0.037109375
m4->m10,0.033203125,-0.0625
a6.h0->logits,0.003112793,-0.015319824
m1->m5,0.031982422,0.02355957
input->a0.h7<v>,-0.0016326904,0.03125
a9.h9->logits,0.0032653809,-0.014892578
m4->m5,-0.009460449,-0.020751953
m6->m8,0.010498047,0.031982422
input->m0,-0.123046875,0.81640625
a6.h5->logits,-0.0065612793,0.014404297
a10.h7->logits,-0.0031280518,-0.016845703
a6.h3->logits,0.0027008057,-0.053955078
m1->m6,0.01373291,-0.056884766
a10.h9->logits,0.012023926,-0.014587402
m5->logits,0.08984375,0.023071289
a7.h8->logits,-0.0040893555,-0.014282227
m1->m7,-0.004852295,-0.026123047
a11.h8->m11,0.001876831,0.035888672
a9.h8->logits,0.0025177002,-0.018432617
a8.h5->logits,-0.0030670166,-0.041015625
m1->m8,0.026611328,-0.035888672
m0->a1.h7<v>,0.0020141602,0.020507812
a9.h2->logits,0.0023956299,-0.025268555
a0.h10->m11,-0.0016174316,-0.060302734
