edge,score_1,score_2
m0->m1,0.09814453,1.2734375
input->a0.h4<v>,0.0064697266,0.05444336
m2->m4,-0.0134887695,-0.111816406
m4->m7,-0.012329102,-0.18164062
a0.h10->m0,-0.0021514893,-0.10888672
m6->logits,0.06689453,-0.3828125
m5->m6,0.018188477,-0.11816406
m0->a2.h7<v>,0.014526367,0.050048828
m0->m9,-0.006713867,-0.19042969
a6.h5->logits,-0.0065612793,-0.060058594
a10.h9->m11,-0.0063171387,0.028564453
m4->m10,0.033203125,-0.030639648
a0.h9->m11,-0.0016098022,0.07324219
m0->a2.h6<v>,0.004486084,0.028930664
m0->a4.h2<v>,0.007873535,0.034179688
a6.h7->logits,-0.0049743652,0.061035156
m4->m8,-0.007019043,0.06738281
input->logits,0.056152344,-0.115234375
m1->m10,-0.03149414,-0.099609375
m1->m11,0.013122559,-0.047607422
m2->logits,0.16894531,-0.12060547
m3->m11,-0.005706787,-0.13085938
m2->m7,0.012451172,0.079589844
a8.h5->m11,-0.0047912598,0.041992188
input->m11,-0.0040893555,0.10546875
a0.h11->m0,0.0022125244,0.04345703
m0->a6.h5<q>,-0.0069885254,-0.03564453
m1->m8,0.026611328,0.03515625
m5->m8,0.013977051,-0.036621094
m1->logits,0.0115356445,-0.15136719
m9->m10,-0.0034332275,-0.15332031
input->a0.h11<v>,-0.007873535,-0.083984375
a0.h10->m11,-0.0016174316,0.07080078
m1->m6,0.01373291,-0.044921875
m0->m11,-0.20703125,0.030029297
a0.h9->logits,0.0027923584,0.057617188
m2->m3,-0.037109375,0.03881836
m0->m6,-0.024658203,0.16894531
m1->m2,0.060302734,0.14453125
a11.h8->m11,0.001876831,-0.060546875
input->a0.h8<v>,-0.030639648,-0.099609375
input->m3,0.0025787354,0.041015625
m4->m11,-0.050048828,0.16113281
m7->m10,-0.012878418,-0.07861328
m6->m10,-0.009887695,-0.05126953
m0->m5,-0.079589844,-0.3671875
m4->logits,0.056640625,-0.31835938
m6->m9,-0.002746582,-0.034179688
m8->m11,0.013977051,0.115234375
m7->m8,0.0041503906,-0.053222656
m0->a1.h11<v>,0.0018920898,0.035888672
m3->m4,0.0034332275,-0.06298828
m5->m9,-0.014221191,0.047607422
m0->a8.h2<v>,0.006134033,0.048828125
input->a0.h5<v>,-0.001663208,0.08886719
m4->m5,-0.009460449,-0.07080078
m6->m8,0.010498047,0.1484375
m2->m6,-0.024902344,-0.10498047
a8.h5->logits,-0.0030670166,0.043945312
m3->logits,0.020996094,-0.103515625
m1->m4,0.0030212402,0.039794922
m2->m10,-0.06542969,-0.060058594
m8->m10,-0.0051574707,-0.1328125
a5.h11->logits,-0.0030517578,0.036865234
a9.h3->m10,-0.0024871826,-0.048828125
m9->m11,0.050048828,-0.29492188
m2->a7.h6<q>,-0.0019683838,0.030883789
a11.h4->logits,0.0029754639,-0.34570312
m2->m9,0.009521484,0.04321289
m0->m7,0.037597656,-0.0625
input->a0.h5<k>,-0.0019683838,0.038330078
m1->m5,0.031982422,-0.12451172
input->m0,-0.123046875,0.69921875
m4->m9,-0.0017471313,-0.06738281
m6->m11,-0.038330078,0.08886719
a0.h6->m0,0.002532959,0.05883789
m0->m3,0.12011719,0.23535156
a6.h2->logits,-0.0026550293,0.030883789
m7->logits,0.030273438,-0.51171875
m0->a6.h4<k>,0.0018005371,0.05834961
m5->logits,0.08984375,-0.1796875
m10->logits,-0.33984375,-0.23242188
m0->logits,-0.26953125,-0.26171875
m0->m4,-0.014587402,-0.05810547
m0->a11.h8<v>,-0.0095825195,0.044921875
a11.h9->logits,0.0037841797,0.030151367
input->a0.h6<v>,0.022338867,0.1328125
a11.h3->logits,0.006866455,0.056884766
m0->a4.h6<k>,-0.00491333,0.03540039
m0->a8.h0<k>,0.0023651123,0.032470703
a10.h10->m11,0.0033721924,-0.056640625
m5->m11,-0.080078125,0.091308594
a8.h9->logits,-0.0032653809,0.0625
m5->m7,-0.01953125,0.14550781
a10.h2->logits,0.0027313232,-0.099609375
input->a0.h7<v>,-0.0016326904,-0.047851562
a10.h5->m11,-0.0076904297,0.07324219
m11->logits,-0.18457031,-0.12988281
m4->m6,0.010864258,0.2265625
m9->logits,-0.07519531,-0.35742188
a8.h10->logits,-0.004211426,-0.049804688
m1->m3,-0.04321289,-0.04663086
m7->m11,-0.03857422,0.032226562
m0->m10,-0.16015625,-0.23535156
m10->m11,0.1328125,-0.27734375
