edge,score_1,score_2
a11.h4->logits,0.08984375,-0.16210938
input->logits,0.31640625,0.17089844
m7->logits,-0.076171875,-0.22753906
input->a0.h10<v>,0.16113281,-0.040527344
m0->a1.h10<v>,0.061767578,0.063964844
m0->m4,-0.13964844,0.06298828
a1.h10->m1,0.11669922,0.032226562
m5->m10,-0.06982422,-0.036621094
a11.h11->logits,0.43164062,0.100097656
m5->m11,-0.103515625,0.018310547
m0->a2.h9<v>,-0.040527344,0.022216797
a11.h8->logits,0.21289062,-0.060546875
a10.h11->logits,0.03491211,0.021728516
m1->m2,0.12792969,0.26367188
a8.h8->logits,0.063964844,0.037109375
m0->a1.h4<v>,0.033691406,0.022827148
m3->m10,0.072265625,-0.05102539
m10->m11,0.15332031,-0.21777344
m2->logits,-0.28710938,-0.03466797
input->a0.h8<v>,0.21972656,-0.19140625
m0->m2,-0.1484375,0.123046875
a0.h5->m0,0.041503906,0.01940918
m2->m9,-0.091796875,-0.042236328
m9->m10,0.041015625,-0.068359375
a0.h5->logits,-0.053710938,0.028808594
m6->m11,0.13769531,0.03125
m0->m8,-0.5703125,-0.099609375
m0->a2.h10<v>,0.035888672,-0.021606445
m2->m3,-0.11425781,0.11425781
a0.h2->m0,0.11816406,0.026123047
m6->m9,-0.04272461,-0.059326172
m8->logits,-0.1796875,-0.2421875
input->a0.h5<v>,0.06689453,0.08984375
a10.h8->m11,0.040039062,0.020996094
a10.h5->logits,0.15332031,-0.020507812
m0->a10.h5<k>,0.036376953,-0.019897461
m4->m10,0.110839844,-0.030517578
m4->m6,0.059570312,0.061767578
m9->m11,0.122558594,0.024047852
a1.h7->m1,0.095214844,0.017700195
m2->m7,-0.04248047,0.063964844
a0.h3->m1,-0.080078125,0.026855469
m1->m8,-0.03540039,-0.034179688
input->a0.h9<v>,-0.14648438,-0.029541016
input->m8,0.05444336,-0.027832031
input->a0.h7<v>,0.17578125,-0.18652344
m0->logits,-0.94140625,0.20703125
m5->logits,0.029418945,-0.09814453
m3->logits,0.068359375,-0.045654297
m9->logits,-0.21484375,-0.41796875
a11.h0->logits,-0.09765625,0.21972656
m0->a2.h7<v>,0.043945312,0.023803711
input->m5,-0.040527344,-0.018432617
a0.h9->logits,0.064453125,0.052490234
m10->a11.h11<v>,0.10449219,0.024658203
a1.h5->logits,0.04663086,-0.02331543
m1->m4,0.043701172,-0.12890625
m3->m8,-0.039794922,-0.03112793
m0->a1.h7<v>,-0.12109375,-0.021728516
a3.h4->logits,-0.032714844,0.019042969
a0.h4->m0,-0.03491211,0.06982422
a6.h4->logits,-0.030517578,0.030029297
m0->m1,-0.75,0.09326172
m2->m6,-0.048828125,-0.022216797
m2->m10,-0.23144531,-0.018310547
m0->a1.h8<v>,-0.12792969,-0.018554688
a0.h7->m0,-0.07324219,-0.14453125
m0->m3,-0.04345703,0.111816406
input->a0.h4<v>,-0.1796875,0.10546875
m0->a2.h6<v>,-0.03466797,0.025878906
a1.h1->logits,-0.04663086,0.049072266
a11.h8->m11,-0.44335938,-0.041015625
m0->m7,0.29101562,0.13964844
a11.h9->logits,0.10888672,0.02355957
m11->logits,0.17089844,-0.88671875
a8.h5->logits,0.09765625,0.01953125
a0.h11->m1,0.045410156,0.024169922
a1.h10->m2,0.12695312,0.03149414
m0->m11,-0.4296875,-0.16503906
m2->m4,0.107910156,-0.061767578
a0.h7->m2,-0.031982422,0.029541016
a6.h6->logits,0.056640625,-0.048095703
a0.h3->m0,-0.064453125,-0.019042969
m7->m9,-0.037597656,-0.03125
m5->m8,0.13085938,-0.033691406
m3->m9,0.03515625,-0.034179688
m1->logits,0.05493164,-0.079589844
a10.h5->m11,0.10253906,0.030639648
m3->a11.h8<v>,-0.034423828,0.020629883
a10.h10->m11,0.092285156,-0.01928711
a11.h4->m11,-0.05053711,0.15234375
m10->logits,-0.55078125,-0.48242188
m6->logits,0.078125,-0.111816406
m0->a11.h8<v>,-0.26171875,0.033691406
m0->m10,-0.2109375,-0.17578125
m2->m8,0.19140625,0.01977539
input->m0,-3.375,0.6640625
input->a0.h6<v>,0.09423828,0.20507812
a0.h10->m0,0.03955078,-0.048339844
a11.h3->logits,0.14550781,0.03540039
a8.h2->m11,0.034423828,0.03491211
m0->a2.h0<v>,-0.057617188,0.046142578
m6->m10,-0.030639648,-0.048828125
m4->logits,0.2734375,-0.06689453
m0->a1.h5<v>,0.032714844,-0.024902344
input->a0.h11<v>,0.06982422,-0.033447266
m4->m11,-0.17285156,-0.025268555
a4.h8->logits,0.029541016,0.019897461
m7->m11,0.09765625,0.041259766
m0->m5,-0.06591797,-0.053710938
a2.h6->logits,0.030883789,0.029541016
input->m2,0.055664062,-0.031982422
a0.h1->m1,-0.056884766,0.036376953
m8->m9,-0.100097656,-0.028564453
a1.h7->logits,-0.056152344,0.041503906
a0.h11->m0,-0.06225586,0.03466797
a1.h1->m1,0.048095703,-0.04321289
a1.h4->m1,0.13476562,0.025146484
m0->a6.h6<v>,-0.076171875,-0.018066406
m0->m6,0.49023438,-0.07373047
