edge,score_1,score_2
m2->m11,0.7734375,-0.046142578
m8->m9,-0.100097656,-0.045654297
m3->m9,0.03515625,-0.025756836
a1.h1->m1,0.048095703,0.024902344
m11->logits,0.17089844,-1.7265625
input->a0.h11<v>,0.06982422,-0.22167969
m0->m11,-0.4296875,-0.028320312
a0.h8->m1,0.091308594,0.03125
m0->m2,-0.1484375,0.049804688
m2->m8,0.19140625,0.026367188
a11.h4->m11,-0.05053711,-0.08984375
m9->m11,0.122558594,-0.038085938
m6->logits,0.078125,0.036376953
a8.h2->m11,0.034423828,-0.1328125
a7.h6->m8,-0.032226562,0.0154418945
m7->m9,-0.037597656,0.05493164
m1->logits,0.05493164,-0.056152344
a1.h4->m1,0.13476562,-0.02722168
m5->m11,-0.103515625,-0.036132812
m0->m1,-0.75,0.22753906
a7.h4->m11,0.036132812,-0.038330078
a6.h3->logits,-0.038330078,-0.053955078
a6.h4->logits,-0.030517578,-0.020141602
a7.h8->logits,-0.067871094,-0.014282227
a1.h10->a11.h8<v>,0.05444336,0.015991211
a11.h0->logits,-0.09765625,-0.123535156
m1->m4,0.043701172,-0.068847656
a9.h3->m11,-0.044433594,0.023803711
a8.h11->logits,-0.10498047,-0.02734375
a11.h8->logits,0.21289062,-0.16015625
m4->m11,-0.17285156,-0.076171875
a2.h1->m2,0.030029297,-0.01928711
a11.h11->logits,0.43164062,-0.10449219
m2->m6,-0.048828125,-0.036621094
a0.h7->m1,0.06542969,0.03491211
m0->m6,0.49023438,-0.091308594
m2->logits,-0.28710938,-0.02734375
a10.h5->m11,0.10253906,-0.029541016
m7->m11,0.09765625,-0.20410156
a10.h4->m11,-0.03857422,0.01574707
a11.h10->m11,0.032714844,0.014831543
a8.h2->logits,-0.12109375,-0.041503906
m1->m3,0.095703125,0.06933594
a11.h4->logits,0.08984375,0.21972656
a6.h7->logits,0.030639648,-0.028442383
a9.h5->m11,-0.038330078,-0.024536133
m4->logits,0.2734375,0.036132812
a9.h6->m11,-0.048095703,0.03125
a1.h5->logits,0.04663086,-0.026611328
a10.h5->m10,0.036621094,0.03857422
a6.h3->m6,-0.028442383,0.045898438
m3->m6,0.04248047,-0.030517578
m7->logits,-0.076171875,0.14160156
a9.h4->m11,-0.030029297,0.05834961
a3.h5->logits,-0.05810547,-0.021728516
a0.h1->m1,-0.056884766,0.091308594
a0.h7->m10,0.029174805,0.03540039
a9.h6->logits,0.042236328,-0.032470703
input->a0.h7<v>,0.17578125,0.03125
m2->m4,0.107910156,-0.029663086
a1.h9->m1,0.08886719,-0.015075684
a8.h6->logits,-0.049804688,-0.033691406
m10->logits,-0.55078125,-0.34960938
a8.h5->logits,0.09765625,-0.041015625
input->a0.h9<v>,-0.14648438,0.05493164
m4->m6,0.059570312,0.033691406
m8->m11,0.09375,-0.16992188
a10.h11->logits,0.03491211,-0.022827148
m6->m11,0.13769531,-0.19921875
m3->m5,0.033203125,0.019042969
a0.h5->logits,-0.053710938,-0.03930664
m0->m3,-0.04345703,-0.059570312
m1->m10,0.033691406,-0.103027344
a10.h8->logits,0.14453125,-0.017700195
input->a0.h5<v>,0.06689453,-0.026977539
a11.h8->m11,-0.44335938,0.035888672
a0.h3->m0,-0.064453125,0.028442383
m3->a11.h8<v>,-0.034423828,0.046142578
a0.h10->m0,0.03955078,0.071777344
a6.h6->logits,0.056640625,0.048339844
a11.h9->logits,0.10888672,-0.06640625
input->m0,-3.375,0.81640625
m5->logits,0.029418945,0.023071289
a10.h9->logits,0.030639648,-0.014587402
m0->m4,-0.13964844,-0.057861328
a5.h3->logits,0.05810547,-0.032226562
m4->m8,0.033447266,0.025756836
m4->m10,0.110839844,-0.0625
a9.h9->logits,-0.17871094,-0.014892578
a10.h0->logits,-0.046142578,-0.05444336
a0.h7->m0,-0.07324219,0.059326172
m0->a1.h2<v>,0.064453125,-0.019897461
m2->m10,-0.23144531,-0.099609375
a9.h0->logits,0.036132812,-0.017944336
a11.h3->logits,0.14550781,-0.11230469
a10.h3->logits,0.051757812,-0.05126953
a4.h8->logits,0.029541016,0.016967773
m1->m2,0.12792969,-0.044433594
m9->m10,0.041015625,0.083984375
m2->m3,-0.11425781,0.044677734
a11.h5->logits,0.048095703,-0.08984375
m2->m9,-0.091796875,-0.027709961
m0->a2.h7<v>,0.043945312,0.015014648
m3->m8,-0.039794922,0.036621094
m0->a9.h5<v>,-0.08935547,0.017822266
a10.h5->logits,0.15332031,-0.049316406
a0.h5->m1,-0.041503906,0.067871094
input->a0.h3<v>,-0.13085938,0.08935547
m0->a1.h7<v>,-0.12109375,0.020507812
m4->a11.h8<v>,-0.035888672,0.014709473
a11.h7->m11,-0.030639648,0.01965332
a11.h6->logits,-0.31445312,-0.017089844
m0->a3.h10<v>,-0.030639648,0.015991211
input->a0.h8<v>,0.21972656,-0.11425781
m0->m5,-0.06591797,0.092285156
a7.h6->m11,0.084472656,-0.030761719
m6->m9,-0.04272461,0.045410156
a1.h0->logits,-0.037353516,-0.014770508
m0->logits,-0.94140625,-0.13964844
a9.h2->logits,0.07763672,-0.025268555
m0->a11.h8<v>,-0.26171875,0.036621094
m9->logits,-0.21484375,0.044921875
a10.h1->logits,-0.033691406,-0.02722168
a9.h5->logits,-0.13476562,-0.015136719
a0.h7->m11,0.03564453,-0.044433594
a9.h4->logits,-0.11230469,-0.060302734
m1->m8,-0.03540039,-0.035888672
a8.h0->m11,-0.08935547,0.048095703
input->a0.h6<v>,0.09423828,0.12451172
