edge,score_1,score_2
input->a0.h8<v>,0.21972656,-0.099609375
m7->logits,-0.076171875,-0.51171875
m2->logits,-0.28710938,-0.12060547
m0->m7,0.29101562,-0.0625
m1->m8,-0.03540039,0.03515625
m0->a5.h3<v>,0.13964844,0.03540039
a0.h10->m0,0.03955078,-0.10888672
a1.h2->m1,0.12792969,-0.03491211
m0->a2.h7<v>,0.043945312,0.050048828
m1->m2,0.12792969,0.14453125
m3->m6,0.04248047,-0.06640625
m0->a1.h1<v>,-0.045898438,-0.04272461
m2->m3,-0.11425781,0.03881836
m2->m6,-0.048828125,-0.10498047
a0.h11->m0,-0.06225586,0.04345703
m9->m11,0.122558594,-0.29492188
m4->m8,0.033447266,0.06738281
m4->m9,0.09765625,-0.06738281
m2->m4,0.107910156,-0.111816406
input->m2,0.055664062,-0.036621094
m9->logits,-0.21484375,-0.35742188
m6->m11,0.13769531,0.08886719
a9.h5->m11,-0.038330078,0.032226562
m5->m7,-0.057861328,0.14550781
m6->m9,-0.04272461,-0.034179688
a10.h5->m11,0.10253906,0.07324219
a6.h7->logits,0.030639648,0.061035156
m4->m6,0.059570312,0.2265625
m0->a2.h6<v>,-0.03466797,0.028930664
input->m0,-3.375,0.69921875
m0->a2.h10<v>,0.035888672,-0.040527344
a10.h5->logits,0.15332031,-0.032226562
a0.h8->m0,-0.033203125,0.036621094
m0->m1,-0.75,1.2734375
m0->a4.h2<v>,0.18457031,0.034179688
m0->a3.h8<v>,0.045410156,-0.036865234
a1.h7->m1,0.095214844,-0.040527344
a1.h7->m2,0.0546875,0.038330078
a11.h9->logits,0.10888672,0.030151367
a8.h5->logits,0.09765625,0.043945312
m4->m11,-0.17285156,0.16113281
a10.h5->m10,0.036621094,-0.034179688
a1.h1->m1,0.048095703,-0.055664062
a0.h3->m0,-0.064453125,-0.053955078
a1.h8->m1,-0.125,0.045410156
m0->m11,-0.4296875,0.030029297
m1->m4,0.043701172,0.039794922
a1.h0->logits,-0.037353516,-0.032226562
m5->m11,-0.103515625,0.091308594
m7->m9,-0.037597656,-0.064453125
m9->m10,0.041015625,-0.15332031
a0.h7->m11,0.03564453,0.051513672
m4->a11.h8<v>,-0.035888672,0.032226562
m4->m10,0.110839844,-0.030639648
m2->m7,-0.04248047,0.079589844
m3->m4,0.036865234,-0.06298828
m0->a8.h2<v>,-0.029663086,0.048828125
m1->m3,0.095703125,-0.04663086
a1.h10->m1,0.11669922,0.076171875
m3->logits,0.068359375,-0.103515625
m5->m8,0.13085938,-0.036621094
a1.h4->m11,-0.037597656,-0.03491211
a11.h4->m11,-0.05053711,0.3359375
a11.h4->logits,0.08984375,-0.34570312
a1.h2->logits,-0.04272461,-0.051513672
m1->m10,0.033691406,-0.099609375
m1->logits,0.05493164,-0.15136719
input->a0.h4<v>,-0.1796875,0.05444336
m10->logits,-0.55078125,-0.23242188
m2->m9,-0.091796875,0.04321289
a0.h9->logits,0.064453125,0.057617188
a0.h5->m0,0.041503906,0.028442383
m6->logits,0.078125,-0.3828125
a0.h5->m1,-0.041503906,0.05126953
m0->m4,-0.13964844,-0.05810547
a11.h8->m11,-0.44335938,-0.060546875
input->a0.h5<v>,0.06689453,0.08886719
a0.h7->m2,-0.031982422,-0.032226562
a8.h2->logits,-0.12109375,-0.57421875
a1.h4->m2,0.028442383,0.032226562
m0->m5,-0.06591797,-0.3671875
m0->m10,-0.2109375,-0.23535156
a7.h6->logits,0.084472656,-0.035888672
a6.h4->logits,-0.030517578,-0.048095703
input->a0.h7<v>,0.17578125,-0.047851562
a11.h0->logits,-0.09765625,-0.31445312
m7->m11,0.09765625,0.032226562
m10->m11,0.15332031,-0.27734375
m0->a1.h5<v>,0.032714844,-0.045654297
a11.h8->logits,0.21289062,0.06738281
a0.h1->m1,-0.056884766,0.04272461
a11.h5->logits,0.048095703,0.029785156
a8.h2->m11,0.034423828,0.87890625
m0->a11.h8<v>,-0.26171875,0.044921875
input->a0.h6<v>,0.09423828,0.1328125
a11.h3->logits,0.14550781,0.056884766
a10.h10->m11,0.092285156,-0.056640625
a3.h4->logits,-0.032714844,0.042236328
input->a0.h11<v>,0.06982422,-0.083984375
m8->logits,-0.1796875,-0.37695312
m0->m3,-0.04345703,0.23535156
input->logits,0.31640625,-0.115234375
m6->m10,-0.030639648,-0.05126953
a1.h1->logits,-0.04663086,0.07763672
a10.h2->logits,-0.23144531,-0.099609375
m0->m9,0.111816406,-0.19042969
m8->m11,0.09375,0.115234375
m0->m6,0.49023438,0.16894531
m2->m10,-0.23144531,-0.060058594
m8->m9,-0.100097656,0.08496094
m0->logits,-0.94140625,-0.26171875
m0->a1.h11<v>,-0.041503906,0.035888672
a10.h4->m11,-0.03857422,0.032714844
m5->logits,0.029418945,-0.1796875
a6.h2->logits,0.08544922,0.030883789
m4->logits,0.2734375,-0.31835938
m11->logits,0.17089844,-0.12988281
