edge,score_1,score_2
m0->a1.h4<v>,0.033691406,-0.0099487305
m9->logits,-0.21484375,-0.13769531
a10.h9->logits,0.030639648,-0.024047852
m1->m2,0.12792969,-0.12890625
a11.h4->logits,0.08984375,-0.05102539
m9->m10,0.041015625,-0.055419922
input->a0.h6<v>,0.09423828,0.125
m3->m5,0.033203125,0.036865234
m0->m6,0.49023438,0.052734375
a1.h1->logits,-0.04663086,0.01574707
input->m0,-3.375,0.10986328
a11.h11->logits,0.43164062,0.020751953
m4->m8,0.033447266,-0.021606445
m3->m4,0.036865234,0.049316406
m8->logits,-0.1796875,-0.12011719
a1.h0->logits,-0.037353516,-0.011474609
m3->m10,0.072265625,0.01977539
a0.h7->m0,-0.07324219,-0.013427734
m2->m8,0.19140625,0.018310547
m3->logits,0.068359375,-0.019042969
a8.h6->logits,-0.049804688,0.018798828
input->m2,0.055664062,0.0134887695
a8.h2->m11,0.034423828,0.040283203
a1.h1->m1,0.048095703,-0.015075684
m7->logits,-0.076171875,-0.038085938
a0.h0->m1,0.036621094,-0.01373291
m0->m10,-0.2109375,-0.038085938
input->a0.h10<v>,0.16113281,-0.019897461
a1.h10->m2,0.12695312,-0.017089844
m10->m11,0.15332031,-0.07519531
m1->logits,0.05493164,-0.03881836
m6->m11,0.13769531,-0.025268555
a1.h7->m2,0.0546875,0.04321289
m0->m3,-0.04345703,0.03930664
m0->a6.h2<v>,0.23339844,0.010131836
a0.h6->m1,0.091796875,-0.027832031
m0->m7,0.29101562,0.01373291
m1->m3,0.095703125,0.07519531
a6.h6->logits,0.056640625,-0.010681152
a8.h8->logits,0.063964844,-0.012451172
m0->m9,0.111816406,-0.01928711
a11.h4->m11,-0.05053711,0.034423828
m2->m6,-0.048828125,0.03466797
m6->m9,-0.04272461,0.013671875
a9.h2->logits,0.07763672,0.009887695
input->a0.h4<v>,-0.1796875,0.022338867
m0->a8.h2<v>,-0.029663086,-0.018554688
input->a0.h7<v>,0.17578125,-0.024902344
m0->m2,-0.1484375,-0.09423828
a6.h7->logits,0.030639648,0.026977539
a10.h2->logits,-0.23144531,-0.011962891
m0->a1.h10<v>,0.061767578,-0.009460449
m4->m11,-0.17285156,-0.014709473
m9->m11,0.122558594,-0.061279297
m7->m11,0.09765625,0.014526367
a6.h3->m6,-0.028442383,-0.0095825195
a11.h9->logits,0.10888672,0.013122559
m7->m9,-0.037597656,-0.057617188
input->a0.h5<v>,0.06689453,0.032470703
input->a0.h11<v>,0.06982422,-0.049316406
m0->a1.h11<v>,-0.041503906,-0.011169434
a11.h10->m11,0.032714844,0.010803223
m1->m10,0.033691406,-0.020996094
m8->m11,0.09375,-0.053466797
a0.h7->m11,0.03564453,0.022705078
a0.h5->m1,-0.041503906,-0.009521484
m1->m4,0.043701172,0.048828125
m2->m11,0.7734375,0.019165039
m0->logits,-0.94140625,-0.07861328
m0->m11,-0.4296875,-0.017333984
a2.h1->m2,0.030029297,0.029663086
m5->m7,-0.057861328,-0.034423828
a0.h11->m0,-0.06225586,0.036865234
m0->a2.h5<v>,-0.033691406,-0.010253906
a8.h5->logits,0.09765625,0.01373291
m0->m4,-0.13964844,0.010131836
m0->a3.h11<v>,-0.030883789,-0.01940918
a10.h5->logits,0.15332031,-0.032714844
input->m8,0.05444336,-0.012878418
m2->m10,-0.23144531,-0.023803711
input->a0.h3<v>,-0.13085938,-0.00970459
m6->m10,-0.030639648,-0.016845703
a1.h4->m1,0.13476562,-0.0138549805
a5.h10->logits,-0.040039062,-0.010864258
m3->m6,0.04248047,-0.028564453
a0.h9->logits,0.064453125,0.015563965
a1.h7->m1,0.095214844,-0.024658203
a11.h8->m11,-0.44335938,-0.019897461
m5->m11,-0.103515625,0.017456055
m0->a1.h8<v>,-0.12792969,0.010131836
m0->a2.h10<v>,0.035888672,-0.020751953
a0.h7->m1,0.06542969,-0.0154418945
a1.h8->m11,-0.032226562,0.010314941
a2.h2->logits,-0.044677734,-0.012207031
a0.h1->m1,-0.056884766,0.02746582
input->a0.h9<v>,-0.14648438,-0.010131836
m8->m9,-0.100097656,-0.038330078
a9.h7->m11,-0.036621094,0.010314941
a0.h3->m1,-0.080078125,0.010253906
input->a0.h8<v>,0.21972656,-0.12451172
m4->logits,0.2734375,-0.028442383
a1.h0->m1,0.048828125,0.010009766
a10.h5->m11,0.10253906,0.03881836
m4->m6,0.059570312,0.028564453
m0->a2.h6<v>,-0.03466797,0.0234375
m10->logits,-0.55078125,-0.033935547
m2->m3,-0.11425781,0.017700195
m0->m1,-0.75,0.16503906
m5->m8,0.13085938,0.013916016
a7.h5->logits,-0.036376953,0.018920898
a7.h6->logits,0.084472656,-0.019897461
