edge,score_1,score_2
a6.h10->logits,0.029663086,0.025146484
a0.h11->logits,0.013183594,-0.03491211
input->a0.h7<v>,-0.014526367,-0.18652344
m0->m10,0.071777344,-0.17578125
m8->logits,-0.021362305,-0.2421875
input->a0.h0<v>,0.00793457,-0.023071289
m6->logits,-0.041259766,-0.111816406
m0->a1.h8<v>,0.0069885254,-0.018554688
a11.h8->m11,0.044921875,-0.041015625
m0->a3.h3<v>,0.011657715,-0.038330078
a11.h11->logits,-0.050048828,0.100097656
m0->m3,-0.076171875,0.111816406
m0->m7,0.05834961,0.13964844
a0.h10->m0,-0.007446289,-0.048339844
a0.h4->logits,0.00982666,0.026367188
m1->logits,0.012817383,-0.079589844
m0->a1.h4<v>,-0.012023926,0.022827148
input->a0.h10<v>,-0.022216797,-0.040527344
m0->a2.h0<v>,-0.010681152,0.046142578
m4->m6,-0.020751953,0.061767578
m0->a1.h5<v>,0.012634277,-0.024902344
m4->logits,0.038085938,-0.06689453
a3.h4->logits,0.011657715,0.019042969
m6->m11,0.014770508,0.03125
m0->logits,-0.25195312,0.20703125
m10->m11,-0.08203125,-0.21777344
a8.h0->logits,-0.025268555,0.030639648
a11.h10->logits,-0.025512695,-0.02734375
m10->logits,0.26953125,-0.48242188
input->a0.h1<v>,0.0079956055,-0.0390625
m2->logits,-0.15332031,-0.03466797
m0->m6,0.059326172,-0.07373047
m0->a6.h6<v>,-0.016845703,-0.018066406
a0.h7->m0,0.0068359375,-0.14453125
m0->m1,-0.10498047,0.09326172
m0->a3.h7<v>,0.008544922,0.023071289
a0.h9->m0,0.021606445,-0.028320312
a0.h6->m11,-0.011169434,0.020141602
a10.h5->m11,-0.0068359375,0.030639648
input->m5,-0.010070801,-0.018432617
m2->a6.h8<v>,-0.012634277,-0.01928711
a10.h10->m11,-0.0134887695,-0.01928711
m5->m6,-0.023925781,-0.017700195
input->m0,-0.30664062,0.6640625
m0->a2.h9<v>,0.018554688,0.022216797
m7->m11,-0.006225586,0.041259766
m0->m11,0.15527344,-0.16503906
a8.h8->logits,-0.010253906,0.037109375
a1.h7->logits,0.01965332,0.041503906
m3->m11,0.0057373047,0.02746582
input->a0.h11<v>,0.018432617,-0.033447266
a0.h4->m0,-0.006713867,0.06982422
m9->m11,-0.045654297,0.024047852
a10.h7->logits,-0.03173828,-0.029785156
a0.h9->m4,-0.005279541,-0.021850586
m2->m8,-0.022949219,0.01977539
a11.h0->logits,-0.037841797,0.21972656
m1->m11,-0.006378174,-0.056640625
m0->a11.h8<v>,0.008178711,0.033691406
m2->m7,-0.041503906,0.063964844
a1.h5->logits,0.017700195,-0.02331543
input->m2,0.010314941,-0.031982422
m2->m9,-0.020141602,-0.042236328
m0->m2,-0.20507812,0.123046875
m9->logits,0.07763672,-0.41796875
m0->a1.h7<v>,-0.0052490234,-0.021728516
a8.h5->logits,-0.017700195,0.01953125
a1.h10->m2,-0.011108398,0.03149414
m0->a4.h11<v>,0.0063171387,-0.020019531
a10.h5->logits,0.034423828,-0.020507812
a11.h0->m11,0.04321289,-0.039794922
m1->m6,-0.0057678223,-0.20410156
m0->a2.h10<v>,0.017333984,-0.021606445
a1.h10->m1,-0.013671875,0.032226562
m4->m11,0.02746582,-0.025268555
m2->a11.h8<v>,-0.006134033,0.025634766
a0.h2->logits,0.036865234,0.026855469
a0.h1->m0,0.013305664,-0.022827148
m0->a1.h0<v>,0.033447266,-0.020629883
a0.h3->m0,0.010803223,-0.019042969
a10.h4->logits,0.045654297,0.056884766
input->a0.h9<v>,0.044433594,-0.029541016
m0->a1.h10<v>,-0.0079956055,0.063964844
m1->m2,-0.04321289,0.26367188
a0.h5->logits,-0.024902344,0.028808594
m5->logits,0.02355957,-0.09814453
m10->a11.h0<v>,0.0054016113,0.044677734
m9->m10,0.008911133,-0.068359375
m4->m5,-0.010986328,-0.03515625
a0.h1->m11,0.010803223,-0.022705078
input->logits,0.037353516,0.17089844
a0.h2->m11,-0.0054016113,-0.023071289
m2->a4.h6<v>,0.0095825195,0.05029297
a1.h1->logits,0.006866455,0.049072266
input->a0.h5<v>,0.013366699,0.08984375
a0.h2->m0,-0.008972168,0.026123047
input->m6,-0.0053100586,-0.024902344
a11.h9->logits,0.055908203,0.02355957
m1->m4,-0.010070801,-0.12890625
a0.h9->logits,0.025146484,0.052490234
a0.h9->m11,0.014160156,-0.029663086
input->a0.h6<v>,0.017700195,0.20507812
m2->m3,0.044677734,0.11425781
m11->logits,0.40039062,-0.88671875
a11.h4->m11,0.008483887,0.15234375
a0.h11->m0,0.014587402,0.03466797
a0.h5->m0,0.0138549805,0.01940918
m0->m4,0.038085938,0.06298828
m7->logits,-0.010070801,-0.22753906
m5->m11,0.021362305,0.018310547
a10.h11->logits,0.022216797,0.021728516
a11.h3->logits,0.011169434,0.03540039
a1.h7->m1,-0.008178711,0.017700195
a8.h10->logits,-0.03491211,-0.047607422
m0->m5,0.09375,-0.053710938
m2->m4,0.015258789,-0.061767578
