edge,score_1,score_2
input->a0.h6<v>,0.017700195,0.12451172
m9->logits,0.07763672,0.044921875
a11.h5->m11,0.010498047,0.068847656
input->a0.h3<v>,0.008239746,0.08935547
a10.h5->logits,0.034423828,-0.049316406
m0->a9.h5<v>,0.00793457,0.017822266
m2->m11,0.15039062,-0.046142578
a9.h6->logits,0.014587402,-0.032470703
a0.h1->logits,-0.030639648,-0.014526367
a11.h0->logits,-0.037841797,-0.123535156
a0.h3->logits,0.0077819824,-0.034423828
a8.h2->logits,0.04711914,-0.041503906
a10.h11->logits,0.022216797,-0.022827148
a11.h3->logits,0.011169434,-0.11230469
a10.h9->logits,-0.012878418,-0.014587402
a0.h4->logits,0.00982666,-0.029052734
m0->logits,-0.25195312,-0.13964844
a0.h3->m0,0.010803223,0.028442383
a0.h10->m0,-0.007446289,0.071777344
a11.h1->logits,0.01171875,-0.06542969
a10.h7->logits,-0.03173828,-0.016845703
a1.h7->m4,-0.0061035156,0.026611328
a11.h11->logits,-0.050048828,-0.10449219
a10.h4->m11,0.006378174,0.01574707
m0->m11,0.15527344,-0.028320312
a11.h10->logits,-0.025512695,0.017333984
m2->m8,-0.022949219,0.026367188
m0->a3.h10<v>,0.016723633,0.015991211
a0.h1->m11,0.010803223,-0.049804688
a1.h9->m11,0.0119018555,0.029174805
m2->logits,-0.15332031,-0.02734375
a9.h5->m11,-0.010314941,-0.024536133
a10.h3->logits,0.0056152344,-0.05126953
m0->m1,-0.10498047,0.22753906
m10->logits,0.26953125,-0.34960938
a11.h9->m11,0.0063171387,0.04321289
a6.h0->logits,-0.0099487305,-0.015319824
m0->a11.h8<v>,0.008178711,0.036621094
m0->m6,0.059326172,-0.091308594
m9->m10,0.008911133,0.083984375
m1->m3,-0.015625,0.06933594
a10.h1->logits,0.012268066,-0.02722168
a0.h7->m0,0.0068359375,0.059326172
m1->m6,-0.0057678223,-0.056884766
a11.h0->m11,0.04321289,-0.053955078
m0->m2,-0.20507812,0.049804688
a10.h8->logits,0.030883789,-0.017700195
a7.h4->m11,-0.007232666,-0.038330078
m4->m6,-0.020751953,0.033691406
m1->m4,-0.010070801,-0.068847656
a10.h2->m11,0.0067443848,-0.03466797
a9.h0->logits,-0.0078125,-0.017944336
m5->logits,0.02355957,0.023071289
a6.h7->m6,-0.0056762695,-0.022216797
a2.h3->logits,0.012207031,-0.021118164
a8.h9->logits,0.006011963,0.037109375
m9->m11,-0.045654297,-0.038085938
m6->m11,0.014770508,-0.19921875
a8.h3->m11,0.006225586,0.025146484
m1->m2,-0.04321289,-0.044433594
input->a0.h1<v>,0.0079956055,-0.045898438
m4->m11,0.02746582,-0.076171875
m0->m4,0.038085938,-0.057861328
m2->a11.h8<v>,-0.006134033,0.125
a6.h5->logits,0.020019531,0.014404297
a8.h6->logits,0.01965332,-0.033691406
m6->logits,-0.041259766,0.036376953
a3.h5->logits,0.011413574,-0.021728516
a8.h5->m11,-0.006958008,-0.06542969
m0->m5,0.09375,0.092285156
a9.h8->logits,0.008666992,-0.018432617
m1->logits,0.012817383,-0.056152344
a5.h11->logits,0.023925781,0.026977539
m2->m5,-0.0234375,0.072265625
a11.h9->logits,0.055908203,-0.06640625
input->a0.h9<v>,0.044433594,0.05493164
m2->m3,0.044677734,0.044677734
a10.h5->m11,-0.0068359375,-0.029541016
m0->a2.h3<v>,0.02355957,-0.014221191
a6.h5->m11,0.008544922,-0.047607422
m5->m6,-0.023925781,0.017089844
a0.h1->m0,0.013305664,-0.092285156
m7->logits,-0.010070801,0.14160156
a1.h5->logits,0.017700195,-0.026611328
input->a0.h7<v>,-0.014526367,0.03125
a1.h0->logits,0.006866455,-0.014770508
input->m0,-0.30664062,0.81640625
input->a0.h11<v>,0.018432617,-0.22167969
a11.h7->logits,-0.0064086914,-0.067871094
m4->m5,-0.010986328,-0.020751953
a11.h7->m11,0.008422852,0.01965332
a9.h2->logits,0.010620117,-0.025268555
m3->m11,0.0057373047,-0.06738281
a0.h5->logits,-0.024902344,-0.03930664
a8.h5->logits,-0.017700195,-0.041015625
m0->a1.h7<v>,-0.0052490234,0.020507812
a0.h9->m10,0.005432129,0.024414062
a10.h4->logits,0.045654297,-0.034179688
a11.h4->m11,0.008483887,-0.08984375
a11.h8->m11,0.044921875,0.035888672
m4->logits,0.038085938,0.036132812
m11->logits,0.40039062,-1.7265625
m8->m11,-0.017089844,-0.16992188
a7.h7->m11,0.005279541,0.019897461
m10->a11.h0<v>,0.0054016113,-0.026733398
input->a0.h5<v>,0.013366699,-0.026977539
a0.h9->m0,0.021606445,0.038330078
a5.h3->logits,0.009521484,-0.032226562
m2->m9,-0.020141602,-0.027709961
a0.h5->m11,0.017211914,-0.06689453
m0->m3,-0.076171875,-0.059570312
a11.h3->m11,-0.0059814453,0.052246094
m7->m11,-0.006225586,-0.20410156
a6.h3->logits,0.028320312,-0.053955078
m2->m4,0.015258789,-0.029663086
m5->m11,0.021362305,-0.036132812
a10.h5->m10,0.0072021484,0.03857422
