edge,score_1,score_2
m1->a4.h5<q>,1.648,-2.015625
m1->a2.h17<k>,-1.995,0.25976562
m1->a3.h13<q>,-0.3853,0.55859375
m1->a2.h13<q>,-0.9287,0.10888672
m1->a2.h16<q>,1.41,0.14453125
m1->a4.h1<q>,2.363,0.100097656
m1->a8.h23<k>,-0.605,-0.091796875
m1->a6.h13<k>,0.6406,0.63671875
m1->a8.h25<k>,-2.363,0.09375
m1->a5.h4<q>,2.846,0.90625
m1->a11.h17<k>,-0.9893,-0.103515625
m30->a31.h11<q>,-0.4976,-0.20214844
m1->a2.h8<k>,0.673,0.15332031
m1->a2.h23<k>,0.455,-0.16992188
m1->a2.h29<k>,-1.068,-0.08984375
m1->a2.h16<k>,-2.283,-0.21582031
m1->a4.h24<q>,1.226,0.15039062
m1->m7,-5.133,0.15234375
m1->a6.h5<q>,0.464,0.19726562
m1->a8.h9<k>,0.4478,0.19921875
m1->a2.h22<k>,-4.46,-0.9453125
m1->a8.h18<k>,-2.564,0.14453125
m1->a5.h18<q>,0.721,0.20019531
m1->a7.h25<q>,-7.207,-0.36914062
m1->a2.h13<k>,2.066,-0.24121094
m1->a9.h4<q>,1.836,0.20214844
m1->a4.h27<k>,0.6353,0.123535156
m1->a11.h30<q>,0.6885,-0.07421875
m31->logits,4.32,2.484375
m1->a3.h23<q>,1.521,-0.2421875
m1->a2.h25<q>,-1.717,1.296875
m1->a2.h18<k>,1.093,-0.12451172
m1->a2.h5<k>,1.914,-0.78125
m1->a2.h24<k>,-2.096,0.33789062
m1->a7.h5<k>,-0.987,0.111816406
m30->logits,-2.229,-2.078125
m1->a6.h18<q>,0.9976,0.107910156
m1->a5.h17<k>,3.447,-0.24902344
m1->a8.h7<q>,1.083,-0.23339844
m1->a5.h1<k>,0.399,-0.076660156
m1->m8,-2.287,-0.69921875
m1->a6.h8<q>,0.798,-4.53125
m1->a5.h0<q>,-2.203,0.63671875
m1->a3.h21<k>,0.459,-0.26953125
m1->a8.h9<q>,-0.921,-0.12890625
m1->a3.h20<q>,-0.999,-0.30273438
m1->a8.h16<q>,2.328,-0.080566406
m1->a4.h10<q>,-0.7104,0.18164062
m1->a8.h8<k>,0.3696,-0.15625
m1->a5.h8<q>,-0.807,-0.55078125
m1->a7.h21<q>,-3.918,0.265625
m1->a6.h1<q>,-3.598,-0.71484375
m1->a15.h6<q>,11.766,-0.09375
m1->a2.h27<k>,-0.4558,0.17871094
m1->a3.h30<q>,0.474,-0.6953125
m1->a6.h14<k>,-0.3948,0.08642578
m1->a8.h24<k>,1.463,0.24414062
m1->a2.h30<q>,-0.7866,0.6484375
m1->a2.h30<k>,0.9834,-0.890625
m1->a4.h26<k>,0.719,-0.78125
m30->m31,1.62,1.15625
m1->a8.h3<k>,0.5205,0.103027344
m1->a8.h13<q>,0.4624,-0.1953125
m1->a4.h8<q>,0.594,0.18847656
m1->a2.h5<q>,0.8203,-0.13476562
m1->a2.h26<q>,-2.076,-0.671875
m1->m4,-6.793,-0.11328125
m1->a6.h15<q>,-1.146,-0.21777344
m1->m10,-1.193,-0.14355469
m1->a5.h28<k>,1.077,-0.2578125
m1->a7.h5<q>,0.57,-0.23730469
m1->a7.h26<q>,0.7075,-0.15527344
m1->a3.h8<q>,-0.5234,-0.64453125
m1->a3.h19<k>,2.371,0.08203125
m1->a4.h0<q>,-0.6885,0.4765625
m1->a9.h21<q>,0.377,0.20019531
