edge,score_1,score_2
m1->m3,8.44,-0.049316406
m9->m10,-0.4126,0.027954102
m30->m31,1.62,1.2265625
a28.h17->logits,-0.4211,-0.034423828
m1->a3.h28<q>,0.6953,0.028808594
m1->a4.h14<q>,-0.601,0.031982422
m1->a3.h21<k>,0.459,-0.038330078
m1->a2.h30<q>,-0.7866,-0.041259766
m1->m13,-1.713,-0.027832031
m18->logits,-0.4792,-0.65625
m30->logits,-2.229,-2.078125
m1->m7,-5.133,-0.042236328
m30->a31.h11<q>,-0.4976,-0.030029297
m31->logits,4.32,3.65625
m30->a31.h10<q>,-1.138,0.072265625
m1->m2,-1.758,-0.119140625
m1->a3.h30<q>,0.474,0.05908203
m1->m14,0.7915,0.041503906
a31.h10->m31,-0.4446,-0.15332031
