edge,score_1,score_2
m1->a3.h27<q>,-3.527,0.16503906
m1->a3.h15<q>,1.092,-0.08886719
m1->a12.h21<q>,-0.534,0.057861328
m1->m10,-1.193,0.095214844
m1->a7.h3<q>,-0.4604,-0.27539062
m1->a6.h13<q>,-4.695,0.23144531
m1->a8.h18<q>,3.297,-0.19140625
m1->a4.h14<k>,0.6216,0.15625
m1->a5.h31<q>,-1.522,-0.27148438
m1->a2.h5<q>,0.8203,0.13085938
a31.h10->m31,-0.4446,-0.12597656
m1->a2.h15<q>,3.584,0.22363281
m1->a16.h22<q>,0.452,-0.07080078
m31->logits,4.32,1.6796875
m1->a5.h8<q>,-0.807,0.067871094
m1->a5.h16<q>,1.939,-0.06689453
m1->m5,-3.469,0.28710938
m1->a2.h24<k>,-2.096,0.27929688
m1->a3.h2<q>,1.254,-0.107910156
m1->a7.h18<q>,0.3892,0.14453125
m1->a3.h14<q>,0.4106,-0.15527344
m1->a3.h26<k>,-3.379,-0.072265625
m1->a7.h9<q>,1.221,0.061279297
m1->a14.h0<q>,0.9165,-0.063964844
m1->a17.h3<q>,0.702,0.06738281
m1->a3.h19<k>,2.371,-0.072265625
m1->a12.h24<q>,0.688,0.08203125
m1->a4.h5<q>,1.648,-0.34179688
m1->a4.h18<k>,-0.5684,0.11425781
m1->a6.h6<q>,7.867,-0.34765625
m1->a6.h0<k>,0.733,-0.18359375
m1->a4.h21<k>,-2.182,0.37695312
m1->a8.h8<k>,0.3696,0.05908203
m1->a6.h15<k>,2.12,0.068847656
m1->a5.h22<q>,0.966,0.072265625
m1->a9.h1<q>,-3.645,0.09082031
m1->a2.h23<q>,-0.728,0.3515625
m1->a10.h6<q>,-0.585,-0.078125
m1->a3.h28<q>,0.6953,-0.071777344
m1->a3.h21<k>,0.459,0.10205078
m1->a13.h17<q>,-1.2705,-0.087890625
m1->a2.h5<k>,1.914,0.18261719
m1->a7.h20<q>,-0.745,0.13671875
m1->a5.h18<q>,0.721,-0.22851562
m1->a10.h3<q>,-1.238,0.111328125
m1->a2.h22<q>,2.117,0.24511719
m1->a18.h21<q>,-0.7573,-0.068847656
m1->a5.h13<k>,-0.4,-0.07128906
m1->a2.h25<q>,-1.717,0.055908203
m1->a10.h9<q>,-0.6494,-0.20996094
m1->a9.h12<q>,1.468,-0.055908203
m30->logits,-2.229,-3.265625
m1->m16,-1.7295,0.12451172
m1->a8.h3<k>,0.5205,0.08203125
m30->a31.h10<q>,-1.138,0.064941406
m1->a4.h21<q>,-6.23,-1.453125
m1->a3.h17<q>,-1.092,-0.16992188
m1->a6.h14<q>,-1.5205,0.07128906
m1->a6.h18<q>,0.9976,-0.39453125
m1->a6.h13<k>,0.6406,-0.064453125
m1->a2.h23<k>,0.455,0.328125
m1->a4.h0<q>,-0.6885,0.49023438
m1->a10.h2<q>,-0.5283,0.084472656
