edge,score_1,score_2
m1->a31.h16<v>,0.133,-0.1328125
input->a0.h14<q>,-0.07666,0.23632812
m30->a31.h11<v>,-0.2612,1.21875
m1->a2.h29<k>,0.05807,-0.083984375
m19->m31,-0.09607,0.31445312
a0.h7->a1.h8<v>,-0.05115,0.08984375
m30->a31.h15<k>,-0.1602,2.984375
input->a0.h6<v>,-0.05215,0.06640625
input->a0.h0<k>,0.05994,-0.18457031
input->a0.h27<v>,0.0863,-0.22167969
a1.h1->m1,0.1004,-0.29492188
a1.h8->m1,-0.35,0.89453125
m30->a31.h14<v>,-0.3296,0.080078125
input->a0.h2<q>,-0.06152,0.12597656
a30.h11->logits,-0.1279,-0.14160156
m30->a31.h24<q>,-0.1338,-3.0625
m18->logits,-0.2627,0.076660156
input->a0.h20<v>,-0.1714,0.21582031
m1->m9,0.09283,-0.07519531
a31.h4->m31,0.0923,0.2421875
a0.h3->a1.h8<v>,-0.3303,0.55859375
input->a0.h9<k>,-0.9355,1.203125
a0.h22->m0,-0.699,1.0625
m30->a31.h1<q>,-0.0743,0.15625
a0.h1->a1.h8<v>,-0.05328,0.08984375
m16->m30,-0.0758,0.24707031
m18->m31,0.06464,0.18261719
input->a0.h19<v>,-0.05664,0.1640625
m1->m2,-0.1317,1.1796875
m30->m31,-0.808,-2.46875
a0.h27->a1.h11<v>,0.04892,-0.07763672
m1->a4.h5<q>,-0.08936,-0.26757812
a0.h11->a1.h11<v>,-0.12445,0.22363281
input->a1.h11<v>,-0.05887,0.068359375
m1->a31.h24<q>,0.123,2.28125
m30->a31.h7<k>,-0.09204,-0.34960938
a0.h8->m0,0.0837,-0.12988281
m30->a31.h6<k>,0.184,-3.703125
a0.h22->a1.h8<v>,0.1182,-0.265625
a0.h26->m1,0.0669,-0.091308594
m2->m29,-0.0845,0.375
input->a0.h17<v>,-0.1809,0.4609375
m30->a31.h11<k>,1.648,-2.109375
m1->a31.h24<k>,0.06113,2.40625
m1->a31.h6<k>,0.459,3.421875
input->a0.h12<v>,0.0655,-0.11767578
a1.h11->m1,0.7437,-2.5
m1->m4,-0.05466,0.49414062
m0->a1.h11<v>,0.8823,-1.953125
m16->m29,-0.2089,0.83984375
m30->a31.h6<v>,-0.3416,0.84375
a31.h15->logits,-0.08435,-0.09863281
a0.h15->m1,0.058,-0.08642578
a25.h4->logits,0.10846,-0.07763672
m1->a31.h15<q>,0.0589,-0.076660156
input->a0.h23<k>,-0.1172,0.16503906
a0.h27->m0,0.24,-0.34765625
a28.h0->m31,0.05133,0.17871094
input->a0.h12<k>,-0.08624,-0.09765625
