edge,score_1,score_2
m1->a6.h8<k>,-0.0568,0.14453125
m1->a31.h24<v>,0.3154,-0.28125
m1->a3.h2<q>,0.0904,-0.107910156
m1->m9,0.09283,0.26171875
m1->m4,-0.05466,-1.0
m1->a4.h3<q>,0.05682,0.087402344
m1->a2.h29<k>,0.05807,0.10205078
m30->a31.h24<q>,-0.1338,0.30078125
m1->a5.h21<k>,0.0662,-0.12451172
m1->a2.h26<q>,0.1195,0.18847656
m1->m12,-0.0515,0.11328125
m1->a7.h22<q>,0.05457,0.064453125
m1->a12.h0<q>,0.06586,0.15722656
m1->a4.h28<q>,0.07666,-0.44335938
a31.h10->m31,-0.2047,-0.12597656
m1->a2.h10<q>,0.0632,0.296875
m1->a4.h0<q>,-0.0721,0.49023438
m1->a2.h7<q>,0.0693,0.064941406
m1->a9.h15<q>,-0.05997,-0.20117188
m1->a2.h1<k>,0.0543,-0.16992188
m1->a8.h19<q>,0.05624,-0.12060547
m1->a3.h18<q>,-0.04846,-0.099609375
m30->a31.h24<k>,-0.0793,0.26367188
m1->m31,-0.2993,-1.8828125
m18->logits,-0.2627,-0.17382812
m1->a2.h27<q>,-0.07294,-0.06225586
m1->a4.h10<q>,-0.0484,-0.25976562
m1->a11.h10<q>,-0.0538,-0.15917969
m1->a31.h24<k>,0.06113,-0.28320312
m1->a10.h3<q>,0.08154,0.111328125
m30->m31,-0.808,2.109375
m30->logits,3.28,-3.265625
m1->logits,-2.06,2.234375
m1->a6.h23<q>,0.0721,-0.063964844
m1->a11.h4<q>,0.1333,-0.25195312
m1->a3.h11<q>,-0.08685,0.23535156
m1->a4.h9<q>,0.10693,0.083984375
m1->a4.h26<q>,0.1015,-0.47460938
m1->a2.h22<q>,0.0675,0.24511719
a30.h11->m31,0.1205,0.057861328
m1->a4.h27<q>,0.06165,0.26171875
m1->a6.h10<q>,-0.0758,-0.29296875
m1->a8.h10<q>,0.10693,0.11816406
m1->a6.h8<q>,0.1652,-0.17382812
a31.h10->logits,0.2479,0.10888672
m1->a15.h6<q>,0.04895,-0.20996094
m1->a8.h2<q>,0.09424,0.140625
m31->logits,5.1,1.6796875
m1->a11.h4<k>,-0.0557,0.19628906
m1->a4.h9<k>,-0.091,-0.06982422
m1->m5,-0.0627,0.28710938
m1->a2.h0<q>,-0.04984,0.10253906
m1->a4.h5<q>,-0.08936,-0.34179688
m1->a4.h15<q>,-0.09436,-0.15039062
m1->m3,0.1919,-0.2890625
m1->a4.h19<q>,0.06934,-0.578125
m1->a5.h9<q>,-0.05298,0.091796875
m1->a3.h19<q>,-0.05167,0.11230469
m1->a31.h12<v>,-0.09766,0.13964844
m1->a2.h12<q>,0.05136,-0.12060547
m30->a31.h4<v>,-0.7407,-0.064453125
m1->a2.h24<k>,0.06635,0.27929688
m1->a12.h24<q>,0.05087,0.08203125
m1->a3.h21<q>,-0.193,-0.23242188
a28.h17->m31,0.068,0.078125
m29->m30,1.541,-0.24902344
m1->a5.h22<q>,0.07654,0.072265625
m1->m2,-0.1317,2.21875
a30.h11->logits,-0.1279,-0.095214844
m1->m29,0.6846,0.080078125
m1->a3.h4<q>,-0.08124,-0.23046875
m1->m30,-1.65,0.27929688
a28.h17->logits,-0.1488,-0.111816406
m1->a2.h23<q>,0.05673,0.3515625
m1->a4.h5<k>,0.0514,0.23339844
m1->a2.h5<q>,0.06323,0.13085938
m1->a3.h3<q>,-0.09906,-0.3515625
m16->logits,-0.06247,0.06640625
m1->a31.h24<q>,0.123,-0.21777344
a31.h15->logits,-0.08435,0.07470703
m1->a6.h13<q>,-0.04892,0.23144531
a31.h4->m31,0.0923,0.080566406
m1->a3.h20<q>,-0.0664,0.19628906
m30->a31.h15<k>,-0.1602,-0.13769531
m1->a31.h15<k>,0.0732,0.1328125
m1->a6.h0<k>,-0.05176,-0.18359375
m1->a12.h23<q>,-0.07263,0.06298828
m30->a31.h29<k>,-0.06085,0.099609375
m30->a31.h12<v>,0.0913,-0.12597656
m30->a31.h5<q>,-0.05817,-0.13085938
m1->a11.h28<q>,-0.0515,0.4453125
m30->a31.h24<v>,-1.228,0.28125
m1->a6.h0<q>,0.0726,0.1953125
m1->m13,-0.0784,0.20019531
m18->m31,0.06464,0.16992188
