edge,score_1,score_2
m1->a6.h31<q>,0.1053,0.24023438
m1->a3.h6<q>,-0.1613,0.1484375
m1->a5.h10<q>,0.1729,0.17089844
m1->a5.h28<k>,-0.0856,-0.2578125
m1->a4.h13<k>,-0.11884,-0.13085938
m16->m31,-0.1864,-0.15820312
m19->m31,-0.096,-0.20214844
m1->a4.h3<q>,-0.0952,0.23046875
m1->a8.h11<q>,0.2224,-0.072265625
m1->a4.h23<q>,0.08105,-0.17480469
m1->a3.h29<q>,0.248,-0.27148438
m1->a9.h29<q>,-0.2068,-0.100097656
m1->a3.h17<q>,-0.718,-4.03125
input->m0,0.0735,0.080566406
m1->a3.h8<q>,0.2457,-0.64453125
m1->a3.h9<q>,1.281,-0.6953125
m1->a2.h26<q>,-0.314,-0.671875
m30->logits,-1.67,-2.078125
m1->a4.h30<q>,0.6216,0.39453125
m1->a3.h7<q>,-0.0778,0.18164062
m1->a5.h5<k>,-0.0951,0.65625
m1->a4.h20<q>,-0.1375,-1.828125
m1->a2.h3<q>,0.1239,0.21777344
input->m1,0.1726,0.08984375
m22->m31,-0.1575,-0.18359375
m1->a2.h14<q>,-0.082,0.1328125
m23->m31,0.0737,0.07519531
m1->a4.h20<k>,0.11584,0.46484375
m1->a3.h1<k>,-0.079,-0.1953125
m1->a6.h6<q>,-1.018,-1.5390625
m1->a2.h23<q>,-1.9,0.94140625
m1->a2.h4<q>,-0.323,-0.41210938
m1->a3.h3<k>,0.1907,0.18457031
m1->a7.h21<q>,0.3215,0.265625
m1->a7.h25<q>,-0.2727,-0.36914062
m1->a8.h10<q>,-0.2438,0.10888672
m1->a4.h28<q>,-0.3638,0.32226562
m1->a4.h9<q>,0.329,-1.2734375
m1->m4,0.871,-0.11328125
m1->a3.h14<q>,0.4539,0.072265625
m1->a5.h20<q>,0.117,0.41015625
m1->a5.h27<k>,0.10754,-0.23535156
m29->m31,0.1588,-0.096191406
m1->a4.h17<q>,-0.1328,-0.421875
m1->m6,0.207,-0.13964844
m1->a3.h22<k>,0.098,0.35742188
m1->a9.h19<q>,-0.12177,0.079589844
m1->a3.h24<k>,0.1351,0.08642578
m1->a4.h29<q>,0.12274,0.66015625
m1->a4.h4<k>,-0.2961,0.359375
m1->a6.h5<q>,-0.3154,0.19726562
m1->a3.h28<q>,-0.1716,-0.18164062
m31->logits,3.566,2.484375
m1->a3.h3<q>,-0.9375,-2.34375
m1->a2.h29<q>,-0.0812,0.6953125
m1->a8.h15<q>,-0.0853,-0.10498047
m1->a5.h24<q>,-0.1366,1.1875
m1->a5.h22<q>,-0.3228,-0.08203125
m17->m31,-0.1376,-0.22460938
m1->a2.h23<k>,-0.281,-0.16992188
m1->a4.h2<q>,-0.262,0.453125
m1->a6.h23<q>,0.2815,-0.07421875
m18->m31,0.3135,0.1953125
m1->a8.h21<q>,-0.11707,-0.096191406
m1->a4.h7<k>,0.1687,-0.09082031
m27->logits,-0.2346,-0.13085938
m1->m7,0.1365,0.15234375
m1->a6.h19<q>,0.10333,0.19140625
m1->a2.h24<k>,0.0905,0.33789062
m7->m8,0.2311,0.1640625
m26->logits,-0.2292,-0.19335938
m1->a3.h12<q>,0.0986,0.20898438
m1->a8.h16<q>,-0.0957,-0.080566406
m18->m19,0.0773,0.103515625
m1->a7.h2<q>,-0.1043,-0.12207031
m1->a3.h15<k>,0.2281,-0.111328125
a28.h17->m31,0.311,-0.07714844
m1->a3.h21<q>,1.484,-0.27929688
m1->a2.h16<q>,-0.09607,0.14453125
m1->a8.h7<q>,0.0733,-0.23339844
m18->logits,-0.2086,-0.18359375
m1->a9.h4<k>,-0.079,-0.25195312
m1->a5.h31<q>,-0.4622,0.080078125
m1->a2.h27<q>,-0.7554,1.234375
m1->a7.h4<k>,-0.0973,-0.21582031
m19->logits,0.08215,0.17480469
m8->m10,-0.0998,-0.07373047
m1->a2.h15<q>,-0.564,1.390625
m1->a4.h0<q>,0.1175,0.4765625
m1->a11.h13<k>,0.1692,0.36328125
m1->a5.h19<q>,0.09174,0.25
m1->a2.h7<q>,-1.025,-0.6953125
m1->a6.h8<q>,0.08246,-4.53125
