edge,score_1,score_2
m1->m3,-1.163,-0.2421875
m18->a30.h31<v>,0.1267,0.46484375
a30.h11->logits,-0.1858,-0.14160156
m30->m31,1.563,-2.46875
m1->a4.h28<k>,0.0939,0.0703125
m1->a9.h29<k>,0.1326,-0.071777344
m19->logits,0.08215,-0.13183594
a28.h28->m31,0.1399,0.119140625
m1->m9,-0.2837,-0.07519531
m1->a2.h2<k>,0.10223,-0.12207031
m1->a6.h2<k>,0.07745,-0.4921875
m0->m1,0.1089,1.078125
a31.h4->m31,0.0943,0.2421875
m1->a2.h1<k>,0.1355,0.07861328
input->a0.h19<v>,0.1091,0.1640625
m31->logits,3.566,2.046875
m1->m2,0.4546,1.1796875
a26.h18->logits,-0.1583,-0.17089844
m29->m31,0.1588,-1.5625
m30->logits,-1.67,4.84375
m28->logits,-0.209,-0.067871094
m1->a2.h23<q>,-1.9,-0.3125
m28->m30,0.2067,-0.2421875
input->a0.h15<k>,-0.1045,-0.078125
input->a0.h1<v>,-0.103,0.1953125
input->a0.h15<q>,-0.3406,0.076660156
m1->a3.h22<k>,0.098,0.087402344
m1->a5.h4<q>,0.3398,0.16796875
m16->logits,-0.09045,-0.12988281
m18->logits,-0.2086,0.076660156
m1->a2.h7<k>,0.07776,0.06982422
a31.h15->logits,0.3132,-0.09863281
input->m1,0.1726,0.1875
m1->m4,0.871,0.49414062
m1->m5,0.07477,0.20605469
input->a0.h15<v>,-0.12256,0.30664062
m18->m31,0.3135,0.18261719
a30.h11->a31.h11<q>,-0.078,-0.07373047
m1->m6,0.207,-0.19042969
m1->a3.h7<q>,-0.0778,0.27539062
a28.h13->m31,0.1081,0.15332031
a30.h11->m30,0.10486,0.21875
m1->a3.h15<k>,0.2281,-0.080078125
a30.h11->m31,0.2947,0.1328125
m18->m30,0.08997,-0.34179688
m1->a2.h23<k>,-0.281,0.14648438
m1->a6.h6<q>,-1.018,-0.115234375
m1->a3.h25<k>,0.3862,-0.13476562
input->m0,0.0735,0.796875
m8->m31,0.1526,0.0703125
m1->a3.h30<q>,1.127,0.14746094
m16->m31,-0.1864,0.21875
m1->m7,0.1365,0.111328125
m29->logits,-0.1738,-0.27929688
a0.h1->m0,-0.0738,-0.123046875
m19->m31,-0.096,0.31445312
input->a0.h8<k>,0.093,-0.75390625
a31.h10->m31,-0.1785,0.075683594
m1->a3.h3<k>,0.1907,0.13964844
m30->a31.h11<q>,-0.2896,-0.31445312
m1->a3.h9<k>,-0.3003,-0.10498047
