edge,score_1,score_2
input->m0,-0.14160156,0.052734375
m31->logits,3.78125,3.8125
m18->logits,-0.796875,-0.3203125
m28->logits,-0.34570312,-0.19726562
m16->m31,-0.059326172,-0.13085938
m19->m31,-0.1484375,-0.07373047
m1->a2.h21<q>,0.07324219,-0.071777344
m4->m5,-0.096191406,0.08984375
m5->m31,0.05029297,0.04248047
m24->m31,-0.08642578,-0.09423828
m1->a6.h0<q>,-0.11621094,-0.033691406
a24.h18->logits,-0.055419922,-0.04272461
a28.h17->logits,0.076171875,-0.10253906
m16->m29,0.061523438,0.07128906
m14->m16,0.15722656,0.03930664
m11->m15,-0.080078125,0.04272461
m13->m31,0.072265625,-0.053710938
m17->m31,-0.07128906,-0.091308594
m6->m13,0.05883789,0.032470703
m7->m9,-0.14160156,-0.05053711
input->a0.h22<k>,-0.0703125,-0.12451172
m17->logits,0.14648438,-0.03491211
m16->logits,-0.057861328,-0.076660156
m21->m30,-0.053710938,0.07324219
m14->m31,-0.05908203,-0.095214844
m16->m30,0.07714844,0.048339844
m23->m31,0.095214844,-0.08935547
m12->m31,-0.053710938,-0.045898438
m15->m30,0.080566406,0.05493164
input->m1,-0.057617188,-0.10546875
m1->a4.h20<k>,-0.06982422,-0.06225586
m8->a10.h1<v>,0.119140625,0.03540039
m29->a31.h11<q>,0.05908203,0.048339844
m9->a10.h1<q>,0.067871094,0.03930664
a26.h18->logits,0.14550781,-0.052490234
m23->logits,-0.052734375,-0.10888672
m20->logits,0.12695312,-0.14746094
m18->m31,0.58203125,0.06542969
m12->m15,0.060546875,0.036621094
m1->a2.h7<q>,-0.071777344,0.056152344
m10->m16,0.049072266,0.03515625
m30->m31,4.40625,6.96875
m29->m30,-0.08886719,-1.390625
m19->logits,0.12890625,-0.06933594
m30->a31.h4<q>,0.15332031,0.06933594
m1->m2,-0.20605469,-0.2734375
m29->logits,0.36914062,-0.22167969
m18->m29,-0.14257812,-0.047607422
m30->a31.h15<q>,0.20898438,0.19726562
m15->m31,-0.15527344,-0.048095703
m18->m19,-0.09765625,0.041992188
m21->logits,0.12060547,-0.1796875
m28->m29,0.13574219,0.040039062
m24->logits,-0.13476562,-0.11425781
m30->logits,-4.75,-3.8125
m23->m30,-0.13476562,0.050048828
m21->m31,0.10644531,-0.04345703
m25->m31,-0.33789062,-0.13476562
m27->m30,0.75390625,-0.038085938
m30->a31.h29<q>,-0.057128906,-0.041992188
input->a0.h3<k>,0.080078125,0.13769531
m18->m22,0.12597656,-0.032226562
m30->a31.h11<q>,-0.2578125,-0.087890625
m28->m31,0.3984375,-0.08105469
m30->a31.h5<v>,-0.059570312,-0.10205078
