edge,score_1,score_2
m16->m30,0.07714844,0.24707031
input->m0,-0.14160156,0.796875
a28.h28->logits,-0.06542969,-0.092285156
m29->logits,0.36914062,-0.27929688
m1->m9,-0.064453125,-0.07519531
m18->m30,0.11230469,-0.34179688
m1->m2,-0.20605469,1.1796875
m29->m31,-0.49414062,-1.5625
a31.h4->logits,-0.052490234,0.11376953
m19->logits,0.12890625,-0.13183594
m19->m31,-0.1484375,0.31445312
m16->m31,-0.059326172,0.21875
input->a0.h12<k>,0.052490234,-0.09765625
m30->a31.h5<v>,-0.059570312,-0.0703125
m30->a31.h15<q>,0.20898438,0.7890625
m16->m29,0.061523438,0.83984375
m29->a31.h15<v>,-0.075683594,-0.15039062
m27->m30,0.75390625,-0.11230469
m28->logits,-0.34570312,-0.067871094
m18->m31,0.58203125,0.18261719
m30->logits,-4.75,4.84375
m27->m31,-2.046875,-0.091308594
m30->m31,4.40625,-2.46875
m28->m29,0.13574219,-0.123535156
m1->m7,0.10205078,0.111328125
m29->a31.h11<q>,0.05908203,0.578125
m1->m4,0.07714844,0.49414062
m1->m5,0.06738281,0.20605469
m30->a31.h11<q>,-0.2578125,-0.31445312
input->a0.h3<k>,0.080078125,0.15234375
m16->logits,-0.057861328,-0.12988281
m18->m29,-0.14257812,-0.42578125
m18->a31.h15<q>,0.06933594,-0.140625
m30->a31.h29<q>,-0.057128906,0.11816406
m31->logits,3.78125,2.046875
m18->logits,-0.796875,0.076660156
input->a0.h22<k>,-0.0703125,-0.75
m29->m30,-0.08886719,-8.5
m8->m31,0.05493164,0.0703125
a26.h18->logits,0.14550781,-0.17089844
input->m1,-0.057617188,0.1875
