edge,score_1,score_2
m29->m30,-0.08886719,-0.24902344
m16->logits,-0.057861328,0.06640625
m1->a6.h0<q>,-0.11621094,0.1953125
m1->a3.h19<q>,-0.048095703,0.11230469
m30->a31.h10<q>,0.12890625,0.064941406
m1->a2.h7<q>,-0.071777344,0.064941406
m1->a2.h21<q>,0.07324219,-0.12988281
m29->m31,-0.49414062,0.11328125
a28.h17->m31,-0.122558594,0.078125
m30->logits,-4.75,-3.265625
m1->m5,0.06738281,0.28710938
m18->m31,0.58203125,0.16992188
m1->m4,0.07714844,-1.0
m29->logits,0.36914062,0.15917969
m1->a4.h20<k>,-0.06982422,0.05834961
m30->m31,4.40625,2.109375
m1->a2.h18<q>,0.068359375,-0.11669922
m31->logits,3.78125,1.6796875
m1->m2,-0.20605469,2.21875
m1->m9,-0.064453125,0.26171875
m1->m7,0.10205078,0.16796875
m18->logits,-0.796875,-0.17382812
a28.h17->logits,0.076171875,-0.111816406
