edge,score_1,score_2
m1->a5.h4<q>,0.1796875,0.056884766
m30->a31.h5<k>,0.703125,-0.15625
m29->a31.h15<q>,-2.578125,-0.13867188
m1->m30,-11.625,1.453125
a0.h21->m0,0.5546875,0.05883789
a30.h31->m30,0.15039062,0.038330078
m1->a31.h24<k>,-1.3125,0.2734375
m1->a31.h14<q>,-0.64453125,-0.080078125
a0.h4->a1.h11<v>,-0.51953125,0.063964844
m29->m30,10.9375,-1.390625
m30->a31.h24<q>,2.921875,-0.33984375
a0.h12->m0,-0.23730469,-0.05029297
a26.h18->logits,-0.2578125,-0.052490234
m18->m31,0.18164062,0.06542969
a31.h15->m31,-0.359375,-0.043945312
a0.h30->a1.h8<v>,0.62109375,-0.037597656
m29->a31.h11<q>,0.49804688,0.048339844
m18->m29,0.31445312,-0.047607422
a28.h0->logits,0.16015625,0.0546875
m30->a31.h24<k>,1.1953125,-0.3203125
input->a1.h14<v>,-0.15039062,0.037597656
input->a0.h17<q>,-2.234375,0.047851562
input->m0,-1.921875,0.052734375
input->a0.h25<v>,-0.19628906,-0.08105469
a0.h5->m0,-0.61328125,0.06640625
m30->a31.h6<k>,-2.140625,-1.7421875
input->a0.h22<k>,2.59375,-0.12451172
a30.h15->m30,-0.26367188,0.036621094
m29->logits,-0.11230469,-0.22167969
m1->a2.h29<k>,-0.2890625,-0.055419922
a0.h15->m0,-0.16601562,0.107421875
m29->a31.h15<k>,-0.5078125,-0.045410156
input->a0.h15<v>,-0.984375,0.11425781
a1.h14->m1,0.25585938,-0.047851562
m1->m29,3.125,-0.22363281
m30->a31.h11<q>,3.1875,-0.087890625
m30->a31.h14<q>,0.49414062,0.28125
m1->a2.h15<k>,-0.08691406,-0.053466797
a31.h12->logits,-0.08886719,0.043701172
m27->m30,0.107910156,-0.038085938
m1->a31.h6<v>,1.0625,-0.25585938
a1.h11->m1,4.125,-0.32421875
m30->a31.h6<v>,-1.15625,0.27929688
a28.h0->m31,0.23046875,0.049072266
a30.h31->m31,0.296875,-0.0625
m1->a31.h6<k>,1.7265625,1.5234375
m1->a2.h23<k>,-0.103515625,-0.032470703
input->a0.h20<v>,-0.19238281,0.06640625
a0.h3->m0,0.81640625,-0.15917969
input->a0.h3<v>,0.30078125,-0.063964844
m0->a1.h1<q>,-0.083984375,0.06542969
a0.h30->m0,-0.41992188,0.040527344
m16->m31,0.20019531,-0.13085938
m29->a31.h6<q>,0.515625,0.22363281
m1->logits,-2.921875,1.1875
m1->m6,-0.20019531,-0.087890625
m1->m31,12.5625,-2.015625
a0.h3->m1,-0.640625,0.09326172
m30->a31.h5<v>,0.65625,-0.10205078
m1->a31.h6<q>,-6.125,-1.15625
a0.h24->a1.h8<v>,0.390625,-0.031982422
m0->m1,-2.5625,-0.16992188
m0->a1.h11<v>,3.65625,-0.36914062
input->a0.h9<q>,-0.9765625,0.032226562
m1->a2.h30<k>,-0.09814453,-0.050048828
m1->a31.h24<v>,-3.125,0.2421875
input->a0.h1<v>,-0.65625,0.048095703
m19->logits,-0.15917969,-0.06933594
m30->a31.h18<q>,0.24121094,-0.56640625
m30->a31.h9<q>,-0.1328125,0.05908203
m30->a31.h8<q>,-0.083984375,-0.064941406
m30->a31.h15<k>,3.984375,0.64453125
a31.h4->m31,0.21386719,0.08886719
input->a0.h9<v>,-1.1171875,-0.03857422
a28.h13->m31,0.1875,0.04345703
m19->m31,0.27539062,-0.07373047
a28.h17->logits,-0.22460938,-0.10253906
a0.h0->a1.h8<v>,-0.44335938,0.055908203
m0->a1.h14<v>,0.19921875,-0.072753906
m18->a30.h31<v>,-0.35742188,0.059326172
a0.h0->m0,0.31640625,-0.038085938
m30->m31,-11.5,6.96875
m0->a1.h8<v>,-4.71875,0.43945312
a30.h13->m30,1.0703125,-0.10205078
m30->a31.h29<q>,0.3828125,-0.041992188
a31.h12->m31,-0.328125,-0.13476562
m30->a31.h29<k>,0.23144531,0.20898438
m1->a31.h8<q>,0.1484375,0.031982422
m1->m3,0.40429688,0.056640625
a0.h11->a1.h11<v>,-0.33203125,0.07763672
m1->a31.h22<q>,0.40234375,-0.03540039
a0.h3->a1.h11<q>,0.28710938,-0.041015625
m30->a31.h10<v>,0.20507812,-0.04272461
a0.h4->a1.h8<v>,1.6484375,-0.17773438
m19->m29,-0.52734375,0.05053711
input->a0.h26<v>,0.34570312,-0.087402344
a0.h20->m0,-0.14355469,0.045654297
a30.h11->logits,-0.28125,-0.12109375
m1->a31.h15<v>,-3.0625,0.30273438
m1->a31.h5<q>,3.5625,0.1796875
a0.h23->m0,0.4296875,-0.036621094
m30->a31.h11<k>,-0.76171875,0.17773438
m1->a31.h15<q>,5.0,0.052246094
m29->a31.h5<q>,-0.33203125,0.05053711
m30->a31.h5<q>,-3.1875,-0.21289062
m30->a31.h14<k>,-0.55078125,-1.171875
m1->a7.h15<q>,-0.1953125,0.037109375
m30->logits,2.03125,-3.8125
a25.h4->logits,-0.14941406,0.106933594
a0.h29->m0,0.14648438,-0.06591797
a0.h3->a1.h8<v>,-0.953125,0.17285156
a0.h3->a1.h11<v>,0.34960938,-0.056640625
a0.h27->m0,0.4296875,-0.03930664
a30.h11->m31,0.24023438,0.14160156
m30->a31.h22<q>,-0.37304688,0.059326172
input->a0.h21<v>,0.4140625,0.12597656
m1->a31.h24<q>,-3.9375,0.18164062
m16->m30,-0.38085938,0.048339844
a31.h11->m31,-0.103027344,0.068847656
m0->a1.h4<q>,-0.14257812,0.040283203
a0.h22->m0,-2.875,0.14257812
m30->a31.h12<v>,3.34375,-0.24609375
m16->m29,-0.75,0.07128906
input->m1,-0.6015625,-0.10546875
input->a0.h22<v>,-2.515625,0.111328125
a0.h3->a1.h14<v>,0.13085938,-0.051757812
input->a0.h21<q>,-0.12988281,0.0703125
m30->a31.h15<v>,2.84375,-0.265625
m30->a31.h24<v>,3.0,0.037109375
m30->a31.h4<q>,-1.296875,0.06933594
m31->logits,1.78125,3.8125
m1->a31.h14<k>,0.51171875,0.061279297
a0.h7->a1.h8<v>,-0.11425781,0.044677734
a1.h8->m1,-1.75,0.2265625
a0.h5->m1,0.2890625,-0.04321289
m30->a31.h10<k>,0.34765625,0.2578125
input->a0.h27<v>,0.096191406,-0.041503906
m1->a31.h29<q>,-0.3828125,0.06542969
m1->a31.h8<k>,-0.14453125,0.10253906
a31.h24->logits,0.40820312,-0.21972656
m1->a31.h11<k>,0.75390625,0.10498047
m16->logits,-0.12792969,-0.076660156
m29->a31.h6<k>,0.3671875,0.20898438
a0.h22->a1.h8<v>,0.45703125,-0.055664062
a24.h13->m31,0.08886719,0.17089844
a30.h11->m30,-0.3515625,0.056640625
m1->a2.h29<q>,0.20996094,0.07080078
m30->a31.h27<q>,-0.115722656,-0.03881836
m30->a31.h20<q>,0.14355469,0.059570312
m28->m30,0.2734375,-0.055419922
