edge,score_1,score_2
a31.h4->logits,0.19726562,0.11376953
m1->a9.h26<k>,-0.14648438,-0.40820312
a26.h18->logits,-0.2578125,-0.17089844
a30.h13->a31.h15<k>,-0.08642578,-0.07080078
a0.h30->a1.h11<v>,-0.18261719,0.10449219
m30->a31.h1<v>,0.1328125,-0.1484375
m1->a31.h5<v>,-0.625,0.09423828
a0.h4->m0,-1.578125,0.56640625
a30.h2->logits,0.16992188,0.11376953
m1->a31.h24<v>,-3.125,-1.3984375
a27.h4->logits,-0.1484375,-0.10253906
a30.h11->logits,-0.28125,-0.14160156
m0->a1.h11<q>,0.25195312,-0.34960938
m1->a31.h12<v>,-3.21875,0.18359375
m30->a31.h5<k>,0.703125,0.31640625
a0.h9->a1.h11<q>,0.092285156,-0.09765625
m1->a31.h8<k>,-0.14453125,-0.13671875
m30->a31.h23<q>,0.31445312,-0.08935547
a0.h26->m1,0.115234375,-0.091308594
m8->a30.h31<v>,-0.08935547,0.10449219
a30.h15->m30,-0.26367188,0.18359375
a0.h6->m0,-0.14648438,0.08642578
m1->a31.h29<k>,-0.19628906,-0.4296875
a0.h24->a1.h8<v>,0.390625,-0.20996094
m1->a12.h8<k>,-0.36914062,-0.39453125
a0.h10->m0,0.21484375,-0.123535156
a1.h26->m1,0.24609375,-0.25585938
m30->a31.h25<v>,0.092285156,0.15820312
a0.h11->m0,-0.64453125,0.25585938
m18->m31,0.18164062,0.18261719
m1->a15.h6<k>,0.19042969,0.4765625
input->a0.h14<q>,-0.67578125,0.23632812
m1->m31,12.5625,2.578125
input->a0.h27<v>,0.096191406,-0.22167969
m30->a31.h29<v>,0.22265625,-0.14355469
m29->a31.h6<k>,0.3671875,0.3515625
m1->a3.h3<k>,0.080566406,0.13964844
a0.h12->m1,-0.11230469,0.13769531
m1->a4.h8<k>,0.17089844,-0.08886719
m1->a31.h25<v>,-0.096191406,-0.17285156
m30->a31.h16<v>,-0.41210938,0.107421875
a0.h0->a1.h11<v>,0.16894531,-0.10205078
input->a0.h15<k>,0.375,-0.078125
a1.h14->m1,0.25585938,-0.15722656
input->a0.h10<k>,0.4453125,-0.17871094
a1.h4->m1,-0.17773438,0.1328125
m1->a31.h11<q>,-3.765625,-0.3203125
m30->a31.h6<v>,-1.15625,0.84375
m1->a31.h15<q>,5.0,-0.076660156
a0.h30->m1,0.08251953,-0.068359375
m2->m29,-0.33007812,0.375
m1->m11,-0.2734375,-0.1484375
a1.h17->m1,-0.1953125,0.122558594
m1->a31.h2<q>,-0.265625,0.20214844
m1->a31.h5<k>,-0.59765625,-0.37304688
m1->a5.h23<v>,0.17382812,0.19042969
m1->a12.h7<k>,-0.13867188,-0.084472656
m1->a31.h24<k>,-1.3125,2.40625
m30->a31.h1<q>,-0.37695312,0.15625
m30->a31.h14<k>,-0.55078125,-0.091796875
m1->a5.h4<q>,0.1796875,0.16796875
m1->a3.h7<q>,0.18457031,0.27539062
input->a0.h3<v>,0.30078125,-0.16796875
m1->m12,-0.118652344,-0.079589844
m29->a31.h15<q>,-2.578125,-0.9609375
a0.h11->a1.h11<v>,-0.33203125,0.22363281
m1->a31.h20<q>,-0.15039062,-0.07714844
input->a0.h6<k>,0.16503906,-0.095703125
input->a0.h20<v>,-0.19238281,0.21582031
a0.h25->a1.h8<v>,-0.16601562,0.076660156
a28.h0->m31,0.23046875,0.17871094
a0.h5->m1,0.2890625,-0.13964844
a0.h24->a1.h11<v>,-0.16894531,0.08935547
m1->a5.h23<k>,-0.27929688,-0.1640625
m26->m30,0.091796875,-0.072753906
m0->a1.h4<q>,-0.14257812,0.11669922
a0.h1->m0,0.110839844,-0.123046875
a31.h4->m31,0.21386719,0.2421875
m16->m29,-0.75,0.83984375
a0.h22->a1.h11<v>,-0.34960938,0.16113281
m1->a31.h23<q>,-0.359375,0.0703125
m1->a31.h16<v>,0.3984375,-0.1328125
a30.h11->m31,0.24023438,0.1328125
a0.h5->m0,-0.61328125,0.29882812
a0.h17->m0,-0.921875,0.35546875
a0.h3->a1.h14<v>,0.13085938,-0.09423828
input->a0.h17<q>,-2.234375,1.0
a0.h3->m0,0.81640625,-0.33007812
a0.h4->a1.h11<q>,-0.14355469,0.14648438
a0.h16->a1.h8<v>,0.15234375,-0.084472656
a28.h28->logits,-0.10644531,-0.092285156
m30->a31.h29<q>,0.3828125,0.11816406
a1.h25->m1,-0.546875,0.75
m30->a31.h11<q>,3.1875,-0.31445312
m28->m30,0.2734375,-0.2421875
m0->m29,0.08251953,-0.10107422
m1->m8,0.10107422,0.16796875
input->a0.h0<k>,0.3828125,-0.18457031
m30->a31.h24<k>,1.1953125,-2.1875
m18->a31.h15<q>,-0.31445312,-0.140625
m1->m3,0.40429688,-0.2421875
a0.h20->m0,-0.14355469,0.10107422
m1->m4,0.5078125,0.49414062
m1->a3.h30<q>,0.15234375,0.14746094
input->m1,-0.6015625,0.1875
m30->logits,2.03125,4.84375
m18->a30.h31<v>,-0.35742188,0.46484375
m29->m30,10.9375,-8.5
input->a0.h24<v>,-0.15527344,0.079589844
m30->a31.h11<k>,-0.76171875,-2.109375
a0.h15->a1.h11<q>,0.103027344,-0.091796875
a0.h11->a1.h8<v>,1.0625,-0.66015625
input->a0.h12<v>,0.22363281,-0.11767578
a0.h12->m0,-0.23730469,0.125
a31.h24->logits,0.40820312,0.29882812
a0.h23->m0,0.4296875,-0.13769531
m1->a31.h6<k>,1.7265625,3.421875
m1->a31.h1<q>,0.43945312,-0.09863281
m30->a31.h10<k>,0.34765625,-0.14453125
m30->a31.h12<v>,3.34375,-0.18164062
m1->a31.h6<q>,-6.125,-0.5390625
a0.h30->a1.h8<v>,0.62109375,-0.3359375
m1->a5.h12<k>,-0.10449219,-0.06982422
input->a0.h22<k>,2.59375,-0.75
m1->logits,-2.921875,-5.6875
m30->a31.h2<q>,0.27929688,-0.22851562
a0.h8->m0,0.38085938,-0.12988281
a1.h1->m1,0.21777344,-0.29492188
