edge,score_1,score_2
m1->a4.h9<k>,-0.027832031,-0.033203125
m1->a4.h14<q>,0.027832031,-0.037109375
m1->m3,-0.08300781,0.056640625
m1->a5.h4<q>,0.049072266,0.056884766
m1->a4.h7<k>,-0.076660156,0.103027344
m1->a5.h9<q>,-0.020507812,-0.036132812
m1->a2.h23<q>,-0.23535156,-0.061279297
m1->a9.h16<q>,-0.022338867,-0.044677734
m1->a12.h8<q>,-0.025512695,0.032226562
m1->a4.h17<q>,-0.030639648,-0.051513672
m0->a1.h11<v>,-0.023803711,-0.36914062
m1->m16,0.022705078,-0.041503906
a31.h12->logits,0.095214844,0.043701172
m1->a4.h27<q>,0.05493164,-0.07714844
m23->logits,0.018920898,-0.10888672
m1->a2.h27<q>,0.07373047,0.28515625
m1->a2.h7<q>,0.025512695,0.056152344
m1->a3.h15<q>,-0.06738281,-0.068359375
m1->m2,0.27539062,-0.2734375
m1->a6.h19<q>,-0.0703125,-0.05810547
m1->a3.h10<k>,0.05029297,0.12207031
a31.h10->m31,-0.07519531,-0.14648438
m9->m11,-0.025146484,-0.05053711
m21->logits,0.025634766,-0.1796875
m14->m31,-0.038330078,-0.095214844
m31->logits,1.296875,3.8125
m1->a5.h8<q>,-0.068359375,-0.053222656
input->a0.h1<v>,0.020019531,0.048095703
m26->logits,0.01940918,-0.15625
m1->a2.h10<q>,0.02722168,0.053955078
m1->a2.h30<k>,-0.123046875,-0.050048828
m29->m30,0.18164062,-1.390625
a31.h12->m31,-0.087402344,-0.13476562
input->a0.h22<v>,0.080078125,0.111328125
m1->a6.h8<q>,-0.14160156,-0.032226562
m19->m31,-0.035888672,-0.07373047
m16->m31,-0.035888672,-0.13085938
a26.h15->logits,0.018432617,0.033203125
m25->m31,-0.033691406,-0.13476562
m18->m31,0.10449219,0.06542969
m1->a2.h29<q>,0.019165039,0.07080078
m1->a3.h10<q>,-0.03149414,-0.2265625
m21->m31,-0.01953125,-0.04345703
m1->a3.h9<q>,-0.045410156,-0.037597656
m1->a5.h0<q>,-0.060546875,0.07324219
a31.h15->m31,-0.021728516,-0.043945312
m1->a3.h29<q>,-0.040283203,-0.11230469
m1->a3.h3<q>,0.034179688,-0.096191406
input->a0.h8<v>,0.029663086,-0.047851562
m28->m30,-0.023803711,-0.055419922
m24->m31,-0.038330078,-0.09423828
input->a0.h22<k>,-0.026123047,-0.12451172
m30->logits,-0.390625,-3.8125
a28.h17->logits,-0.052246094,-0.10253906
m1->a3.h27<q>,0.045410156,0.08886719
m1->a4.h25<q>,0.07861328,0.035888672
m1->a2.h23<k>,0.095703125,-0.032470703
m1->a4.h7<q>,0.076171875,-0.100097656
m1->m30,-0.20214844,1.453125
a0.h21->m0,-0.022460938,0.05883789
a24.h13->m31,0.023803711,0.17089844
a24.h7->logits,-0.030639648,-0.14746094
a30.h11->m31,0.0625,0.14160156
m1->a2.h15<q>,-0.12207031,0.24511719
a30.h15->m30,-0.020141602,0.036621094
m19->logits,0.037109375,-0.06933594
a17.h29->m31,0.030639648,0.10058594
m16->logits,0.044433594,-0.076660156
m24->logits,0.024536133,-0.11425781
m1->a4.h28<q>,0.17578125,-0.032958984
m19->m29,-0.052734375,0.05053711
a1.h11->m1,-0.17480469,-0.32421875
m1->a2.h5<k>,0.026855469,-0.046875
input->a0.h3<k>,0.020019531,0.13769531
a30.h13->m30,0.030883789,-0.10205078
a31.h4->m31,0.048828125,0.08886719
m1->a3.h17<q>,-0.030029297,-0.06347656
a0.h22->m0,0.107421875,0.14257812
a0.h11->m0,-0.044677734,0.060302734
a31.h24->m31,-0.061523438,0.2109375
a31.h24->logits,0.049804688,-0.21972656
m23->m31,-0.030151367,-0.08935547
m1->a3.h22<q>,-0.099609375,0.05493164
m17->m31,-0.019897461,-0.091308594
m30->a31.h11<q>,-0.025268555,-0.087890625
m1->m29,0.296875,-0.22363281
m1->a2.h29<k>,-0.15527344,-0.055419922
m1->a3.h18<q>,-0.05908203,-0.034179688
a0.h22->a1.h8<v>,-0.018310547,-0.055664062
m1->a4.h20<k>,0.03112793,-0.06225586
a31.h11->m31,-0.031982422,0.068847656
m1->a3.h21<q>,-0.049072266,-0.051757812
m1->a3.h4<q>,-0.057617188,-0.042236328
m29->logits,-0.10449219,-0.22167969
m1->a4.h30<q>,0.05493164,-0.03540039
a0.h5->m0,0.021606445,0.06640625
input->a0.h21<v>,-0.028930664,0.12597656
m0->m1,0.14453125,-0.16992188
a17.h29->logits,-0.030517578,-0.0390625
m1->a2.h21<q>,-0.03930664,-0.071777344
m27->logits,-0.031982422,-0.041503906
m16->m29,-0.07519531,0.07128906
m1->a3.h22<k>,-0.07080078,-0.033203125
m1->m6,-0.118652344,-0.087890625
m28->m29,0.02746582,0.040039062
m18->a30.h31<v>,-0.043945312,0.059326172
m1->a6.h0<q>,-0.028320312,-0.033691406
m8->logits,-0.022827148,-0.037597656
m18->logits,-0.13574219,-0.3203125
a31.h10->logits,0.08642578,0.1328125
m1->logits,-0.15136719,1.1875
a0.h23->m0,-0.023803711,-0.036621094
a0.h25->m0,0.022949219,-0.111816406
m1->a2.h22<q>,-0.07421875,0.16210938
m1->a5.h22<q>,-0.023071289,0.057128906
input->a0.h17<q>,0.061767578,0.047851562
m1->a3.h13<q>,-0.03112793,-0.053222656
m30->m31,0.32421875,6.96875
m1->a3.h16<k>,0.018554688,-0.039794922
input->a0.h9<v>,-0.040039062,-0.03857422
m1->a6.h6<q>,0.22265625,-0.091796875
m1->a9.h26<q>,0.0234375,0.03515625
m1->a2.h14<q>,-0.036621094,0.032226562
