edge,score_1,score_2
m1->a3.h3<k>,-0.08105469,0.13964844
a0.h22->m0,0.107421875,1.0625
m0->a1.h11<q>,-0.06542969,-0.34960938
m28->logits,-0.04345703,-0.067871094
input->a0.h9<v>,-0.040039062,0.24511719
m16->logits,0.044433594,-0.12988281
m30->a31.h11<q>,-0.025268555,-0.31445312
a31.h15->m31,-0.021728516,-0.55078125
m1->a2.h29<k>,-0.15527344,-0.083984375
a30.h11->logits,-0.08251953,-0.14160156
m1->a4.h2<k>,0.046875,-0.13671875
a0.h25->m0,0.022949219,-0.11425781
m30->logits,-0.390625,4.84375
m1->a8.h29<k>,-0.03149414,-0.072265625
m1->a6.h0<v>,-0.030761719,-0.33007812
a0.h21->m0,-0.022460938,-0.24902344
m1->a9.h22<k>,0.021850586,-0.1328125
a27.h4->m31,0.039794922,0.06982422
m1->m8,-0.031982422,0.16796875
m1->a4.h1<k>,-0.022338867,-0.110839844
m1->a9.h29<k>,0.03881836,-0.071777344
m1->m2,0.27539062,1.1796875
a1.h17->m1,0.01965332,0.122558594
a0.h5->m0,0.021606445,0.29882812
m19->m31,-0.035888672,0.31445312
m1->a2.h2<k>,0.040283203,-0.12207031
a30.h11->m31,0.0625,0.1328125
input->a0.h30<v>,0.028930664,-0.1484375
m1->a2.h23<k>,0.095703125,0.14648438
m1->m12,-0.026245117,-0.079589844
input->a0.h1<v>,0.020019531,0.1953125
m1->a8.h11<k>,0.018798828,-0.11767578
m1->a5.h0<q>,-0.060546875,0.12060547
m16->m30,-0.018310547,0.24707031
m1->a3.h9<k>,0.041015625,-0.10498047
m19->m29,-0.052734375,0.58984375
m1->a5.h23<k>,-0.07714844,-0.1640625
a0.h17->m0,0.043701172,0.35546875
m1->a5.h4<q>,0.049072266,0.16796875
m1->a5.h0<k>,-0.026855469,-0.08251953
m1->a6.h6<k>,-0.060546875,0.100097656
m1->a11.h20<k>,-0.106933594,-0.265625
m1->a5.h16<k>,-0.05908203,-0.09375
m1->logits,-0.15136719,-5.6875
m1->a5.h2<q>,0.03540039,0.11767578
a0.h22->a1.h8<v>,-0.018310547,-0.265625
m28->m29,0.02746582,-0.123535156
m0->m1,0.14453125,1.078125
a0.h24->m0,0.038085938,0.14550781
input->a0.h24<v>,0.028442383,0.079589844
a31.h10->m31,-0.07519531,0.075683594
m1->a3.h22<k>,-0.07080078,0.087402344
a31.h15->logits,0.06591797,-0.09863281
input->a0.h19<v>,0.021972656,0.1640625
input->a0.h11<v>,-0.03149414,-0.13964844
m16->m31,-0.035888672,0.21875
m1->m6,-0.118652344,-0.19042969
input->a0.h17<k>,0.05810547,0.20996094
m1->a6.h6<q>,0.22265625,-0.115234375
input->a0.h22<v>,0.080078125,0.890625
input->a0.h8<k>,-0.032714844,-0.75390625
m1->a7.h20<k>,0.032958984,-0.21582031
m28->m30,-0.023803711,-0.2421875
m1->m4,0.12011719,0.49414062
input->a0.h22<k>,-0.026123047,-0.75
m18->logits,-0.13574219,0.076660156
a0.h11->m0,-0.044677734,0.25585938
m1->m9,0.107421875,-0.07519531
m1->a3.h30<q>,0.032714844,0.14746094
m4->m29,-0.02746582,0.29882812
input->a0.h21<v>,-0.028930664,-0.23144531
m1->a4.h5<q>,-0.09082031,-0.26757812
m1->m5,-0.0625,0.20605469
a30.h13->m30,0.030883789,-0.62109375
a30.h15->m30,-0.020141602,0.18359375
a31.h24->m31,-0.061523438,0.10986328
a31.h4->logits,-0.032714844,0.11376953
a1.h25->m1,0.056152344,0.75
m1->m29,0.296875,-3.4375
m1->a15.h6<q>,0.064941406,-0.08544922
m1->a2.h7<k>,-0.026367188,0.06982422
m1->a5.h13<k>,0.038085938,0.084472656
m16->m29,-0.07519531,0.83984375
m29->logits,-0.10449219,-0.27929688
a1.h11->m1,-0.17480469,-2.5
m1->a4.h18<k>,0.029785156,-0.16113281
m27->m31,-0.020263672,-0.091308594
m18->m31,0.10449219,0.18261719
a27.h4->logits,-0.037109375,-0.10253906
a0.h23->m0,-0.023803711,-0.13769531
m1->m30,-0.20214844,8.75
m2->m29,-0.025634766,0.375
m18->a30.h31<v>,-0.043945312,0.46484375
m1->m3,-0.08300781,-0.2421875
input->a0.h3<k>,0.020019531,0.15234375
a31.h24->logits,0.049804688,0.29882812
input->a0.h17<q>,0.061767578,1.0
m1->a2.h23<q>,-0.23535156,-0.3125
m1->a2.h1<k>,0.024169922,0.07861328
m1->m7,0.022827148,0.111328125
a31.h4->m31,0.048828125,0.2421875
m0->a1.h11<v>,-0.023803711,-1.953125
input->a0.h22<q>,0.020751953,0.21582031
m30->m31,0.32421875,-2.46875
m1->a10.h8<k>,0.051513672,-0.08496094
m31->logits,1.296875,2.046875
m1->a5.h4<k>,0.03881836,0.07861328
m29->m30,0.18164062,-8.5
m1->a12.h8<k>,-0.041259766,-0.39453125
m1->a2.h19<k>,-0.034179688,-0.08300781
m1->a13.h17<k>,0.024047852,0.083984375
m19->logits,0.037109375,-0.13183594
