edge,score_1,score_2
m1->a4.h4<q>,0.035888672,0.28710938
m1->a5.h0<k>,-0.026855469,-0.12988281
m1->a4.h29<q>,0.140625,-0.66015625
m1->a2.h22<q>,-0.07421875,0.24511719
m1->a4.h25<q>,0.07861328,-0.546875
m1->a6.h18<q>,-0.04321289,-0.39453125
m1->a2.h27<q>,0.07373047,-0.06225586
m1->a6.h31<q>,-0.020751953,0.10498047
m1->a2.h10<q>,0.02722168,0.296875
m1->a2.h24<k>,0.06689453,0.27929688
m1->a4.h20<k>,0.03112793,0.05834961
m1->a6.h27<k>,0.045898438,0.17773438
m1->a3.h0<q>,-0.12451172,-0.23535156
m1->a2.h31<q>,0.068847656,0.5390625
m30->m31,0.32421875,2.109375
m1->a4.h12<q>,-0.06542969,0.083984375
m1->a6.h8<k>,0.118652344,0.14453125
m1->a6.h27<q>,-0.09423828,-0.16796875
m1->m30,-0.20214844,0.27929688
m1->a2.h11<q>,-0.028564453,-0.31835938
m1->a5.h17<q>,0.05444336,0.12597656
m1->a6.h24<q>,-0.03491211,0.06982422
m1->a6.h13<k>,-0.022216797,-0.064453125
m1->a4.h7<q>,0.076171875,0.18261719
m1->a3.h22<k>,-0.07080078,-0.119140625
m1->a3.h16<k>,0.018554688,-0.09863281
m1->a6.h6<q>,0.22265625,-0.34765625
m1->a7.h2<q>,-0.05444336,-0.20898438
m1->a8.h8<q>,-0.040039062,-0.15722656
m1->a5.h18<q>,-0.044677734,-0.22851562
m1->a4.h21<q>,-0.110839844,-1.453125
m1->m29,0.296875,0.080078125
m1->a7.h22<q>,0.01940918,0.064453125
m1->a8.h20<k>,0.01965332,0.111328125
m1->a2.h31<k>,0.020019531,0.07763672
m1->a4.h9<k>,-0.027832031,-0.06982422
m1->a11.h20<k>,-0.106933594,-0.123046875
m1->a5.h22<q>,-0.023071289,0.072265625
m1->a7.h3<q>,-0.029785156,-0.27539062
m1->a5.h21<k>,-0.037841797,-0.12451172
m30->logits,-0.390625,-3.265625
m1->a2.h19<k>,-0.034179688,-0.11767578
m1->a8.h16<q>,0.08203125,0.109375
m1->a8.h11<q>,0.041259766,0.25
m1->a15.h6<q>,0.064941406,-0.20996094
m1->a11.h31<q>,-0.045898438,0.118652344
m1->a3.h9<q>,-0.045410156,-1.1328125
m1->a9.h7<q>,0.034423828,0.16503906
m1->a3.h3<q>,0.034179688,-0.3515625
m1->a3.h2<q>,-0.0234375,-0.107910156
a30.h11->logits,-0.08251953,-0.095214844
m1->m10,0.024414062,0.095214844
m1->a5.h2<q>,0.03540039,0.111328125
m1->a3.h3<k>,-0.08105469,-0.19628906
m1->m7,0.022827148,0.16796875
a28.h17->m31,0.046875,0.078125
m1->a7.h17<k>,0.03491211,0.118652344
m1->a2.h0<k>,0.030883789,-0.09375
a31.h12->m31,-0.087402344,-0.18164062
m1->a2.h5<k>,0.026855469,0.18261719
m1->a4.h23<q>,-0.061279297,-0.25585938
m1->a4.h5<q>,-0.09082031,-0.34179688
m1->a11.h13<q>,0.034423828,0.10205078
m1->a5.h4<q>,0.049072266,0.80859375
m1->a2.h26<q>,0.068359375,0.18847656
m1->a4.h17<q>,-0.030639648,-0.23828125
m1->a3.h22<q>,-0.099609375,-0.10888672
m1->a12.h6<k>,0.01940918,0.055664062
m1->a4.h2<k>,0.046875,0.087402344
m1->a2.h23<q>,-0.23535156,0.3515625
m1->a6.h28<k>,-0.052734375,-0.08984375
m1->a5.h22<k>,-0.021362305,-0.13671875
m1->a12.h8<q>,-0.025512695,0.12988281
m1->a8.h3<q>,-0.019165039,-0.119140625
m1->a3.h13<q>,-0.03112793,-0.10107422
m1->a5.h16<q>,0.039794922,-0.06689453
m1->a5.h21<q>,0.026733398,0.071777344
m1->a4.h27<q>,0.05493164,0.26171875
m1->a4.h30<q>,0.05493164,-0.39453125
m1->a6.h14<k>,-0.033203125,-0.056640625
m1->m16,0.022705078,0.12451172
m1->a2.h29<k>,-0.15527344,0.10205078
m1->a13.h17<q>,-0.04321289,-0.087890625
m1->a6.h19<q>,-0.0703125,0.16992188
m1->a4.h21<k>,0.071777344,0.37695312
m1->a9.h26<q>,0.0234375,-0.061279297
m1->a11.h4<q>,-0.043945312,-0.25195312
m1->a4.h10<k>,0.023925781,0.06640625
m1->a5.h8<q>,-0.068359375,0.067871094
m1->a9.h6<k>,-0.053222656,-0.08251953
m1->a9.h22<q>,-0.036865234,0.6171875
m30->a31.h10<q>,0.099609375,0.064941406
m1->a11.h18<k>,-0.044677734,-0.12207031
m1->a5.h9<q>,-0.020507812,0.091796875
m1->a5.h13<k>,0.038085938,-0.07128906
m1->a2.h7<k>,-0.026367188,-0.07080078
m1->a3.h27<q>,0.045410156,0.16503906
m1->a5.h28<k>,-0.03857422,-0.059326172
m1->a7.h21<q>,0.109375,0.43164062
a31.h4->m31,0.048828125,0.080566406
m1->a2.h1<k>,0.024169922,-0.16992188
m1->logits,-0.15136719,2.234375
m1->a4.h4<k>,-0.03491211,-0.096191406
m1->a11.h10<q>,0.021972656,-0.15917969
m1->a9.h12<q>,0.048339844,-0.055908203
m1->a6.h1<q>,-0.036376953,0.17773438
m1->m2,0.27539062,2.21875
a30.h11->m31,0.0625,0.057861328
m1->a5.h20<q>,-0.037597656,0.111328125
m1->a2.h22<k>,0.02722168,0.083984375
m1->a3.h0<k>,0.09863281,0.106933594
m1->m4,0.12011719,-1.0
m1->a12.h1<q>,-0.018676758,-0.08496094
m1->a10.h15<q>,-0.06933594,-0.1328125
a28.h17->logits,-0.052246094,-0.111816406
m1->a5.h10<k>,-0.031982422,-0.10644531
m1->a5.h24<q>,0.068359375,-0.10498047
m1->a11.h29<q>,-0.01953125,-0.06738281
m1->a9.h16<q>,-0.022338867,-0.057861328
m1->a3.h17<q>,-0.030029297,-0.16992188
m1->a10.h8<k>,0.051513672,0.10205078
m1->a3.h27<k>,-0.05444336,-0.08251953
m1->m9,0.107421875,0.26171875
m18->logits,-0.13574219,-0.17382812
m1->a3.h30<q>,0.032714844,-0.12695312
m1->a6.h29<k>,-0.04248047,-0.05834961
m1->a2.h8<k>,-0.01940918,-0.06542969
m1->a3.h21<k>,0.044433594,0.10205078
m1->a2.h2<k>,0.040283203,-0.079589844
m1->m6,-0.118652344,-0.25976562
m1->a7.h24<k>,0.028808594,0.068847656
m1->a4.h27<k>,0.024902344,0.075683594
m1->a8.h2<q>,-0.037109375,0.140625
m1->a4.h22<q>,-0.057617188,0.49804688
m1->a4.h23<k>,-0.05834961,-0.072265625
m1->a3.h15<q>,-0.06738281,-0.08886719
m1->a6.h22<q>,0.042236328,-0.26953125
m1->a4.h9<q>,0.030639648,0.083984375
m1->a2.h15<q>,-0.12207031,0.22363281
m1->a10.h20<k>,-0.0390625,-0.060058594
m31->logits,1.296875,1.6796875
m1->a10.h24<k>,-0.05493164,-0.06640625
m1->a12.h7<q>,0.019165039,0.08105469
m1->a9.h11<q>,0.024047852,0.064453125
m28->m30,-0.023803711,-0.059326172
m1->a3.h20<k>,0.020507812,0.12011719
m1->a12.h23<q>,-0.053222656,0.06298828
m1->a2.h17<k>,0.079589844,0.30078125
m1->a4.h7<k>,-0.076660156,-0.20996094
m1->m5,-0.0625,0.28710938
m1->a7.h16<k>,-0.030639648,-0.119140625
m1->a2.h7<q>,0.025512695,0.064941406
m1->a14.h27<k>,-0.03125,-0.09326172
a31.h10->m31,-0.07519531,-0.12597656
m1->a8.h18<q>,0.018432617,-0.19140625
m1->a4.h14<k>,0.07714844,0.15625
m18->m31,0.10449219,0.16992188
m1->a2.h23<k>,0.095703125,0.328125
a31.h10->logits,0.08642578,0.10888672
m1->a6.h19<k>,-0.032226562,-0.10546875
