edge,score_1,score_2
m12->m14,-0.052246094,0.044433594
m1->m3,0.010925293,-0.122558594
a14.h19->m14,0.032226562,0.029174805
a12.h8->m14,-0.018798828,0.019897461
a7.h11->m7,-0.0067443848,-0.016113281
m1->m4,0.013916016,0.10107422
m0->a1.h28<q>,-0.024414062,0.018798828
m8->m9,0.006958008,0.031982422
a3.h23->m3,-0.0234375,0.032714844
a12.h8->logits,0.0068359375,-0.049804688
m1->m2,-0.024658203,0.10058594
a14.h25->m14,-0.011779785,-0.03149414
m6->m7,0.00680542,0.15039062
input->logits,-0.12792969,0.03149414
a5.h25->m5,0.0071105957,0.020507812
m2->m3,0.007537842,-0.026123047
a3.h1->m3,-0.009399414,0.014282227
input->m0,-1.546875,-0.115722656
a14.h11->m14,0.018798828,-0.020019531
a14.h6->logits,0.006439209,0.020996094
a12.h24->m14,0.011657715,-0.01965332
a1.h28->m1,0.010803223,-0.013916016
m1->m10,0.012084961,0.015991211
a15.h24->logits,0.008544922,-0.10449219
a15.h26->logits,0.0076293945,-0.027954102
m10->m11,0.007080078,0.111328125
a8.h29->m13,0.008972168,0.018920898
a14.h5->m14,-0.006652832,-0.016845703
m7->m13,0.0069885254,-0.028076172
m0->m15,-0.0072021484,0.036621094
a14.h11->logits,0.020751953,0.038085938
a6.h24->m6,-0.009033203,0.017944336
m9->m14,-0.009399414,-0.045654297
m1->m5,-0.011474609,0.048828125
m13->m15,-0.06738281,-0.050048828
a13.h10->logits,-0.007080078,0.017456055
m4->m6,0.008728027,-0.12988281
m1->m13,-0.15527344,-0.032714844
input->m2,-0.007659912,-0.018066406
m1->logits,0.7890625,-0.024414062
input->m10,-0.0076293945,-0.026245117
a14.h4->m15,-0.008178711,-0.028564453
input->m1,-3.265625,-0.029418945
m12->m15,-0.008605957,-0.17285156
a12.h9->m13,0.012512207,-0.016113281
m14->m15,0.6796875,0.031982422
a15.h14->logits,0.015014648,-0.07080078
m14->logits,-0.40234375,-0.1640625
a15.h27->logits,-0.010498047,0.025268555
m11->m12,0.010925293,-0.060302734
m13->m14,-0.32421875,0.015380859
a15.h25->logits,-0.012268066,0.11669922
input->m4,-0.009216309,-0.023925781
m15->logits,0.052490234,0.037841797
m1->m6,-0.015136719,-0.049316406
m1->m14,0.58203125,0.026367188
a8.h22->m13,0.0072021484,-0.016113281
