edge,score_1,score_2
a13.h10->m15,0.13085938,-0.06982422
a10.h22->logits,-0.1640625,-0.03149414
m13->m14,0.265625,0.15234375
a12.h11->logits,0.23632812,-0.030883789
a15.h24->m15,-0.30078125,0.12011719
m9->logits,-0.37695312,-0.122558594
m8->m15,-0.1328125,-0.06298828
a1.h28->m3,-0.23632812,0.026611328
a15.h11->m15,-0.12792969,0.03112793
a13.h22->logits,-0.16992188,-0.02331543
input->m15,1.78125,-0.12695312
m10->m15,-0.17285156,-0.20117188
a15.h25->m15,-0.34179688,-0.095214844
a12.h8->logits,-0.3046875,0.043701172
m11->logits,-0.375,-0.111816406
input->m12,-0.57421875,-0.14355469
a14.h25->logits,-0.3046875,0.06298828
a1.h31->m1,-0.35742188,-0.083984375
input->m9,-0.328125,-0.15722656
a2.h1->m2,0.22167969,-0.022338867
m15->logits,0.8046875,1.6015625
a13.h30->logits,0.21972656,0.045898438
a14.h13->logits,-0.18457031,-0.041015625
m12->m15,-0.25390625,-0.39257812
m5->logits,-0.32226562,-0.055908203
a14.h20->logits,0.12597656,-0.032714844
m1->m14,0.640625,-0.055419922
a13.h23->logits,0.13867188,-0.025756836
a0.h21->logits,0.14550781,-0.10449219
a10.h4->logits,0.1328125,-0.055908203
a2.h23->m2,0.45507812,0.041503906
a10.h12->m12,0.13964844,0.022216797
input->m10,-0.609375,-0.15234375
a1.h28->m1,1.578125,0.030883789
m8->m9,-0.1484375,0.05883789
a10.h4->m10,-0.15917969,0.028320312
a9.h1->logits,-0.26171875,-0.024414062
m11->m15,-0.12597656,-0.32421875
a1.h12->m1,-0.23242188,0.024902344
a14.h15->logits,0.14453125,0.025756836
a1.h10->m1,0.71875,0.040039062
m2->m4,0.17285156,0.08105469
input->m7,-0.20703125,-0.083984375
a14.h18->logits,-0.33007812,-0.036865234
a15.h26->logits,-0.28320312,-0.037109375
m3->logits,-0.25585938,-0.14453125
m10->logits,-0.5,-0.11425781
m5->m15,-0.21582031,0.025634766
a15.h25->logits,0.17871094,0.17089844
m2->logits,-0.25195312,-0.060546875
a14.h12->logits,0.28320312,0.020141602
a1.h31->m3,0.16210938,-0.038330078
input->a0.h4<q>,-0.13769531,0.031982422
m7->m11,-0.12597656,0.119140625
input->logits,3.640625,0.96484375
m6->m15,-0.15234375,-0.087402344
a1.h5->m1,-0.1953125,0.03149414
input->m2,0.87109375,0.095703125
a13.h10->m14,0.37304688,0.061035156
m13->m15,-0.3203125,-0.33007812
m9->m12,0.16796875,-0.08300781
a15.h6->m15,0.17578125,-0.03149414
a4.h2->m4,-0.3046875,0.020263672
a1.h23->m1,-0.12988281,-0.025512695
a15.h15->logits,0.14453125,-0.045410156
m10->m13,-0.1328125,-0.12451172
a2.h23->m3,0.33007812,-0.020507812
a13.h29->logits,-0.14160156,-0.037841797
a3.h22->m3,-0.16210938,0.031982422
a2.h22->m2,-0.33984375,-0.020996094
m10->m14,-0.15527344,0.022949219
a2.h17->m2,0.53515625,0.020263672
a12.h8->m15,-0.13964844,0.06298828
a4.h5->m4,0.18261719,-0.022949219
m7->logits,-0.1875,-0.052246094
m1->m4,0.12890625,-0.06542969
input->m0,1.3125,-0.25585938
m9->m10,-0.14550781,0.04321289
a13.h10->logits,-0.36914062,0.024658203
a12.h25->logits,-0.17773438,-0.024658203
m14->logits,0.15722656,-0.56640625
m8->logits,-0.25585938,-0.026733398
a10.h11->logits,-0.27148438,-0.026611328
m1->m2,0.75390625,-0.76953125
a15.h14->m15,-0.67578125,0.12011719
m0->m1,0.12988281,-0.35742188
a15.h23->logits,0.2109375,-0.029541016
a15.h7->m15,0.3359375,-0.02331543
a15.h14->logits,-0.671875,-0.22851562
m11->m12,0.44921875,0.15917969
input->m11,-0.86328125,-0.075683594
a12.h1->m15,-0.16796875,-0.043701172
a13.h25->m14,-0.14550781,0.027832031
m4->logits,-0.37304688,-0.05834961
