edge,score_1,score_2
m14->m15,-0.053222656,-2.40625
m0->a14.h18<q>,0.061035156,0.048339844
a14.h18->logits,0.03466797,0.07324219
m9->m10,0.029541016,0.083984375
a0.h16->m0,-1.078125,0.048339844
m3->m13,-0.042236328,0.04321289
m5->m6,-0.048828125,-0.28515625
m0->logits,-0.6640625,-0.20996094
m6->m15,-0.030517578,-0.06933594
m11->m12,-0.046875,0.69140625
m0->m15,-0.045654297,-0.43945312
m10->logits,-0.055419922,-0.25585938
a6.h2->m6,0.038085938,0.07421875
m1->m2,0.05834961,-0.17285156
m6->logits,-0.068359375,-0.20214844
m12->m13,0.048828125,0.5859375
m6->m13,-0.053222656,-0.053466797
m0->m6,-0.040039062,0.15039062
m1->m5,-0.08105469,-0.22265625
m10->m11,0.068847656,0.09326172
m12->m15,-0.063964844,-0.3515625
m9->m13,0.045410156,-0.06640625
m12->m14,0.08544922,0.57421875
m0->m12,0.061279297,0.10546875
m1->m6,-0.030883789,0.076171875
m9->m12,0.07421875,-0.24902344
a15.h0->logits,0.047607422,0.055419922
m0->a1.h12<q>,-0.028930664,0.05053711
input->a0.h9<q>,1.6171875,-0.091308594
m5->logits,0.0546875,-0.22753906
m2->logits,-0.037353516,-0.21972656
m0->m8,-0.29882812,0.12792969
m0->m11,-0.16894531,-0.052246094
m0->a2.h7<q>,0.08984375,-0.048095703
m13->m15,0.14160156,0.23535156
m13->logits,0.14453125,-0.62890625
m0->m5,0.74609375,-0.21484375
m10->m13,-0.0390625,0.04272461
a0.h19->m0,0.66015625,-0.041992188
m6->m10,-0.034179688,0.12109375
m15->logits,0.08105469,1.5390625
m0->m1,0.73828125,-0.08496094
a15.h3->logits,-0.041259766,-0.07128906
input->a0.h20<q>,-1.3828125,-0.06591797
m0->m10,0.21582031,0.2578125
m11->m14,0.041503906,0.25390625
m11->m13,0.11425781,0.4609375
m1->m12,0.055664062,0.056640625
