edge,score_1,score_2
m9->m10,-0.045898438,0.083984375
a14.h3->logits,0.07910156,-0.21777344
input->m15,-0.1953125,0.76953125
input->m4,0.14160156,-0.06640625
a11.h16->logits,-0.051757812,0.076171875
m10->m13,0.046142578,0.04272461
m8->m14,0.047851562,-0.080078125
a15.h25->logits,0.12597656,0.14648438
input->m14,-0.20214844,-0.47460938
m12->logits,0.23535156,-0.32226562
a1.h11->m1,0.13378906,0.056884766
a12.h8->logits,-0.075683594,0.20214844
a15.h9->logits,-0.11669922,-0.04711914
m7->logits,0.08935547,0.23828125
a13.h19->logits,-0.045898438,0.060546875
m13->m15,0.11328125,0.23535156
a8.h22->logits,-0.0625,0.044921875
m14->logits,-0.32226562,0.87109375
m10->logits,-0.056640625,-0.25585938
a14.h18->m15,0.064453125,0.13671875
m8->m10,-0.03564453,0.3359375
a9.h6->m11,0.040039062,-0.048095703
a1.h10->m1,-0.10644531,0.075683594
m13->logits,-0.15234375,-0.62890625
a15.h3->logits,0.034179688,-0.07128906
input->logits,0.64453125,0.78515625
a1.h8->m1,0.076171875,0.103027344
m14->m15,0.119140625,-2.40625
m11->m15,-0.051757812,-0.9296875
m1->m2,0.068847656,-0.17285156
m9->m13,0.037353516,-0.06640625
m11->logits,0.14257812,-0.40429688
a14.h25->logits,-0.04248047,0.06738281
a5.h15->m14,0.034423828,0.056884766
input->m13,0.08935547,-0.18359375
m1->m14,-0.044677734,-0.29101562
a15.h11->logits,-0.05102539,0.115234375
m15->logits,-0.3046875,1.5390625
a3.h22->m3,-0.043945312,-0.041992188
a12.h9->m15,0.053222656,0.08984375
input->m10,0.057617188,-0.17773438
a10.h4->logits,0.13769531,-0.15234375
a15.h14->logits,0.12011719,0.16796875
a6.h5->logits,-0.060302734,-0.052246094
m8->m15,0.038085938,-0.26171875
input->m1,0.359375,-0.18457031
m10->m11,0.048339844,0.09326172
m3->logits,0.041015625,0.059570312
a15.h0->logits,0.040283203,0.055419922
a1.h28->m1,-0.091308594,0.09423828
m1->m15,-0.052490234,-0.091308594
a9.h6->m12,0.059570312,0.05126953
input->m9,-0.041259766,-0.1328125
m6->m7,-0.04345703,0.48828125
m0->m1,0.038085938,-0.08496094
m3->m12,0.03930664,-0.1640625
m1->m6,0.036132812,0.076171875
a1.h31->m1,0.13476562,-0.10546875
