edge,score_1,score_2
m5->logits,-1.4375,-0.067871094
m14->logits,-2.546875,-0.67578125
a12.h6->logits,-0.62890625,-0.053222656
input->m4,-0.4609375,-0.107910156
a7.h2->m8,0.328125,-0.06542969
a10.h6->m10,-0.30273438,0.059326172
m13->m14,1.5,0.12451172
a14.h18->logits,-0.5078125,-0.15722656
a1.h28->m1,-1.109375,0.045410156
m7->logits,-0.63671875,-0.12060547
a12.h7->m12,0.39453125,-0.05029297
input->m9,-0.85546875,0.09375
input->m15,0.6015625,0.11230469
a12.h6->m12,-0.3125,0.609375
m0->logits,-0.28320312,0.11376953
a1.h31->m1,0.34570312,-0.095703125
m15->logits,-3.5625,1.078125
input->m1,0.47265625,-0.37695312
a2.h17->m2,0.4609375,-0.044921875
m10->m11,0.45507812,0.107910156
m4->logits,-0.78515625,0.10644531
input->m3,-0.41210938,-0.08642578
input->logits,9.9375,-0.26757812
input->m7,-0.8203125,0.05493164
a15.h24->logits,-1.453125,-0.072753906
a12.h6->m13,-0.28320312,-0.296875
a12.h5->m14,0.49804688,-0.05102539
a6.h6->m9,-0.33007812,0.04272461
m12->m15,0.296875,-0.31835938
a15.h27->logits,2.515625,0.045410156
a13.h16->logits,-0.47070312,-0.041992188
a15.h14->m15,-2.09375,-0.07861328
m11->m12,0.43945312,-0.32421875
a15.h14->logits,-0.875,0.057128906
m8->logits,-0.87109375,-0.10546875
m11->m14,-0.30078125,0.10498047
m3->logits,-0.7109375,0.06542969
m9->m11,-0.3046875,0.07763672
m9->m10,-0.34570312,0.11376953
input->m14,-1.4375,0.092285156
input->m12,1.1015625,-0.063964844
m10->m15,0.35546875,-0.044677734
m6->logits,-0.6015625,0.12011719
a6.h6->m7,0.31640625,0.04663086
a1.h5->m1,0.35742188,0.068359375
a2.h24->m2,0.3359375,0.04711914
m1->m2,0.33789062,0.10644531
m13->logits,-1.84375,-0.21777344
m9->m13,0.3828125,0.11669922
a7.h0->m11,-0.40039062,-0.044433594
