edge,score_1,score_2
m13->logits,-0.05102539,0.16894531
a14.h18->m15,-0.005706787,0.038330078
a15.h1->logits,-0.0065307617,0.028564453
m15->logits,-0.020263672,0.037841797
m0->a1.h21<q>,0.008666992,0.018798828
a13.h17->logits,-0.015014648,-0.043945312
input->m0,-0.015380859,-0.14453125
a15.h26->logits,-0.009521484,-0.017700195
a15.h25->logits,0.026855469,0.038085938
m14->logits,-0.12792969,-0.071777344
m12->m13,0.008056641,0.095703125
a12.h6->logits,0.0045776367,-0.026611328
a14.h4->m15,-0.007446289,0.039794922
m10->logits,0.017700195,-0.09375
m0->m1,-0.013366699,-0.024169922
m0->m14,0.004547119,0.060058594
m0->m12,0.0043029785,0.020507812
m0->m15,-0.0054016113,0.046142578
a13.h10->logits,-0.008422852,0.017089844
a14.h23->logits,0.017944336,-0.041992188
a11.h7->logits,0.0039367676,-0.037109375
m0->a1.h31<q>,0.010681152,0.017822266
m9->logits,0.012939453,-0.053710938
a1.h20->m1,0.0048828125,0.017089844
a14.h23->m15,-0.005493164,0.031982422
a14.h22->m15,-0.005554199,0.024658203
a15.h7->logits,0.010559082,0.03149414
m11->logits,-0.004272461,-0.075683594
m0->m4,0.004760742,0.020629883
a0.h1->m0,0.06542969,-0.022216797
a13.h29->logits,-0.009521484,0.02355957
a12.h8->logits,-0.032470703,-0.060058594
a15.h24->logits,-0.025756836,-0.031982422
m9->m14,0.004760742,0.047607422
a14.h17->logits,-0.010253906,-0.021240234
m14->m15,0.14648438,0.022949219
a0.h3->m0,0.025268555,-0.018676758
a14.h18->logits,0.010131836,-0.048339844
m12->m15,0.009338379,-0.111816406
m10->m14,0.0052490234,-0.02734375
a12.h11->m15,-0.011962891,0.04272461
m0->logits,0.004058838,-0.09863281
a10.h7->logits,0.018432617,-0.022216797
a14.h22->logits,-0.0062561035,-0.033447266
a15.h30->logits,0.007873535,-0.033447266
a13.h17->m15,-0.0054626465,0.028930664
a9.h12->m9,-0.0036773682,0.032470703
a15.h24->m15,-0.005065918,0.024414062
a12.h24->logits,0.015319824,-0.031982422
a14.h5->logits,-0.018798828,-0.02331543
input->logits,-0.015563965,0.14648438
m13->m14,0.0064697266,0.047607422
m0->m9,0.0049438477,-0.053710938
a14.h14->logits,0.008605957,-0.024658203
m0->a1.h22<q>,-0.005340576,-0.016357422
m0->m8,0.0039978027,0.0546875
a15.h11->m15,0.005493164,0.021972656
a12.h11->logits,0.025756836,-0.052490234
m8->logits,0.011169434,0.03540039
a13.h15->logits,-0.015258789,-0.016845703
a14.h19->m14,0.0079956055,-0.019897461
m10->m15,0.0050354004,-0.08544922
