edge,score_1,score_2
a0.h11->m0,0.0040893555,-0.020263672
a14.h4->m15,-0.007446289,0.033447266
m0->a1.h12<q>,0.01965332,-0.021728516
a14.h18->m15,-0.005706787,0.07324219
m13->m14,0.0064697266,0.21386719
m12->logits,0.044433594,0.07519531
m9->m14,0.004760742,-0.03149414
a5.h19->logits,-0.007537842,-0.020263672
a15.h25->logits,0.026855469,0.028442383
m0->m12,0.0043029785,0.13671875
a0.h9->m0,-0.012634277,-0.037353516
a9.h12->m9,-0.0036773682,0.02331543
a14.h20->logits,0.004211426,-0.025634766
m11->logits,-0.004272461,0.030029297
a14.h11->logits,0.0043029785,0.022705078
a13.h10->logits,-0.008422852,0.0234375
input->a0.h1<q>,0.007080078,0.03540039
a14.h23->m15,-0.005493164,0.036621094
a14.h17->logits,-0.010253906,-0.020507812
m4->logits,-0.0047912598,-0.05444336
m0->m9,0.0049438477,0.08544922
m0->a1.h2<q>,0.004272461,-0.030761719
m15->logits,-0.020263672,0.8203125
a9.h19->logits,-0.014587402,-0.025634766
m0->m7,0.006164551,0.140625
a14.h18->logits,0.010131836,-0.07861328
a15.h24->logits,-0.025756836,-0.09667969
a15.h7->logits,0.010559082,0.032470703
a15.h14->logits,-0.010986328,-0.061279297
m7->logits,0.007659912,0.027832031
a15.h27->logits,0.01373291,0.049804688
m0->a1.h22<q>,-0.005340576,-0.036621094
a1.h20->m1,0.0048828125,0.042236328
a15.h24->m15,-0.005065918,0.04272461
a12.h11->m15,-0.011962891,0.056640625
m8->logits,0.011169434,-0.13476562
a14.h23->logits,0.017944336,-0.06689453
m14->logits,-0.12792969,-0.3125
m12->m13,0.008056641,0.11816406
m0->m8,0.0039978027,0.029418945
m12->m15,0.009338379,-0.25
m0->a1.h21<q>,0.008666992,0.049804688
m11->m14,0.003692627,0.07910156
m14->m15,0.14648438,0.022460938
a12.h6->logits,0.0045776367,-0.046875
m0->logits,0.004058838,-0.23632812
a10.h5->logits,0.012268066,-0.020263672
a11.h1->logits,-0.008972168,0.02331543
input->m0,-0.015380859,0.027832031
m10->m15,0.0050354004,-0.115234375
a14.h30->logits,-0.010498047,0.026977539
a14.h14->logits,0.008605957,0.029418945
input->logits,-0.015563965,0.55859375
m0->a1.h31<q>,0.010681152,0.037597656
m10->m14,0.0052490234,-0.10888672
m0->m1,-0.013366699,-0.17578125
m0->m14,0.004547119,0.06542969
m0->a2.h20<q>,0.00491333,-0.055419922
a0.h23->m0,-0.01361084,-0.0234375
a12.h11->logits,0.025756836,-0.021728516
m9->logits,0.012939453,0.036621094
m0->m15,-0.0054016113,0.099609375
a12.h8->logits,-0.032470703,-0.072265625
a13.h10->m15,-0.0067443848,-0.022338867
m0->m4,0.004760742,0.028442383
a13.h31->logits,0.01977539,0.036865234
a0.h1->m0,0.06542969,0.021728516
m0->a1.h23<q>,0.0154418945,-0.19140625
m0->a2.h26<q>,0.0072631836,-0.05029297
