edge,score_1,score_2
m0->m12,0.0043029785,-0.119140625
m0->logits,0.004058838,0.11376953
a0.h23->m0,-0.01361084,-0.05883789
m12->m13,0.008056641,0.96484375
m4->a5.h13<q>,0.006378174,0.05102539
m13->logits,-0.05102539,-0.21777344
a0.h9->m0,-0.012634277,-0.07519531
m0->a1.h17<q>,0.015991211,0.059326172
m0->a1.h23<q>,0.0154418945,0.09375
a12.h9->m15,-0.0065307617,0.07421875
m7->logits,0.007659912,-0.12060547
m0->a1.h15<q>,0.011962891,0.41015625
m0->a1.h22<q>,-0.005340576,0.06542969
a9.h13->logits,0.004425049,-0.04321289
a5.h15->m8,0.004699707,0.07910156
a14.h17->logits,-0.010253906,-0.05126953
m4->logits,-0.0047912598,0.10644531
m8->logits,0.011169434,-0.10546875
m15->logits,-0.020263672,1.078125
a3.h17->m3,-0.004638672,-0.095214844
m14->m15,0.14648438,0.22167969
a9.h12->m9,-0.0036773682,0.096191406
a12.h6->logits,0.0045776367,-0.053222656
input->logits,-0.015563965,-0.26757812
m0->m4,0.004760742,-0.15332031
m13->m14,0.0064697266,0.12451172
m0->m7,0.006164551,-0.20214844
a0.h21->m0,-0.011413574,0.06298828
m0->a2.h16<q>,0.0039978027,0.18359375
m0->a2.h12<q>,0.00491333,0.067871094
m0->m1,-0.013366699,-0.15917969
a0.h28->m0,0.008728027,-0.140625
a2.h7->m3,-0.005706787,0.04272461
a14.h18->logits,0.010131836,-0.15722656
a15.h24->logits,-0.025756836,-0.072753906
m0->m14,0.004547119,0.05053711
a15.h14->logits,-0.010986328,0.057128906
a14.h18->m15,-0.005706787,0.079589844
a14.h1->logits,0.016113281,0.048095703
a7.h21->logits,0.0050354004,0.047607422
m12->logits,0.044433594,0.2421875
a13.h10->m15,-0.0067443848,-0.05126953
a15.h24->m15,-0.005065918,0.17773438
input->a0.h26<q>,0.0038604736,0.056152344
a15.h27->logits,0.01373291,0.045410156
m11->m14,0.003692627,0.10498047
a13.h28->logits,0.025268555,0.045410156
m12->m15,0.009338379,-0.31835938
m0->m8,0.0039978027,0.107421875
a13.h26->m15,-0.003829956,0.056884766
m10->m15,0.0050354004,-0.044677734
m14->logits,-0.12792969,-0.67578125
m9->m14,0.004760742,-0.10253906
input->a1.h15<q>,0.004211426,0.14160156
