edge,score_1,score_2
m5->m8,2.875,-0.24121094
m17->m20,-5.28125,0.05810547
m10->m15,1.65625,0.04272461
m4->m16,-8.875,0.24511719
m3->m6,3.65625,-0.15136719
a1.h0->m1,-2.59375,0.057617188
m8->m20,10.25,0.035888672
m1->a2.h12<q>,2.265625,-0.034423828
m4->m20,-856.0,0.20214844
m21->m22,-71.5,0.049072266
a2.h9->m2,-4.5625,-0.061767578
m4->a9.h4<q>,3.0,0.0390625
m4->m11,-5.40625,-0.08935547
input->a0.h0<q>,-2.40625,0.068359375
m3->m22,2.78125,-0.033691406
m4->a8.h6<q>,52.5,-0.035888672
m5->m9,2.703125,0.13671875
m10->m11,-2.5625,0.20996094
a4.h3->m4,-86.5,-0.051513672
a1.h1->m1,102.5,0.063964844
m10->m21,2.40625,-0.063964844
a0.h9->m0,-63.25,0.040527344
m1->m2,-197.0,-0.053222656
m4->m19,35.0,-0.031982422
m6->m7,6.46875,0.27929688
input->m1,-43.75,0.07324219
m4->m10,83.0,-0.10058594
m8->m10,2.234375,0.080078125
m4->a5.h1<q>,2.9375,0.034423828
a0.h7->m0,33.25,0.07519531
m3->m20,-3.796875,0.034423828
m0->m2,-90.0,0.096191406
m4->m8,286.0,0.033203125
m9->m10,-2.640625,-0.19238281
a1.h10->m1,6.03125,-0.07324219
m20->m21,-20.375,0.122558594
a10.h7->m10,-2.34375,0.08251953
a0.h3->m0,-20.375,-0.032714844
m4->m9,448.0,-0.25
a10.h10->m10,3.078125,0.042236328
m4->m6,510.0,-0.22753906
a0.h8->m0,13.5,-0.053710938
m15->m20,-3.078125,0.038085938
m4->a7.h6<q>,1.7265625,0.036621094
a1.h11->m4,1.609375,-0.032226562
m22->m23,-105.5,0.048095703
m4->m17,-9.375,0.034423828
m4->m7,189.0,0.2890625
m4->a16.h5<q>,1.703125,-0.033691406
m2->m4,-255.0,-0.19238281
m0->m3,14.375,-0.048095703
m4->m22,756.0,0.05126953
m13->m20,1.53125,-0.05444336
m8->m9,3.71875,-0.39453125
m2->m3,-46.0,-0.1953125
m17->m22,1.6796875,-0.061035156
m5->m20,-2.171875,-0.063964844
a1.h2->m1,-34.0,-0.05102539
m6->m8,4.1875,-0.22265625
a4.h5->m4,9.125,-0.040283203
m19->m22,2.546875,0.16992188
m4->logits,-72.0,-0.07128906
m4->m12,-21.75,-0.03540039
m1->m3,49.5,0.14550781
a4.h3->m6,2.484375,0.06591797
m0->m1,174.0,0.046875
a3.h10->m3,-4.0,0.084472656
m7->m19,-1.609375,-0.037109375
m23->logits,9.875,0.3359375
m20->m22,-3.28125,-0.06982422
a0.h10->m0,-66.5,0.034179688
m12->m22,-1.96875,-0.032714844
m16->m20,-3.09375,0.061523438
input->m0,244.0,0.29296875
m4->a11.h0<q>,-2.796875,0.03149414
m2->m20,-2.3125,0.19628906
m2->m22,2.453125,-0.036376953
m2->m7,3.15625,-0.047607422
a2.h13->m2,5.84375,0.032714844
m4->m21,-132.0,0.037597656
a1.h7->m1,-15.0625,-0.061035156
m2->a4.h3<q>,-32.0,0.08886719
m4->m18,-9.625,-0.053222656
m3->m9,4.25,0.087890625
m4->m5,-404.0,-0.28515625
input->a0.h6<q>,-6.1875,0.04248047
m4->m13,-12.625,0.076660156
m4->m23,10.8125,0.040283203
m2->m8,7.5625,0.21386719
a1.h5->m2,-14.875,-0.033203125
m16->m17,-1.84375,0.25
