edge,score_1,score_2
m2->m4,-255.0,-0.3046875
m0->m1,174.0,0.6015625
m17->m22,1.6796875,-0.08691406
m17->m20,-5.28125,-0.03881836
m8->m20,10.25,-0.07519531
m10->m17,-3.5625,0.10253906
m4->m17,-9.375,-0.08300781
m0->a2.h13<q>,2.546875,-0.052246094
m0->m3,14.375,-0.36914062
m2->m7,3.15625,0.087890625
m2->m8,7.5625,-0.23535156
m12->m20,3.15625,0.071777344
input->m0,244.0,-0.6796875
m21->logits,10.25,-0.27148438
a1.h11->m1,37.5,-0.13671875
a2.h4->m3,2.375,0.04248047
m4->m23,10.8125,0.061767578
m4->m9,448.0,-0.03491211
m20->m21,-20.375,-0.13671875
m4->m19,35.0,0.04321289
a0.h8->m0,13.5,0.048828125
m21->m22,-71.5,0.19042969
m9->m10,-2.640625,0.05053711
a4.h5->m4,9.125,0.041503906
m6->m19,1.796875,-0.056884766
m4->m8,286.0,0.24511719
m9->m20,5.71875,0.044677734
a1.h2->m1,-34.0,0.033691406
a0.h1->m0,55.25,0.049804688
a1.h8->m1,64.5,0.08642578
a4.h3->m4,-86.5,0.08984375
m23->logits,9.875,3.15625
m15->m20,-3.078125,0.11621094
a1.h7->m1,-15.0625,-0.106933594
m4->m14,2.375,-0.110839844
m4->m12,-21.75,-0.31835938
m1->m2,-197.0,0.42773438
a3.h9->m3,3.4375,0.037597656
m5->m20,-2.171875,0.029418945
a3.h10->m3,-4.0,-0.049316406
a2.h9->m2,-4.5625,-0.037841797
m4->m11,-5.40625,0.19042969
a1.h1->m1,102.5,-0.029541016
m2->m3,-46.0,0.23242188
a4.h3->m5,-1.9921875,-0.05102539
a1.h8->m2,27.5,-0.030883789
m4->m7,189.0,-0.11425781
a2.h1->m2,-3.1875,0.052490234
m0->m4,-3.625,-0.08544922
a0.h11->m0,25.875,0.030517578
m12->m22,-1.96875,0.03173828
m22->logits,1248.0,0.359375
a0.h13->m0,-150.0,-0.072265625
m5->m9,2.703125,0.091796875
a2.h3->m3,3.875,-0.075683594
a2.h0->m2,6.6875,0.053222656
m2->a3.h9<q>,-7.1875,-0.04711914
m4->m13,-12.625,0.107421875
a0.h6->m0,-33.0,0.063964844
m7->m20,3.703125,0.10205078
m10->m15,1.65625,-0.07080078
a2.h1->m3,-10.5625,0.040283203
m6->m20,-5.90625,-0.038085938
m10->m11,-2.5625,-0.16503906
m5->m21,4.84375,0.0546875
m8->m9,3.71875,-0.23632812
a0.h10->m0,-66.5,-0.09423828
a0.h12->m0,-39.25,0.03149414
m3->m6,3.65625,-0.125
a1.h11->m3,-5.625,0.033203125
m5->m8,2.875,-0.061767578
a0.h3->m0,-20.375,0.05908203
m19->m20,3.203125,-0.064453125
m2->m20,-2.3125,0.047851562
m0->a1.h5<q>,-17.0,0.05883789
m8->m10,2.234375,0.048828125
a1.h5->m2,-14.875,0.100097656
a0.h7->m0,33.25,0.083984375
m1->m3,49.5,-0.2421875
a2.h5->m3,-4.6875,-0.059326172
a1.h12->m1,-39.25,-0.03491211
m3->m4,-103.0,-0.13964844
m22->m23,-105.5,0.46679688
m4->m5,-404.0,0.15527344
a10.h7->m10,-2.34375,-0.09814453
m16->m17,-1.84375,-0.13769531
a2.h1->m4,2.921875,-0.03564453
m4->m6,510.0,-0.4453125
m19->m22,2.546875,0.15917969
m20->m22,-3.28125,0.26171875
m21->m23,-5.75,-0.115234375
m15->m19,1.5234375,-0.14160156
