edge,score_1,score_2
m2->m4,-174080.0,0.19726562
m2->a7.h0<q>,100.5,-0.028076172
a0.h10->m0,-207.0,0.024047852
m0->m3,113.5,0.14746094
m22->logits,4736.0,1.90625
m1->m8,97.5,-0.0703125
m2->m3,259072.0,-2.15625
m4->m6,178176.0,-0.43554688
m2->m15,-218.0,0.36523438
m2->m11,-212.0,-0.47070312
m2->m9,688.0,0.3671875
m6->m9,-149.0,-0.029663086
m2->m16,205.0,0.2734375
m5->m6,-122.0,-0.03930664
m3->m9,71.5,0.044677734
a1.h13->m1,-64.5,-0.034423828
m4->m10,4864.0,0.5390625
m2->m5,-9728.0,-0.30664062
m2->a5.h13<q>,253.0,0.13574219
m5->m8,107.5,0.030273438
a1.h7->m1,-119.5,0.18457031
m4->a6.h3<q>,-20608.0,-0.033203125
m2->a18.h2<q>,80.0,-0.023925781
m2->m6,16064.0,-0.44921875
m2->m19,142.0,-0.08886719
m2->a3.h10<q>,-436.0,-0.43945312
m3->m4,-10176.0,0.2578125
m0->m2,118.0,0.20507812
m2->a4.h6<q>,-5088.0,0.0234375
m2->m7,-22016.0,0.03173828
m4->a6.h13<q>,-5696.0,0.025634766
m1->m2,-4080.0,0.07470703
a1.h5->m1,-512.0,-0.036865234
m2->a7.h1<q>,-310.0,0.022949219
m2->m23,116.5,-0.25390625
m4->m8,59392.0,0.08251953
m4->a7.h11<q>,6848.0,0.033691406
m4->a16.h5<q>,-502.0,-0.042236328
m4->m9,5088.0,0.13574219
m2->a6.h3<q>,-1832.0,-0.060302734
m2->a4.h3<q>,123.0,0.33203125
a0.h4->m0,282.0,0.041992188
a2.h6->m2,-72.5,0.02722168
a1.h4->m1,82.0,0.041015625
m3->m17,82.0,0.03955078
a1.h6->m1,-374.0,-0.03491211
a1.h8->m2,107.5,-0.033691406
m4->m13,-241.0,-0.29882812
m2->a10.h5<q>,-560.0,0.029663086
m4->m11,-1696.0,-0.36523438
m4->m19,1184.0,-0.033447266
a6.h3->m7,101.0,0.03930664
m0->a1.h0<q>,89.0,-0.024047852
m4->m18,-6240.0,-0.123535156
m2->a6.h13<q>,-552.0,0.07421875
m4->m16,1392.0,0.19042969
m2->a7.h4<q>,-192.0,0.034179688
a4.h3->m4,178.0,-0.023925781
m4->m12,600.0,0.092285156
m2->a8.h10<q>,1472.0,-0.034423828
m2->m18,-744.0,-0.16992188
m4->m20,-2064.0,0.30078125
m2->a7.h11<q>,516.0,0.037109375
m2->a4.h5<q>,6016.0,0.19140625
m4->a11.h2<q>,64.5,-0.024658203
m2->m20,-241.0,0.5234375
m4->a5.h13<q>,2024.0,0.06738281
m1->m5,-168.0,-0.036621094
m4->logits,-1608.0,-0.69140625
a1.h9->m1,-282.0,0.04663086
m4->a7.h4<q>,-3888.0,0.024047852
m2->logits,-151.0,-0.8515625
m4->m22,7040.0,0.109375
m4->a7.h0<q>,1496.0,-0.025878906
m4->m14,-110.0,-0.2578125
m4->m17,5952.0,0.15136719
m2->a4.h13<q>,1536.0,-0.04321289
input->m0,984.0,-0.16015625
m2->m22,712.0,0.2421875
a0.h0->m0,294.0,0.044433594
m2->m17,556.0,0.27539062
m2->a3.h8<q>,-492.0,-0.064453125
m0->m4,-71.0,-0.075683594
m5->m7,-94.0,0.08105469
m2->m12,116.0,0.08251953
m22->m23,-3600.0,-0.43945312
m4->m21,-1632.0,-0.15917969
m2->m21,-228.0,-0.09863281
a1.h11->m1,346.0,0.092285156
m1->m3,10304.0,0.11425781
m4->a13.h3<q>,-268.0,-0.02355957
m2->m10,436.0,0.69140625
m21->m22,-123.5,-0.06689453
m4->m5,-90624.0,0.084472656
m4->m15,-2848.0,0.23046875
m6->m10,101.0,0.040039062
