edge,score_1,score_2
m0->m1,79.5,0.6015625
m5->m7,-94.0,-0.09326172
a0.h12->m0,664.0,0.03149414
a6.h3->m7,101.0,-0.037597656
m3->m6,1440.0,-0.125
m0->m4,-71.0,-0.08544922
a2.h4->m3,67.0,0.04248047
a1.h1->m1,87.0,-0.029541016
a1.h4->m1,82.0,-0.04711914
m3->a4.h6<q>,-628.0,0.043945312
m1->m8,97.5,-0.14550781
m6->m19,71.0,-0.056884766
a0.h8->m0,338.0,0.048828125
m4->m7,-278528.0,-0.11425781
m2->m8,5824.0,-0.23535156
m4->m5,-90624.0,0.15527344
m2->m16,205.0,-0.071777344
a0.h13->m0,286.0,-0.072265625
a2.h1->m3,-90.0,0.040283203
a2.h0->m2,-134.0,0.053222656
m2->m6,16064.0,0.08886719
m3->m4,-10176.0,-0.13964844
m2->m10,436.0,0.080566406
m22->m23,-3600.0,0.46679688
m2->m21,-228.0,0.044433594
a1.h13->m1,-64.5,-0.033691406
m4->m19,1184.0,0.04321289
m4->m8,59392.0,0.24511719
a0.h6->m0,-73.5,0.063964844
m22->logits,4736.0,0.359375
m4->m17,5952.0,-0.08300781
m1->m5,-168.0,-0.060302734
a1.h12->m1,-144.0,-0.03491211
a1.h7->m1,-119.5,-0.106933594
m2->m17,556.0,0.032958984
a0.h3->m0,-486.0,0.05908203
a1.h2->m1,-233.0,0.033691406
m0->m3,113.5,-0.36914062
m2->m9,688.0,0.20507812
m2->m20,-241.0,0.047851562
m5->m6,-122.0,0.06738281
m4->m23,1232.0,0.061767578
m2->m4,-174080.0,-0.3046875
a2.h1->m2,-107.5,0.052490234
m2->m7,-22016.0,0.087890625
m3->m8,676.0,0.103515625
m4->m13,-241.0,0.107421875
a0.h1->m0,205.0,0.049804688
a0.h10->m0,-207.0,-0.09423828
m1->m2,-4080.0,0.42773438
input->m0,984.0,-0.6796875
m4->m14,-110.0,-0.110839844
m2->m5,-9728.0,0.08935547
m4->m9,5088.0,-0.03491211
m21->m22,-123.5,0.19042969
m2->m3,259072.0,0.23242188
m1->m6,274.0,0.032714844
a4.h3->m4,178.0,0.08984375
m1->m3,10304.0,-0.2421875
m1->m7,-364.0,0.115722656
m6->m9,-149.0,-0.24121094
m6->m10,101.0,-0.084472656
m4->m12,600.0,-0.31835938
a1.h8->m1,186.0,0.08642578
m2->a3.h9<q>,-1040.0,-0.04711914
m3->m5,-816.0,-0.029418945
m1->a2.h11<q>,207.0,0.030029297
a1.h8->m2,107.5,-0.030883789
m4->m6,178176.0,-0.4453125
m4->m11,-1696.0,0.19042969
m5->m8,107.5,-0.061767578
a1.h11->m1,346.0,-0.13671875
