edge,score_1,score_2
a2.h6->m2,3.515625,0.02722168
a2.h9->m2,-2.59375,-0.072753906
m4->m14,1.3828125,-0.2578125
m8->m9,-2.015625,-0.09814453
m2->m4,58.5,0.19726562
m4->m10,11.9375,0.5390625
m4->m20,-528.0,0.30078125
a2.h12->m2,7.1875,-0.033447266
m2->a4.h6<q>,2.84375,0.0234375
m7->m9,-1.265625,0.024658203
m4->m8,-27.875,0.08251953
m4->m21,-28.375,-0.15917969
m3->m4,25.125,0.2578125
m7->m8,-1.5390625,-0.06933594
m4->logits,-31.5,-0.69140625
a1.h5->m2,-13.75,-0.028808594
a1.h4->m1,-3.015625,0.041015625
m4->m13,-9.8125,-0.29882812
m21->logits,4.78125,-0.25390625
m12->m20,1.9765625,-0.060302734
a1.h4->m3,1.2421875,-0.024902344
m1->m3,-53.0,0.11425781
a1.h11->m1,-9.0625,0.092285156
m3->m20,-1.6015625,-0.025146484
m18->m19,-2.5625,-0.05444336
input->m0,70.5,-0.16015625
m22->m23,-80.0,-0.43945312
m20->m21,-2.90625,0.08544922
m4->m9,-84.5,0.13574219
m5->m21,2.171875,-0.033691406
m4->m22,432.0,0.109375
a0.h7->m0,-11.9375,0.044433594
m19->m23,-1.453125,-0.25585938
m6->m22,2.296875,-0.04248047
m4->m12,12.0625,0.092285156
m4->m19,3.71875,-0.033447266
m4->m15,-4.6875,0.23046875
m6->m20,-4.875,0.023803711
a1.h6->m1,-31.375,-0.03491211
input->a0.h3<q>,1.3125,0.044433594
m0->m2,45.0,0.20507812
a2.h7->m3,-1.2265625,-0.024169922
m2->m7,5.03125,0.03173828
a1.h7->m1,8.0,0.18457031
m4->a6.h3<q>,10.1875,-0.033203125
m7->m10,1.75,0.041503906
a1.h6->m3,4.625,0.0390625
m0->a1.h0<q>,18.5,-0.024047852
a1.h8->m2,-35.75,-0.033691406
a0.h4->m0,-3.9375,0.041992188
m5->m8,2.5,0.030273438
m8->m20,6.71875,-0.047851562
m1->m5,1.21875,-0.036621094
m2->m22,8.0,0.2421875
m2->a4.h5<q>,-25.0,0.19140625
m5->m6,6.96875,-0.03930664
m4->m5,-230.0,0.084472656
m0->m4,6.4375,-0.075683594
m2->a3.h8<q>,2.578125,-0.064453125
m6->m21,3.921875,-0.024536133
m2->m3,74.5,-2.15625
m15->m20,-1.46875,-0.07421875
m2->m21,2.765625,-0.09863281
a1.h9->m2,-16.625,0.030029297
a4.h3->m4,-44.5,-0.023925781
a1.h5->m1,-19.75,-0.036865234
m4->m17,-4.0,0.15136719
m22->logits,588.0,1.90625
m21->m22,-28.0,-0.06689453
a2.h7->m2,5.09375,0.036132812
m2->m6,4.71875,-0.44921875
m2->m5,-8.5,-0.30664062
m4->m18,-4.84375,-0.123535156
a1.h10->m3,-3.796875,-0.04663086
m4->m11,-3.859375,-0.36523438
m2->a3.h10<q>,3.09375,-0.43945312
a0.h10->m0,11.8125,0.024047852
m20->m22,-1.4609375,-0.15917969
a1.h10->m1,-24.125,0.043945312
m4->m16,-3.625,0.19042969
a6.h3->m7,-1.2578125,0.03930664
m2->m9,-2.1875,0.3671875
m2->a4.h3<q>,-51.75,0.33203125
m10->m20,2.5,-0.053710938
m0->m3,-3.984375,0.14746094
m4->m6,314.0,-0.43554688
m2->a4.h12<q>,-1.4375,-0.057128906
m15->m22,1.296875,0.051513672
m1->m2,-338.0,0.07470703
m23->logits,-1.3984375,0.38671875
m2->m20,-11.1875,0.5234375
m4->a7.h0<q>,-3.546875,-0.025878906
a1.h9->m1,38.0,0.04663086
a23.h0->m23,-1.578125,-0.20214844
