edge,score_1,score_2
m2->a4.h5<q>,-46.0,0.044677734
m4->m16,-456.0,0.24511719
m4->a16.h5<q>,39.0,-0.033691406
m0->m2,298.0,0.096191406
m2->m8,-206.0,0.21386719
m4->a5.h1<q>,50.25,0.034423828
a1.h1->m1,-158.0,0.063964844
m1->m3,-201.0,0.14550781
m2->m3,-1744.0,-0.1953125
m4->m7,4992.0,0.2890625
a0.h7->m0,320.0,0.07519531
m4->m9,77.5,-0.25
input->m0,-1712.0,0.29296875
m22->m23,-1864.0,0.048095703
m2->m5,-404.0,0.048095703
m1->a2.h12<q>,77.0,-0.034423828
m5->m7,38.0,0.29492188
m4->m5,-35584.0,-0.28515625
a1.h10->m1,-430.0,-0.07324219
m9->m10,34.75,-0.19238281
m4->m12,-170.0,-0.03540039
m3->m8,-34.0,0.046142578
m4->logits,-378.0,-0.07128906
m20->m21,-43.5,0.122558594
a0.h8->m0,-43.25,-0.053710938
m1->m5,26.75,0.111816406
a4.h3->m4,-600.0,-0.051513672
a3.h10->m3,152.0,0.084472656
m4->m19,402.0,-0.031982422
m2->a4.h3<q>,3456.0,0.08886719
m2->m6,191.0,-0.12890625
m3->m5,-294.0,-0.18652344
m5->m9,30.375,0.13671875
m4->m22,1440.0,0.05126953
a4.h2->m4,56.0,-0.041992188
m0->m3,-99.0,-0.048095703
m1->m2,-1792.0,-0.053222656
m4->m21,1784.0,0.037597656
a1.h11->m4,-143.0,-0.032226562
m0->m1,-3168.0,0.046875
m4->m23,320.0,0.040283203
m1->m4,346.0,-0.20410156
a6.h3->m6,25.875,0.034179688
m4->m6,12544.0,-0.22753906
m4->m11,-64.5,-0.08935547
m4->m13,56.75,0.076660156
m2->m7,310.0,-0.047607422
a1.h7->m1,61.0,-0.061035156
a0.h10->m0,-95.5,0.034179688
m4->m18,-101.0,-0.053222656
a0.h9->m0,-652.0,0.040527344
m7->m9,27.25,0.118652344
a2.h9->m2,57.0,-0.061767578
m2->m4,-239.0,-0.19238281
a1.h2->m1,-134.0,-0.05102539
m4->m17,-182.0,0.034423828
a2.h13->m2,164.0,0.032714844
a3.h7->m4,59.0,0.034423828
m4->a7.h6<q>,-48.25,0.036621094
m6->m7,-44.25,0.27929688
m5->m6,35.25,0.26171875
m2->a8.h6<q>,72.0,-0.03173828
a3.h0->m3,-63.25,0.033447266
m4->m20,-1536.0,0.20214844
m4->a9.h4<q>,-32.75,0.0390625
m3->m6,136.0,-0.15136719
m4->m10,-720.0,-0.10058594
a0.h3->m0,412.0,-0.032714844
a3.h5->m4,-92.0,0.035888672
m10->m11,-24.125,0.20996094
m21->m22,-72.5,0.049072266
m7->m8,-59.25,0.19042969
a1.h10->m3,-96.5,-0.055664062
m4->a8.h6<q>,2416.0,-0.035888672
m2->m9,-161.0,-0.41992188
m4->m8,-4224.0,0.033203125
m6->m9,-48.75,-0.12890625
