edge,score_1,score_2
a2.h9->m2,57.0,-0.072753906
m4->m9,77.5,0.13574219
a1.h4->m1,-87.0,0.041015625
m5->m7,38.0,0.08105469
m22->logits,2688.0,1.90625
m4->m13,56.75,-0.29882812
m4->m11,-64.5,-0.36523438
m5->m9,30.375,-0.06298828
a2.h6->m2,-58.5,0.02722168
a1.h6->m1,204.0,-0.03491211
m4->m16,-456.0,0.19042969
m4->m5,-35584.0,0.084472656
m4->m14,54.75,-0.2578125
a0.h7->m0,320.0,0.044433594
m6->m20,-26.375,0.023803711
m0->m2,298.0,0.20507812
m4->m18,-101.0,-0.123535156
m2->m3,-1744.0,-2.15625
m4->a7.h0<q>,-36.75,-0.025878906
a1.h9->m2,64.0,0.030029297
a1.h8->m2,-141.0,-0.033691406
m2->a4.h13<q>,-49.0,-0.04321289
m10->m11,-24.125,-0.15722656
m2->m4,-239.0,0.19726562
m1->m3,-201.0,0.11425781
m4->m20,-1536.0,0.30078125
a3.h10->m4,-74.0,-0.045410156
a3.h12->m4,-44.5,-0.026245117
m4->m22,1440.0,0.109375
m9->m10,34.75,0.03466797
m4->a6.h3<q>,14976.0,-0.033203125
a2.h7->m2,-94.0,0.036132812
m2->m7,310.0,0.03173828
m2->a3.h8<q>,70.0,-0.064453125
m2->a6.h3<q>,114.5,-0.060302734
a1.h10->m2,211.0,-0.023071289
a2.h7->m3,-51.0,-0.024169922
a1.h10->m1,-430.0,0.043945312
a0.h10->m0,-95.5,0.024047852
a1.h10->m3,-96.5,-0.04663086
m1->m2,-1792.0,0.07470703
m4->m8,-4224.0,0.08251953
m0->m3,-99.0,0.14746094
m2->a4.h5<q>,-46.0,0.19140625
a3.h10->m3,152.0,0.044433594
m22->m23,-1864.0,-0.43945312
m20->m21,-43.5,0.08544922
m4->a6.h13<q>,-672.0,0.025634766
m21->m22,-72.5,-0.06689453
m4->a16.h5<q>,39.0,-0.042236328
a1.h7->m1,61.0,0.18457031
m1->m5,26.75,-0.036621094
m7->m8,-59.25,-0.06933594
m2->a4.h3<q>,3456.0,0.33203125
a0.h0->m0,-145.0,0.044433594
m6->m9,-48.75,-0.029663086
m2->m9,-161.0,0.3671875
a6.h3->m7,-34.0,0.03930664
m4->a7.h11<q>,-143.0,0.033691406
a2.h12->m2,143.0,-0.033447266
a1.h10->m4,29.125,-0.039794922
m4->logits,-378.0,-0.69140625
input->m0,-1712.0,-0.16015625
m3->m4,1728.0,0.2578125
m21->logits,24.125,-0.25390625
m4->m15,-400.0,0.23046875
a1.h11->m1,576.0,0.092285156
m0->a1.h0<q>,41.0,-0.024047852
m2->m6,191.0,-0.44921875
m2->m5,-404.0,-0.30664062
m4->m6,12544.0,-0.43554688
m4->m12,-170.0,0.092285156
m5->m6,35.25,-0.03930664
m4->m21,1784.0,-0.15917969
m0->m4,128.0,-0.075683594
m4->m10,-720.0,0.5390625
a4.h3->m4,-600.0,-0.023925781
m4->m17,-182.0,0.15136719
m2->a4.h6<q>,-27.5,0.0234375
a0.h4->m0,286.0,0.041992188
a1.h13->m1,76.0,-0.034423828
m4->m19,402.0,-0.033447266
m4->a5.h13<q>,564.0,0.06738281
m7->m9,27.25,0.024658203
a1.h9->m1,216.0,0.04663086
