edge,score_1,score_2
m4->m8,-40704.0,0.24511719
m0->m1,-1720.0,0.6015625
m5->m8,174.0,-0.061767578
m2->m7,5728.0,0.087890625
a0.h6->m0,148.0,0.063964844
a0.h1->m0,-87.0,0.049804688
a1.h11->m1,340.0,-0.13671875
m1->m3,-5248.0,-0.2421875
m1->m8,-93.5,-0.14550781
m2->a3.h9<q>,-2224.0,-0.04711914
a1.h8->m2,216.0,-0.030883789
m3->m4,-5952.0,-0.13964844
m4->m6,4512.0,-0.4453125
m4->m11,1352.0,0.19042969
m0->a1.h5<q>,-97.5,0.05883789
m2->m16,-80.5,-0.071777344
m3->m8,-400.0,0.103515625
m2->m8,-2624.0,-0.23535156
a1.h13->m1,57.5,-0.033691406
m7->m8,63.25,-0.27929688
m1->a2.h11<q>,47.75,0.030029297
a2.h5->m3,-35.5,-0.059326172
m4->m17,788.0,-0.08300781
m0->m3,-220.0,-0.36914062
a1.h2->m1,83.0,0.033691406
a0.h13->m0,-209.0,-0.072265625
a0.h10->m0,182.0,-0.09423828
m4->m7,92160.0,-0.11425781
a2.h9->m2,-82.5,-0.037841797
m8->m9,-37.5,-0.23632812
m3->m5,-179.0,-0.029418945
a0.h3->m0,122.0,0.05908203
m2->m9,-350.0,0.20507812
a1.h12->m1,40.25,-0.03491211
m4->m19,-158.0,0.04321289
m6->m9,-86.0,-0.24121094
m7->m10,-57.5,-0.22167969
m4->m9,-9856.0,-0.03491211
m4->m13,-464.0,0.107421875
a4.h3->m4,234.0,0.08984375
a0.h7->m0,129.0,0.083984375
a1.h5->m2,97.5,0.100097656
m2->m3,-226304.0,0.23242188
m2->m17,58.0,0.032958984
m1->m7,132.0,0.115722656
input->m0,-544.0,-0.6796875
m22->logits,-4048.0,0.359375
a2.h7->m2,69.0,-0.06591797
m2->m14,63.25,0.053710938
m1->m2,8576.0,0.42773438
a2.h1->m2,73.0,0.052490234
m3->a4.h6<q>,-560.0,0.043945312
a3.h1->m3,-50.0,-0.03491211
m2->m4,-30592.0,-0.3046875
a1.h7->m1,126.0,-0.106933594
m22->m23,418.0,0.46679688
m2->m6,-59.75,0.08886719
m4->m5,-20352.0,0.15527344
m20->m21,41.25,-0.13671875
a2.h11->m2,36.5,0.044921875
a1.h4->m1,-124.0,-0.04711914
a1.h8->m1,-356.0,0.08642578
a3.h10->m3,43.5,-0.049316406
m2->m20,49.25,0.047851562
m2->m5,-1424.0,0.08935547
a1.h1->m1,210.0,-0.029541016
m21->m22,161.0,0.19042969
m4->m14,1232.0,-0.110839844
m5->m6,71.0,0.06738281
m4->m12,856.0,-0.31835938
