edge,score_1,score_2
a1.h7->m1,157.0,-0.061035156
m0->m3,272.0,-0.048095703
m4->m5,-3024.0,-0.28515625
m6->m12,-23.875,-0.087402344
m4->logits,-52.75,-0.07128906
input->m0,3376.0,0.29296875
m3->m5,-43.0,-0.18652344
m2->m7,276.0,-0.047607422
m4->a16.h5<q>,-59.5,-0.033691406
a2.h9->m2,-104.5,-0.061767578
m8->m9,-34.75,-0.39453125
m4->a5.h1<q>,43.75,0.034423828
m3->m7,206.0,0.1484375
m2->m6,-432.0,-0.12890625
a1.h2->m1,193.0,-0.05102539
m4->m17,422.0,0.034423828
m1->m3,816.0,0.14550781
m8->m14,27.375,0.087890625
m5->m8,-25.5,-0.24121094
m4->m11,-410.0,-0.08935547
m2->m20,25.875,0.19628906
m4->m16,-752.0,0.24511719
a1.h11->m4,30.125,-0.032226562
m4->m19,-720.0,-0.031982422
m4->a7.h6<q>,-40.25,0.036621094
m22->m23,-860.0,0.048095703
m4->m12,-1488.0,-0.03540039
m6->m8,-36.5,-0.22265625
m6->m16,-27.375,-0.03173828
m2->a4.h5<q>,92.0,0.044677734
a8.h6->m8,22.375,-0.079589844
m4->m9,-13952.0,-0.25
m5->m6,-100.5,0.26171875
a0.h7->m0,31.625,0.07519531
m13->m18,21.75,0.05493164
m4->a11.h0<q>,97.5,0.03149414
m2->a4.h3<q>,-16064.0,0.08886719
m1->m2,-1872.0,-0.053222656
m4->m8,-17152.0,0.033203125
a1.h1->m1,-92.0,0.063964844
m3->m6,-472.0,-0.15136719
m1->m4,616.0,-0.20410156
m11->m16,-29.5,0.032226562
m4->m21,-920.0,0.037597656
m2->m3,33024.0,-0.1953125
m4->m10,820.0,-0.10058594
m4->m23,46.0,0.040283203
m9->m10,-41.5,-0.19238281
m0->m1,242.0,0.046875
m21->m22,-59.5,0.049072266
m0->m2,-506.0,0.096191406
m4->m13,-247.0,0.076660156
a3.h1->m3,-35.75,-0.037353516
m3->m8,-220.0,0.046142578
a4.h2->m4,28.0,-0.041992188
a0.h8->m0,-127.5,-0.053710938
m2->m9,-148.0,-0.41992188
m7->m8,-54.0,0.19042969
m6->m9,-33.25,-0.12890625
a0.h10->m0,-292.0,0.034179688
m2->a9.h6<q>,21.0,-0.031982422
m4->m18,-188.0,-0.053222656
m4->m6,-38144.0,-0.22753906
m4->a9.h4<q>,178.0,0.0390625
m2->m4,16000.0,-0.19238281
m2->m8,-402.0,0.21386719
m6->m10,35.0,-0.15136719
a2.h13->m2,-35.0,0.032714844
a0.h9->m0,-378.0,0.040527344
m4->a8.h6<q>,5600.0,-0.035888672
input->a0.h0<q>,-34.5,0.068359375
m5->m9,-38.5,0.13671875
m3->m9,-123.5,0.087890625
a1.h10->m1,-154.0,-0.07324219
a4.h3->m4,592.0,-0.051513672
m6->m7,182.0,0.27929688
a1.h0->m1,72.0,0.057617188
a1.h5->m2,55.25,-0.033203125
m4->m7,23296.0,0.2890625
m4->m20,1440.0,0.20214844
m8->m20,-22.25,0.035888672
