edge,score
input->a0.h1<q>,-45.75
input->a0.h3<q>,-15.8125
input->a0.h4<q>,9.375
input->a0.h5<q>,13.6875
input->a0.h6<q>,10.625
input->a0.h7<q>,7.96875
input->a0.h9<q>,46.0
input->a0.h11<q>,8.8125
input->a0.h13<q>,-16.75
input->m0,-1472.0
a0.h0->m0,-160.0
a0.h1->m0,-141.0
a0.h2->m0,-70.5
a0.h3->m0,-196.0
a0.h4->m0,-77.5
a0.h5->m0,-15.5
a0.h6->m0,-62.75
a0.h7->m0,18.75
a0.h8->m0,85.0
a0.h9->m0,68.0
a0.h10->m0,55.25
a0.h11->m0,77.0
a0.h12->m0,20.625
a0.h13->m0,109.0
input->a1.h3<q>,-14.375
input->a1.h11<q>,-10.8125
m0->a1.h0<q>,13.4375
m0->a1.h1<q>,-60.25
m0->a1.h2<q>,11.5
m0->a1.h3<q>,207.0
m0->a1.h4<q>,124.0
m0->a1.h5<q>,-11.0625
m0->a1.h6<q>,306.0
m0->a1.h7<q>,-14.5625
m0->a1.h8<q>,-46.5
m0->a1.h9<q>,520.0
m0->a1.h10<q>,-27.25
m0->a1.h11<q>,-55.0
m0->a1.h12<q>,106.0
m0->a1.h13<q>,69.0
input->m1,38.0
m0->m1,-1536.0
a1.h0->m1,-84.0
a1.h1->m1,-31.375
a1.h2->m1,-38.5
a1.h3->m1,-34.5
a1.h4->m1,8.25
a1.h5->m1,-180.0
a1.h7->m1,57.5
a1.h8->m1,94.0
a1.h9->m1,39.0
a1.h10->m1,-32.5
a1.h11->m1,86.0
a1.h12->m1,-20.25
a1.h13->m1,-11.9375
input->a2.h2<q>,8.375
m0->a2.h1<q>,-10.25
m0->a2.h3<q>,14.1875
m0->a2.h6<q>,12.8125
m0->a2.h7<q>,7.625
m0->a2.h11<q>,7.25
m0->a2.h12<q>,-10.25
m0->a2.h13<q>,29.25
a1.h0->a2.h2<q>,10.8125
a1.h0->a2.h7<q>,-10.875
a1.h0->a2.h13<q>,-16.625
a1.h1->a2.h6<q>,-7.84375
a1.h1->a2.h7<q>,-16.125
a1.h1->a2.h13<q>,-18.875
a1.h2->a2.h13<q>,-8.25
a1.h3->a2.h2<q>,-8.0625
a1.h3->a2.h5<q>,-10.5
a1.h3->a2.h13<q>,7.28125
a1.h5->a2.h2<q>,10.5
a1.h5->a2.h7<q>,-10.625
a1.h5->a2.h11<q>,-7.6875
a1.h5->a2.h13<q>,-16.25
a1.h8->a2.h0<q>,-8.625
a1.h8->a2.h1<q>,-15.25
a1.h8->a2.h2<q>,6.90625
a1.h9->a2.h1<q>,13.4375
a1.h9->a2.h2<q>,-7.40625
a1.h9->a2.h6<q>,-9.125
a1.h9->a2.h13<q>,-10.1875
a1.h11->a2.h0<q>,-7.0
a1.h11->a2.h1<q>,-8.1875
a1.h11->a2.h2<q>,13.5
a1.h11->a2.h3<q>,8.75
