edge,score
input->a0.h1<q>,54.75
input->m0,-394.0
a0.h0->m0,33.0
a0.h1->m0,24.75
a0.h2->m0,28.5
a0.h5->m0,109.0
a0.h6->m0,31.5
a0.h9->m0,-49.25
a0.h13->m0,57.25
m0->a1.h0<q>,121.0
m0->a1.h2<q>,276.0
m0->a1.h5<q>,-96.0
m0->a1.h6<q>,816.0
m0->a1.h7<q>,63.0
m0->a1.h8<q>,134.0
m0->a1.h10<q>,91.5
m0->a1.h11<q>,129.0
m0->a1.h12<q>,169.0
m0->a1.h13<q>,80.5
m0->m1,-1088.0
a1.h0->m1,-32.25
a1.h1->m1,-246.0
a1.h2->m1,-108.0
a1.h3->m1,-211.0
a1.h4->m1,-189.0
a1.h5->m1,-151.0
a1.h6->m1,-55.25
a1.h7->m1,87.0
a1.h8->m1,-304.0
a1.h9->m1,-27.0
a1.h10->m1,173.0
a1.h11->m1,-268.0
a1.h13->m1,51.75
m0->a2.h3<q>,-99.0
m0->a2.h4<q>,27.0
m0->a2.h5<q>,-32.5
m0->a2.h8<q>,31.625
m0->a2.h9<q>,49.5
m0->a2.h10<q>,-41.25
a1.h1->a2.h1<q>,51.25
a1.h1->a2.h10<q>,27.25
a1.h3->a2.h3<q>,-24.125
a1.h3->a2.h5<q>,-39.25
a1.h4->a2.h1<q>,-24.0
a1.h4->a2.h5<q>,-26.125
a1.h5->a2.h3<q>,-53.75
a1.h7->a2.h1<q>,28.75
a1.h7->a2.h4<q>,62.0
a1.h7->a2.h8<q>,27.25
a1.h7->a2.h10<q>,-50.0
a1.h8->a2.h1<q>,110.0
a1.h8->a2.h3<q>,-38.75
a1.h8->a2.h4<q>,34.25
a1.h8->a2.h7<q>,-35.75
a1.h8->a2.h10<q>,34.5
a1.h8->a2.h12<q>,29.5
a1.h9->a2.h4<q>,26.5
a1.h10->a2.h1<q>,37.5
a1.h11->a2.h1<q>,159.0
a1.h11->a2.h4<q>,29.125
a1.h11->a2.h9<q>,-45.75
a1.h11->a2.h10<q>,62.75
a1.h11->a2.h12<q>,41.0
a1.h12->a2.h1<q>,25.125
a1.h13->a2.h3<q>,-25.875
m1->a2.h0<q>,84.5
m1->a2.h1<q>,-75.5
m1->a2.h2<q>,-67.5
m1->a2.h3<q>,52.5
m1->a2.h5<q>,-105.0
m1->a2.h8<q>,106.0
