edge,score
input->a0.h1<q>,122.0
input->a0.h2<q>,-33.0
input->a0.h4<q>,35.5
input->a0.h9<q>,50.0
input->m0,-1344.0
a0.h0->m0,-49.0
a0.h2->m0,-83.0
a0.h5->m0,-71.5
a0.h6->m0,-48.0
a0.h7->m0,74.0
a0.h8->m0,-106.0
a0.h9->m0,-105.0
a0.h10->m0,-122.0
a0.h11->m0,-94.5
a0.h13->m0,-229.0
input->a1.h4<q>,91.5
input->a1.h8<q>,102.0
input->a1.h9<q>,50.0
input->a1.h12<q>,31.375
m0->a1.h0<q>,-628.0
m0->a1.h2<q>,-408.0
m0->a1.h3<q>,131.0
m0->a1.h4<q>,-1688.0
m0->a1.h5<q>,-138.0
m0->a1.h6<q>,-1536.0
m0->a1.h7<q>,-52.75
m0->a1.h8<q>,-4512.0
m0->a1.h9<q>,-2352.0
m0->a1.h10<q>,125.0
m0->a1.h11<q>,-320.0
m0->a1.h12<q>,-4000.0
m0->a1.h13<q>,-135.0
input->m1,-59.5
m0->m1,1528.0
a1.h1->m1,67.0
a1.h2->m1,96.5
a1.h3->m1,-71.5
a1.h4->m1,-32.0
a1.h5->m1,227.0
a1.h7->m1,140.0
a1.h8->m1,-89.0
a1.h9->m1,48.75
a1.h10->m1,-58.25
a1.h11->m1,272.0
a1.h13->m1,-344.0
m0->a2.h1<q>,-72.5
m0->a2.h2<q>,82.5
m0->a2.h3<q>,46.0
m0->a2.h4<q>,76.0
m0->a2.h5<q>,-31.875
m0->a2.h9<q>,-44.5
m0->a2.h12<q>,53.0
a1.h0->a2.h3<q>,-41.25
a1.h1->a2.h2<q>,-45.0
a1.h1->a2.h3<q>,-31.0
a1.h3->a2.h3<q>,41.25
a1.h5->a2.h3<q>,39.25
a1.h6->a2.h2<q>,-30.375
a1.h8->a2.h0<q>,-33.5
a1.h8->a2.h1<q>,61.5
a1.h8->a2.h2<q>,-35.5
a1.h9->a2.h0<q>,37.5
a1.h9->a2.h3<q>,34.25
a1.h9->a2.h4<q>,48.0
a1.h11->a2.h2<q>,-45.5
a1.h11->a2.h4<q>,57.0
a1.h12->a2.h0<q>,52.25
a1.h12->a2.h1<q>,-30.25
a1.h12->a2.h4<q>,30.5
m1->a2.h0<q>,49.5
m1->a2.h1<q>,-136.0
m1->a2.h2<q>,-121.0
m1->a2.h4<q>,-164.0
m1->a2.h5<q>,150.0
m1->a2.h6<q>,56.75
m1->a2.h7<q>,-58.25
m1->a2.h8<q>,50.0
m1->a2.h9<q>,157.0
m1->a2.h10<q>,-90.0
m1->a2.h12<q>,-134.0
m1->a2.h13<q>,39.25
m0->m2,237.0
a1.h0->m2,65.5
a1.h1->m2,150.0
a1.h2->m2,30.75
a1.h3->m2,-183.0
a1.h4->m2,-67.0
a1.h6->m2,122.0
a1.h9->m2,-34.0
a1.h10->m2,149.0
a1.h13->m2,73.5
m1->m2,3712.0
a2.h2->m2,38.0
a2.h3->m2,-75.0
a2.h5->m2,59.0
a2.h7->m2,41.25
a2.h8->m2,-59.75
a2.h9->m2,-91.5
a2.h10->m2,35.25
a2.h11->m2,46.5
a2.h12->m2,52.75
a2.h13->m2,82.0
m1->a3.h0<q>,41.0
m1->a3.h3<q>,41.25
m1->a3.h7<q>,44.5
m1->a3.h9<q>,-79.0
a2.h4->a3.h12<q>,-44.75
m2->a3.h0<q>,-192.0
m2->a3.h3<q>,61.5
m2->a3.h4<q>,85.0
m2->a3.h5<q>,-211.0
m2->a3.h6<q>,-43.75
m2->a3.h7<q>,1728.0
