edge,score
input->a0.h1<q>,152.0
input->a0.h4<q>,-110.0
input->a0.h9<q>,-154.0
input->a0.h12<q>,128.0
input->m0,1984.0
a0.h0->m0,378.0
a0.h1->m0,264.0
a0.h2->m0,193.0
a0.h3->m0,418.0
a0.h4->m0,174.0
a0.h5->m0,121.0
a0.h6->m0,130.0
a0.h7->m0,220.0
a0.h8->m0,-82.0
a0.h9->m0,-87.0
a0.h10->m0,-184.0
a0.h11->m0,-156.0
a0.h12->m0,193.0
a0.h13->m0,-456.0
input->a1.h4<q>,169.0
input->a1.h6<q>,-125.0
input->a1.h8<q>,318.0
m0->a1.h0<q>,5952.0
m0->a1.h2<q>,-266.0
m0->a1.h3<q>,346.0
m0->a1.h4<q>,3312.0
m0->a1.h5<q>,-160.0
m0->a1.h6<q>,2288.0
m0->a1.h7<q>,836.0
m0->a1.h8<q>,13696.0
m0->a1.h9<q>,1384.0
m0->a1.h10<q>,-81.5
m0->a1.h11<q>,4704.0
m0->a1.h12<q>,-346.0
m0->a1.h13<q>,159.0
input->m1,-258.0
m0->m1,-92.0
a1.h0->m1,656.0
a1.h1->m1,708.0
a1.h2->m1,872.0
a1.h3->m1,780.0
a1.h4->m1,808.0
a1.h5->m1,1088.0
a1.h6->m1,1004.0
a1.h7->m1,-516.0
a1.h8->m1,-86.0
a1.h9->m1,-588.0
a1.h10->m1,-264.0
a1.h11->m1,-892.0
a1.h12->m1,-524.0
a1.h13->m1,-384.0
m0->a2.h0<q>,255.0
m0->a2.h2<q>,87.0
m0->a2.h4<q>,96.0
m0->a2.h5<q>,430.0
a1.h1->a2.h4<q>,-82.5
a1.h1->a2.h5<q>,70.5
a1.h1->a2.h6<q>,-89.0
a1.h3->a2.h1<q>,169.0
a1.h4->a2.h1<q>,174.0
a1.h4->a2.h4<q>,70.5
a1.h5->a2.h4<q>,-129.0
a1.h5->a2.h5<q>,127.5
a1.h5->a2.h6<q>,-73.5
a1.h6->a2.h4<q>,-76.0
a1.h7->a2.h0<q>,-73.5
a1.h7->a2.h3<q>,75.5
a1.h7->a2.h5<q>,152.0
a1.h8->a2.h1<q>,-86.5
a1.h8->a2.h2<q>,106.0
a1.h8->a2.h4<q>,-228.0
a1.h8->a2.h5<q>,-97.5
a1.h8->a2.h10<q>,68.0
a1.h9->a2.h1<q>,-94.0
a1.h9->a2.h5<q>,144.0
a1.h10->a2.h0<q>,-118.0
a1.h10->a2.h1<q>,-100.0
a1.h10->a2.h4<q>,-144.0
a1.h11->a2.h0<q>,-76.0
a1.h11->a2.h3<q>,108.0
a1.h11->a2.h5<q>,286.0
a1.h11->a2.h13<q>,-84.5
a1.h12->a2.h1<q>,-82.5
a1.h12->a2.h3<q>,75.0
a1.h12->a2.h5<q>,173.0
a1.h13->a2.h1<q>,-133.0
a1.h13->a2.h4<q>,-179.0
a1.h13->a2.h5<q>,-126.5
m1->a2.h0<q>,99.0
m1->a2.h1<q>,-502.0
m1->a2.h2<q>,428.0
m1->a2.h4<q>,74.0
m1->a2.h5<q>,-520.0
m1->a2.h6<q>,156.0
m1->a2.h7<q>,131.0
m1->a2.h8<q>,112.5
m1->a2.h9<q>,70.0
m1->a2.h11<q>,-180.0
m1->a2.h13<q>,97.5
input->m2,138.0
m0->m2,-648.0
a1.h0->m2,292.0
a1.h2->m2,174.0
a1.h3->m2,-220.0
a1.h4->m2,-187.0
a1.h5->m2,-209.0
a1.h6->m2,241.0
a1.h8->m2,-212.0
a1.h9->m2,-132.0
a1.h10->m2,-177.0
a1.h11->m2,-122.0
a1.h12->m2,-112.5
m1->m2,23936.0
a2.h3->m2,109.5
a2.h5->m2,195.0
a2.h7->m2,-95.5
a2.h8->m2,-82.0
a2.h9->m2,156.0
a2.h12->m2,-115.0
m1->a3.h5<q>,-290.0
m1->a3.h8<q>,70.5
m1->a3.h9<q>,-344.0
m1->a3.h10<q>,374.0
m1->a3.h12<q>,107.0
m2->a3.h1<q>,264.0
m2->a3.h2<q>,-296.0
m2->a3.h3<q>,-376.0
m2->a3.h5<q>,1080.0
m2->a3.h6<q>,-91.5
m2->a3.h7<q>,358.0
m2->a3.h8<q>,162.0
m2->a3.h9<q>,1048.0
m2->a3.h10<q>,1296.0
m2->a3.h11<q>,86.0
m2->a3.h12<q>,-892.0
m2->a3.h13<q>,-422.0
input->m3,-124.0
m0->m3,1232.0
a1.h1->m3,-107.0
a1.h2->m3,103.5
a1.h3->m3,-112.5
a1.h7->m3,-132.0
a1.h13->m3,-89.0
m1->m3,-19840.0
a2.h1->m3,114.0
a2.h3->m3,128.0
a2.h4->m3,70.0
a2.h5->m3,119.0
a2.h6->m3,126.0
a2.h7->m3,94.0
a2.h9->m3,137.0
a2.h10->m3,135.0
a2.h11->m3,160.0
m2->m3,86528.0
a3.h1->m3,123.5
a3.h10->m3,-96.5
m1->a4.h0<q>,-76.0
m1->a4.h3<q>,104.5
m1->a4.h5<q>,-154.0
m1->a4.h8<q>,206.0
m1->a4.h10<q>,138.0
m1->a4.h13<q>,182.0
m2->a4.h0<q>,107.5
m2->a4.h1<q>,132.0
m2->a4.h2<q>,-84.5
m2->a4.h3<q>,129.0
m2->a4.h5<q>,438.0
m2->a4.h6<q>,97.5
m2->a4.h7<q>,85.0
m2->a4.h8<q>,274.0
m2->a4.h11<q>,81.5
m2->a4.h12<q>,-384.0
m2->a4.h13<q>,-246.0
m3->a4.h10<q>,-71.0
m3->a4.h12<q>,-68.5
m3->a4.h13<q>,-76.0
m0->m4,-648.0
a1.h7->m4,76.5
m1->m4,10624.0
a2.h0->m4,168.0
a2.h1->m4,168.0
a2.h2->m4,136.0
a2.h4->m4,151.0
a2.h5->m4,140.0
a2.h6->m4,183.0
m2->m4,-47616.0
m3->m4,-4864.0
a4.h0->m4,112.5
a4.h2->m4,75.0
a4.h4->m4,89.0
a4.h5->m4,89.0
m2->a5.h3<q>,106.0
m2->a5.h5<q>,-198.0
m2->a5.h13<q>,-123.5
m4->a5.h2<q>,-548.0
m4->a5.h3<q>,3632.0
m4->a5.h4<q>,-145.0
m4->a5.h5<q>,-2928.0
m4->a5.h7<q>,107.0
m4->a5.h8<q>,262.0
m4->a5.h9<q>,-86.5
m4->a5.h10<q>,-386.0
m4->a5.h11<q>,-121.5
m4->a5.h12<q>,378.0
m4->a5.h13<q>,-5248.0
m1->m5,350.0
m2->m5,-1416.0
m3->m5,-412.0
a4.h0->m5,105.0
a4.h1->m5,169.0
a4.h2->m5,187.0
a4.h3->m5,143.0
a4.h4->m5,145.0
a4.h5->m5,161.0
a4.h6->m5,161.0
a4.h7->m5,-69.5
a4.h8->m5,-76.0
a4.h9->m5,-79.5
a4.h10->m5,-77.0
a4.h11->m5,-91.0
m4->m5,-57600.0
m1->a6.h0<q>,-68.0
m2->a6.h0<q>,856.0
m2->a6.h1<q>,-164.0
m2->a6.h4<q>,84.0
m2->a6.h9<q>,-218.0
m4->a6.h0<q>,12800.0
m4->a6.h1<q>,-2000.0
m4->a6.h2<q>,-218.0
m4->a6.h3<q>,386.0
m4->a6.h4<q>,1632.0
m4->a6.h5<q>,-1088.0
m4->a6.h6<q>,140.0
m4->a6.h7<q>,1536.0
m4->a6.h9<q>,-4576.0
m4->a6.h10<q>,-748.0
m4->a6.h11<q>,-253.0
m4->a6.h12<q>,-94.5
m4->a6.h13<q>,-3792.0
m5->a6.h0<q>,-69.5
m5->a6.h13<q>,119.5
m1->m6,330.0
a2.h0->m6,-100.5
a2.h1->m6,-105.0
a2.h2->m6,-93.0
a2.h4->m6,-108.0
a2.h5->m6,-101.0
a2.h6->m6,-110.5
m2->m6,-1004.0
a4.h0->m6,-84.5
a4.h2->m6,-74.0
a4.h5->m6,-72.5
a4.h6->m6,-78.5
m4->m6,2112.0
m5->m6,432.0
a6.h0->m6,-70.0
a6.h1->m6,-216.0
a6.h2->m6,-232.0
a6.h3->m6,-237.0
a6.h4->m6,-237.0
a6.h5->m6,-105.0
m4->a7.h0<q>,2624.0
m4->a7.h6<q>,-161.0
m4->a7.h8<q>,-330.0
m4->a7.h9<q>,-2064.0
m4->a7.h11<q>,147.0
m4->a7.h12<q>,-1456.0
m4->a7.h13<q>,-1528.0
m5->a7.h0<q>,-236.0
m5->a7.h9<q>,89.5
m6->a7.h0<q>,-592.0
m6->a7.h8<q>,-70.0
m6->a7.h9<q>,193.0
