edge,score
input->a0.h1<q>,-20.25
input->a0.h3<q>,16.125
input->a0.h5<q>,-20.5
input->a0.h9<q>,-16.25
input->a0.h10<q>,15.0625
input->a0.h11<q>,-32.0
input->a0.h13<q>,-43.5
input->m0,-788.0
a0.h0->m0,-20.375
a0.h2->m0,-30.375
a0.h3->m0,-24.625
a0.h4->m0,-10.9375
a0.h5->m0,-29.5
a0.h6->m0,-16.375
a0.h7->m0,-50.5
a0.h8->m0,24.625
a0.h12->m0,35.0
a0.h13->m0,40.5
input->a1.h3<q>,-35.25
input->a1.h8<q>,15.6875
input->a1.h9<q>,15.1875
input->a1.h10<q>,17.625
input->a1.h11<q>,-42.25
input->a1.h12<q>,22.875
m0->a1.h0<q>,44.75
m0->a1.h1<q>,-20.375
m0->a1.h2<q>,-70.0
m0->a1.h3<q>,98.0
m0->a1.h4<q>,-36.0
m0->a1.h5<q>,-19.75
m0->a1.h6<q>,-26.375
m0->a1.h7<q>,61.75
m0->a1.h8<q>,99.0
m0->a1.h9<q>,-86.0
m0->a1.h10<q>,152.0
m0->a1.h11<q>,-48.75
m0->a1.h13<q>,11.75
input->m1,71.5
m0->m1,1352.0
a1.h0->m1,121.0
a1.h1->m1,-28.75
a1.h2->m1,51.25
a1.h3->m1,94.0
a1.h5->m1,154.0
a1.h6->m1,-19.25
a1.h7->m1,11.4375
a1.h8->m1,-36.5
a1.h9->m1,22.375
a1.h10->m1,-154.0
a1.h11->m1,-34.0
a1.h12->m1,-20.625
input->a2.h0<q>,12.9375
input->a2.h10<q>,-11.4375
m0->a2.h0<q>,91.5
m0->a2.h1<q>,-84.5
m0->a2.h2<q>,-17.75
m0->a2.h3<q>,33.25
m0->a2.h4<q>,28.5
m0->a2.h5<q>,19.125
m0->a2.h7<q>,18.25
m0->a2.h8<q>,-11.125
m0->a2.h10<q>,-33.5
m0->a2.h12<q>,-12.0625
a1.h0->a2.h1<q>,-61.5
a1.h1->a2.h0<q>,17.625
a1.h1->a2.h1<q>,-54.0
a1.h1->a2.h2<q>,12.25
a1.h1->a2.h3<q>,-21.0
a1.h1->a2.h6<q>,-16.25
a1.h1->a2.h9<q>,13.8125
a1.h2->a2.h0<q>,15.1875
a1.h2->a2.h1<q>,-37.5
a1.h2->a2.h8<q>,12.9375
a1.h3->a2.h3<q>,-16.375
a1.h3->a2.h10<q>,16.375
a1.h4->a2.h1<q>,17.0
a1.h4->a2.h3<q>,-11.375
a1.h4->a2.h10<q>,13.375
a1.h5->a2.h0<q>,23.625
a1.h5->a2.h1<q>,-37.75
a1.h5->a2.h4<q>,14.5625
a1.h5->a2.h5<q>,-16.375
a1.h5->a2.h8<q>,12.875
a1.h5->a2.h10<q>,11.8125
a1.h5->a2.h12<q>,-19.125
a1.h6->a2.h1<q>,-21.25
a1.h7->a2.h0<q>,-76.0
a1.h7->a2.h1<q>,-44.5
a1.h7->a2.h10<q>,36.5
a1.h8->a2.h0<q>,-38.25
a1.h8->a2.h1<q>,11.625
a1.h8->a2.h3<q>,13.1875
a1.h8->a2.h4<q>,-11.25
a1.h8->a2.h8<q>,23.5
a1.h9->a2.h0<q>,-40.0
a1.h9->a2.h1<q>,-29.125
a1.h9->a2.h4<q>,21.625
a1.h9->a2.h5<q>,11.625
a1.h9->a2.h6<q>,-18.25
a1.h9->a2.h12<q>,-10.9375
a1.h10->a2.h1<q>,-54.0
a1.h10->a2.h2<q>,-17.875
a1.h10->a2.h4<q>,14.625
a1.h10->a2.h5<q>,-13.9375
a1.h10->a2.h6<q>,13.5
a1.h10->a2.h7<q>,22.375
a1.h10->a2.h8<q>,-15.25
a1.h10->a2.h10<q>,14.875
a1.h11->a2.h0<q>,-75.0
a1.h11->a2.h1<q>,41.0
a1.h11->a2.h2<q>,-16.375
a1.h11->a2.h3<q>,46.75
a1.h11->a2.h6<q>,26.875
a1.h11->a2.h7<q>,11.125
a1.h11->a2.h8<q>,34.0
a1.h11->a2.h12<q>,-29.75
a1.h11->a2.h13<q>,-10.625
a1.h12->a2.h1<q>,-23.375
a1.h12->a2.h3<q>,10.8125
a1.h12->a2.h4<q>,19.25
a1.h12->a2.h7<q>,13.6875
a1.h12->a2.h8<q>,-12.0625
a1.h12->a2.h10<q>,-16.375
a1.h13->a2.h0<q>,-22.375
a1.h13->a2.h1<q>,11.375
a1.h13->a2.h4<q>,-12.0
a1.h13->a2.h5<q>,30.375
a1.h13->a2.h6<q>,20.0
a1.h13->a2.h13<q>,13.6875
m1->a2.h0<q>,61.5
m1->a2.h1<q>,-149.0
m1->a2.h2<q>,-17.0
m1->a2.h4<q>,-16.0
m1->a2.h5<q>,96.0
m1->a2.h7<q>,35.0
m1->a2.h8<q>,75.0
m1->a2.h10<q>,-35.5
m1->a2.h11<q>,-55.75
m1->a2.h12<q>,-63.75
m1->a2.h13<q>,-12.75
input->m2,-43.5
a1.h0->m2,81.5
a1.h1->m2,94.0
a1.h2->m2,51.25
a1.h3->m2,93.5
a1.h4->m2,11.75
a1.h5->m2,49.0
a1.h6->m2,26.5
a1.h8->m2,20.625
a1.h10->m2,-22.5
a1.h11->m2,-24.0
a1.h12->m2,-34.75
a1.h13->m2,35.0
m1->m2,-504.0
a2.h0->m2,-106.0
a2.h1->m2,-119.5
a2.h2->m2,-63.25
a2.h3->m2,-189.0
a2.h4->m2,44.5
a2.h5->m2,-27.25
a2.h6->m2,-93.5
a2.h7->m2,-24.625
a2.h8->m2,78.5
a2.h11->m2,44.25
a2.h12->m2,37.25
a2.h13->m2,39.25
m0->a3.h9<q>,11.25
a1.h9->a3.h9<q>,11.8125
a2.h4->a3.h9<q>,-14.0625
m2->a3.h1<q>,37.25
m2->a3.h3<q>,-18.375
m2->a3.h5<q>,-25.125
m2->a3.h7<q>,18.5
m2->a3.h8<q>,-33.5
m2->a3.h9<q>,89.0
m2->a3.h13<q>,-21.875
input->m3,13.6875
m0->m3,32.25
a1.h0->m3,17.75
a1.h1->m3,26.875
a1.h2->m3,14.8125
a1.h3->m3,-19.0
a1.h6->m3,12.8125
m1->m3,12.375
a2.h3->m3,21.875
a2.h5->m3,35.5
a2.h7->m3,-18.25
a2.h8->m3,16.875
a2.h10->m3,-19.5
a2.h13->m3,-30.125
m2->m3,-3904.0
a3.h0->m3,46.0
a3.h1->m3,42.25
a3.h2->m3,21.625
a3.h3->m3,39.25
a3.h5->m3,45.75
a3.h6->m3,29.125
a3.h9->m3,-26.125
a3.h11->m3,16.0
m0->a4.h3<q>,-22.75
a1.h10->a4.h3<q>,10.875
m1->a4.h0<q>,10.625
m1->a4.h2<q>,-17.25
m1->a4.h3<q>,-40.25
m1->a4.h5<q>,-12.25
