Model_Arch,Source_Task,coqa,kde4,squad,sst2,tatoeba,yelp
gpt2,coqa,,190.0,343.0,342.0,188.0,221.0
gpt2,kde4,216.0,,213.0,172.0,202.0,202.0
gpt2,squad,340.0,188.0,,322.0,199.0,219.0
gpt2,sst2,301.0,183.0,306.0,,211.0,203.0
gpt2,tatoeba,252.0,220.0,240.0,210.0,,209.0
gpt2,yelp,240.0,225.0,223.0,225.0,213.0,
llama2,coqa,,147.0,147.0,131.0,282.0,184.0
llama2,kde4,181.0,,154.0,126.0,269.0,176.0
llama2,squad,185.0,163.0,,134.0,301.0,189.0
llama2,sst2,144.0,127.0,155.0,,197.0,183.0
llama2,tatoeba,182.0,172.0,155.0,139.0,,190.0
llama2,yelp,146.0,139.0,156.0,126.0,200.0,
llama3.2,coqa,,127.0,42.0,113.0,81.0,102.0
llama3.2,kde4,144.0,,28.0,118.0,83.0,104.0
llama3.2,squad,43.0,35.0,,25.0,26.0,48.0
llama3.2,sst2,136.0,120.0,33.0,,86.0,129.0
llama3.2,tatoeba,128.0,131.0,39.0,118.0,,106.0
llama3.2,yelp,57.0,90.0,103.0,99.0,65.0,
qwen2,coqa,,267.0,241.0,218.0,274.0,243.0
qwen2,kde4,204.0,,236.0,226.0,276.0,229.0
qwen2,squad,205.0,276.0,,229.0,269.0,231.0
qwen2,sst2,218.0,225.0,225.0,,223.0,171.0
qwen2,tatoeba,232.0,225.0,234.0,218.0,,226.0
qwen2,yelp,217.0,247.0,208.0,235.0,223.0,
