Model_Arch,Source_Task,coqa,kde4,squad,sst2,tatoeba,yelp
gpt2,coqa,,47.5,85.75,85.5,47.0,55.25
gpt2,kde4,54.0,,53.25,43.0,50.5,50.5
gpt2,squad,85.0,47.0,,80.5,49.75,54.75
gpt2,sst2,75.25,45.75,76.5,,52.75,50.74999999999999
gpt2,tatoeba,63.0,55.00000000000001,60.0,52.5,,52.25
gpt2,yelp,60.0,56.25,55.75,56.25,53.25,
llama2,coqa,,36.75,36.75,32.75,70.5,46.0
llama2,kde4,45.25,,38.5,31.5,67.25,44.0
llama2,squad,46.25,40.75,,33.5,75.25,47.25
llama2,sst2,36.0,31.75,38.75,,49.25,45.75
llama2,tatoeba,45.5,43.0,38.75,34.75,,47.5
llama2,yelp,36.5,34.75,39.0,31.5,50.0,
llama3.2,coqa,,31.75,10.5,28.249999999999996,20.25,25.5
llama3.2,kde4,36.0,,7.000000000000001,29.5,20.75,26.0
llama3.2,squad,10.75,8.75,,6.25,6.5,12.0
llama3.2,sst2,34.0,30.0,8.25,,21.5,32.25
llama3.2,tatoeba,32.0,32.75,9.75,29.5,,26.5
llama3.2,yelp,14.249999999999998,22.5,25.75,24.75,16.25,
qwen2,coqa,,66.75,60.25,54.50000000000001,68.5,60.75000000000001
qwen2,kde4,51.0,,59.0,56.49999999999999,69.0,57.25
qwen2,squad,51.24999999999999,69.0,,57.25,67.25,57.75
qwen2,sst2,54.50000000000001,56.25,56.25,,55.75,42.75
qwen2,tatoeba,57.99999999999999,56.25,58.5,54.50000000000001,,56.49999999999999
qwen2,yelp,54.25,61.75000000000001,52.0,58.75,55.75,
