Model_Arch,Type,Source_Task,Target_Task,Count
gpt2,T2_SourceFT_TargetPT,coqa,kde4,119
gpt2,T2_SourceFT_TargetPT,coqa,squad,102
gpt2,T2_SourceFT_TargetPT,coqa,sst2,106
gpt2,T2_SourceFT_TargetPT,coqa,tatoeba,122
gpt2,T2_SourceFT_TargetPT,coqa,yelp,104
gpt2,T2_SourceFT_TargetPT,kde4,coqa,135
gpt2,T2_SourceFT_TargetPT,kde4,squad,130
gpt2,T2_SourceFT_TargetPT,kde4,sst2,105
gpt2,T2_SourceFT_TargetPT,kde4,tatoeba,125
gpt2,T2_SourceFT_TargetPT,kde4,yelp,114
gpt2,T2_SourceFT_TargetPT,squad,coqa,110
gpt2,T2_SourceFT_TargetPT,squad,kde4,121
gpt2,T2_SourceFT_TargetPT,squad,sst2,105
gpt2,T2_SourceFT_TargetPT,squad,tatoeba,121
gpt2,T2_SourceFT_TargetPT,squad,yelp,105
gpt2,T2_SourceFT_TargetPT,sst2,coqa,127
gpt2,T2_SourceFT_TargetPT,sst2,kde4,119
gpt2,T2_SourceFT_TargetPT,sst2,squad,122
gpt2,T2_SourceFT_TargetPT,sst2,tatoeba,110
gpt2,T2_SourceFT_TargetPT,sst2,yelp,95
gpt2,T2_SourceFT_TargetPT,tatoeba,coqa,141
gpt2,T2_SourceFT_TargetPT,tatoeba,kde4,120
gpt2,T2_SourceFT_TargetPT,tatoeba,squad,129
gpt2,T2_SourceFT_TargetPT,tatoeba,sst2,117
gpt2,T2_SourceFT_TargetPT,tatoeba,yelp,111
gpt2,T2_SourceFT_TargetPT,yelp,coqa,134
gpt2,T2_SourceFT_TargetPT,yelp,kde4,116
gpt2,T2_SourceFT_TargetPT,yelp,squad,117
gpt2,T2_SourceFT_TargetPT,yelp,sst2,110
gpt2,T2_SourceFT_TargetPT,yelp,tatoeba,119
llama2,T2_SourceFT_TargetPT,coqa,kde4,47
llama2,T2_SourceFT_TargetPT,coqa,squad,160
llama2,T2_SourceFT_TargetPT,coqa,sst2,19
llama2,T2_SourceFT_TargetPT,coqa,tatoeba,42
llama2,T2_SourceFT_TargetPT,coqa,yelp,167
llama2,T2_SourceFT_TargetPT,kde4,coqa,88
llama2,T2_SourceFT_TargetPT,kde4,squad,83
llama2,T2_SourceFT_TargetPT,kde4,sst2,87
llama2,T2_SourceFT_TargetPT,kde4,tatoeba,187
llama2,T2_SourceFT_TargetPT,kde4,yelp,95
llama2,T2_SourceFT_TargetPT,squad,coqa,144
llama2,T2_SourceFT_TargetPT,squad,kde4,102
llama2,T2_SourceFT_TargetPT,squad,sst2,90
llama2,T2_SourceFT_TargetPT,squad,tatoeba,61
llama2,T2_SourceFT_TargetPT,squad,yelp,153
llama2,T2_SourceFT_TargetPT,sst2,coqa,82
llama2,T2_SourceFT_TargetPT,sst2,kde4,88
llama2,T2_SourceFT_TargetPT,sst2,squad,31
llama2,T2_SourceFT_TargetPT,sst2,tatoeba,51
llama2,T2_SourceFT_TargetPT,sst2,yelp,23
llama2,T2_SourceFT_TargetPT,tatoeba,coqa,43
llama2,T2_SourceFT_TargetPT,tatoeba,kde4,166
llama2,T2_SourceFT_TargetPT,tatoeba,squad,54
llama2,T2_SourceFT_TargetPT,tatoeba,sst2,56
llama2,T2_SourceFT_TargetPT,tatoeba,yelp,74
llama2,T2_SourceFT_TargetPT,yelp,coqa,139
llama2,T2_SourceFT_TargetPT,yelp,kde4,130
llama2,T2_SourceFT_TargetPT,yelp,squad,181
llama2,T2_SourceFT_TargetPT,yelp,sst2,75
llama2,T2_SourceFT_TargetPT,yelp,tatoeba,112
llama3.2,T2_SourceFT_TargetPT,coqa,kde4,77
llama3.2,T2_SourceFT_TargetPT,coqa,squad,65
llama3.2,T2_SourceFT_TargetPT,coqa,sst2,65
llama3.2,T2_SourceFT_TargetPT,coqa,tatoeba,69
llama3.2,T2_SourceFT_TargetPT,coqa,yelp,57
llama3.2,T2_SourceFT_TargetPT,kde4,coqa,85
llama3.2,T2_SourceFT_TargetPT,kde4,squad,80
llama3.2,T2_SourceFT_TargetPT,kde4,sst2,68
llama3.2,T2_SourceFT_TargetPT,kde4,tatoeba,87
llama3.2,T2_SourceFT_TargetPT,kde4,yelp,70
llama3.2,T2_SourceFT_TargetPT,squad,coqa,50
llama3.2,T2_SourceFT_TargetPT,squad,kde4,72
llama3.2,T2_SourceFT_TargetPT,squad,sst2,62
llama3.2,T2_SourceFT_TargetPT,squad,tatoeba,48
llama3.2,T2_SourceFT_TargetPT,squad,yelp,40
llama3.2,T2_SourceFT_TargetPT,sst2,coqa,60
llama3.2,T2_SourceFT_TargetPT,sst2,kde4,75
llama3.2,T2_SourceFT_TargetPT,sst2,squad,65
llama3.2,T2_SourceFT_TargetPT,sst2,tatoeba,58
llama3.2,T2_SourceFT_TargetPT,sst2,yelp,70
llama3.2,T2_SourceFT_TargetPT,tatoeba,coqa,65
llama3.2,T2_SourceFT_TargetPT,tatoeba,kde4,67
llama3.2,T2_SourceFT_TargetPT,tatoeba,squad,67
llama3.2,T2_SourceFT_TargetPT,tatoeba,sst2,50
llama3.2,T2_SourceFT_TargetPT,tatoeba,yelp,66
llama3.2,T2_SourceFT_TargetPT,yelp,coqa,62
llama3.2,T2_SourceFT_TargetPT,yelp,kde4,91
llama3.2,T2_SourceFT_TargetPT,yelp,squad,69
llama3.2,T2_SourceFT_TargetPT,yelp,sst2,54
llama3.2,T2_SourceFT_TargetPT,yelp,tatoeba,69
qwen2,T2_SourceFT_TargetPT,coqa,kde4,99
qwen2,T2_SourceFT_TargetPT,coqa,squad,80
qwen2,T2_SourceFT_TargetPT,coqa,sst2,92
qwen2,T2_SourceFT_TargetPT,coqa,tatoeba,88
qwen2,T2_SourceFT_TargetPT,coqa,yelp,73
qwen2,T2_SourceFT_TargetPT,kde4,coqa,79
qwen2,T2_SourceFT_TargetPT,kde4,squad,69
qwen2,T2_SourceFT_TargetPT,kde4,sst2,72
qwen2,T2_SourceFT_TargetPT,kde4,tatoeba,68
qwen2,T2_SourceFT_TargetPT,kde4,yelp,66
qwen2,T2_SourceFT_TargetPT,squad,coqa,80
qwen2,T2_SourceFT_TargetPT,squad,kde4,94
qwen2,T2_SourceFT_TargetPT,squad,sst2,90
qwen2,T2_SourceFT_TargetPT,squad,tatoeba,83
qwen2,T2_SourceFT_TargetPT,squad,yelp,67
qwen2,T2_SourceFT_TargetPT,sst2,coqa,77
qwen2,T2_SourceFT_TargetPT,sst2,kde4,85
qwen2,T2_SourceFT_TargetPT,sst2,squad,74
qwen2,T2_SourceFT_TargetPT,sst2,tatoeba,65
qwen2,T2_SourceFT_TargetPT,sst2,yelp,59
qwen2,T2_SourceFT_TargetPT,tatoeba,coqa,73
qwen2,T2_SourceFT_TargetPT,tatoeba,kde4,89
qwen2,T2_SourceFT_TargetPT,tatoeba,squad,68
qwen2,T2_SourceFT_TargetPT,tatoeba,sst2,70
qwen2,T2_SourceFT_TargetPT,tatoeba,yelp,57
qwen2,T2_SourceFT_TargetPT,yelp,coqa,81
qwen2,T2_SourceFT_TargetPT,yelp,kde4,90
qwen2,T2_SourceFT_TargetPT,yelp,squad,73
qwen2,T2_SourceFT_TargetPT,yelp,sst2,81
qwen2,T2_SourceFT_TargetPT,yelp,tatoeba,72
gpt2,T2_SourceFT_TargetPT,coqa,coqa,101
gpt2,T2_SourceFT_TargetPT,kde4,kde4,114
gpt2,T2_SourceFT_TargetPT,squad,squad,111
gpt2,T2_SourceFT_TargetPT,sst2,sst2,102
gpt2,T2_SourceFT_TargetPT,tatoeba,tatoeba,115
gpt2,T2_SourceFT_TargetPT,yelp,yelp,107
