edge,score
input->a0.h1<v>,0.025268555
input->a0.h2<k>,0.014526367
input->a0.h3<v>,0.032226562
input->a0.h4<q>,0.015563965
input->a0.h4<v>,0.07421875
input->a0.h5<q>,0.061523438
input->a0.h5<k>,0.040039062
input->a0.h5<v>,0.091796875
input->a0.h6<k>,0.018432617
input->a0.h6<v>,0.17089844
input->a0.h7<v>,-0.07128906
input->a0.h8<q>,-0.015319824
input->a0.h8<k>,0.019165039
input->a0.h8<v>,-0.12792969
input->a0.h9<k>,0.020507812
input->a0.h9<v>,-0.03881836
input->a0.h10<q>,-0.012451172
input->a0.h10<k>,0.018798828
input->a0.h10<v>,-0.05493164
input->a0.h11<v>,-0.072753906
input->m0,0.734375
a0.h0->m0,-0.028808594
a0.h1->m0,-0.087890625
a0.h4->m0,0.072753906
a0.h5->m0,0.036376953
a0.h6->m0,-0.04711914
a0.h7->m0,-0.06933594
a0.h8->m0,-0.048828125
a0.h10->m0,-0.03930664
a0.h11->m0,-0.019897461
m0->a1.h0<k>,0.014404297
m0->a1.h0<v>,-0.016601562
m0->a1.h1<k>,-0.01940918
m0->a1.h1<v>,-0.037109375
m0->a1.h2<v>,-0.017211914
m0->a1.h3<q>,-0.013366699
m0->a1.h3<k>,-0.025146484
m0->a1.h3<v>,0.032226562
m0->a1.h4<q>,0.014404297
m0->a1.h4<v>,-0.023071289
m0->a1.h5<q>,-0.013061523
m0->a1.h5<k>,-0.02746582
m0->a1.h5<v>,-0.044677734
m0->a1.h6<q>,-0.01586914
m0->a1.h6<v>,0.034179688
m0->a1.h7<q>,-0.03125
m0->a1.h8<q>,0.028930664
m0->a1.h8<v>,0.020629883
m0->a1.h9<q>,0.07373047
m0->a1.h9<v>,-0.022827148
m0->a1.h11<v>,0.053955078
input->m1,0.033691406
a0.h7->m1,-0.01574707
m0->m1,1.1640625
a1.h7->m1,-0.014587402
m0->a2.h0<k>,-0.01574707
m0->a2.h1<k>,-0.05810547
m0->a2.h1<v>,0.04272461
m0->a2.h2<q>,0.023803711
m0->a2.h2<v>,0.026977539
m0->a2.h3<q>,-0.024902344
m0->a2.h3<v>,-0.03564453
m0->a2.h4<q>,-0.012451172
m0->a2.h5<q>,-0.0154418945
m0->a2.h5<k>,-0.022460938
m0->a2.h5<v>,-0.021362305
m0->a2.h7<k>,0.019165039
m0->a2.h7<v>,0.034179688
m0->a2.h8<v>,0.017456055
m0->a2.h9<q>,-0.030151367
m0->a2.h9<v>,-0.036865234
m0->a2.h10<v>,-0.036865234
m0->a2.h11<k>,-0.017089844
m0->a2.h11<v>,0.029174805
m1->a2.h1<q>,-0.016235352
m1->a2.h9<v>,-0.024169922
m1->a2.h10<v>,-0.014221191
m1->a2.h11<q>,-0.030517578
input->m2,-0.02746582
a1.h1->m2,-0.024414062
m1->m2,0.07470703
a2.h3->m2,0.013061523
a2.h5->m2,0.014404297
a2.h10->m2,-0.01940918
input->a3.h2<k>,-0.015563965
input->a3.h3<k>,0.014770508
input->a3.h7<k>,0.024536133
m0->a3.h1<v>,0.016113281
m0->a3.h2<k>,-0.014404297
m0->a3.h2<v>,-0.020629883
m0->a3.h6<q>,0.015380859
m0->a3.h6<v>,0.015625
m0->a3.h7<k>,-0.018310547
m0->a3.h8<k>,0.021606445
m0->a3.h8<v>,-0.023071289
m0->a3.h10<k>,-0.0154418945
m1->a3.h1<q>,0.021240234
m1->a3.h2<q>,0.02331543
m1->a3.h3<q>,-0.019165039
m1->a3.h3<k>,0.027954102
m1->a3.h6<q>,0.014770508
m1->a3.h6<k>,-0.014160156
m1->a3.h7<k>,0.0134887695
m1->a3.h7<v>,-0.017700195
m1->a3.h9<q>,0.015136719
m2->a3.h0<q>,0.013183594
m2->a3.h6<v>,-0.016601562
m2->a3.h7<q>,0.014770508
m2->a3.h10<k>,-0.013061523
