edge,score
input->a0.h0<q>,0.015563965
input->a0.h1<v>,0.03491211
input->a0.h2<k>,0.02722168
input->a0.h4<v>,0.048095703
input->a0.h5<q>,0.051513672
input->a0.h5<k>,0.032470703
input->a0.h5<v>,0.068359375
input->a0.h6<v>,0.115234375
input->a0.h7<v>,-0.050048828
input->a0.h8<k>,0.029174805
input->a0.h8<v>,-0.080566406
input->a0.h9<k>,0.027709961
input->a0.h9<v>,-0.027709961
input->a0.h10<k>,0.022338867
input->a0.h10<v>,-0.030761719
input->a0.h11<v>,-0.061767578
input->m0,0.76953125
a0.h0->m0,-0.020751953
a0.h1->m0,-0.078125
a0.h3->m0,-0.020751953
a0.h4->m0,0.100097656
a0.h5->m0,0.04711914
a0.h6->m0,-0.064453125
a0.h7->m0,-0.08544922
a0.h8->m0,-0.045654297
a0.h9->m0,0.016479492
a0.h10->m0,-0.03466797
m0->a1.h1<k>,-0.022949219
m0->a1.h1<v>,-0.028076172
m0->a1.h2<v>,-0.020507812
m0->a1.h3<k>,-0.014038086
m0->a1.h3<v>,0.018432617
m0->a1.h4<q>,0.016235352
m0->a1.h4<v>,-0.018310547
m0->a1.h5<k>,-0.02355957
m0->a1.h5<v>,-0.0546875
m0->a1.h6<q>,-0.028076172
m0->a1.h6<k>,-0.018920898
m0->a1.h6<v>,0.03125
m0->a1.h7<q>,-0.038085938
m0->a1.h8<q>,0.018310547
m0->a1.h8<v>,0.015136719
m0->a1.h9<q>,0.06982422
m0->a1.h9<v>,-0.021240234
m0->a1.h11<v>,0.055419922
input->m1,0.024902344
a0.h7->m1,-0.01586914
a0.h9->m1,-0.018676758
m0->m1,1.2265625
a1.h7->m1,-0.014770508
m0->a2.h0<k>,-0.013916016
m0->a2.h0<v>,-0.014587402
m0->a2.h1<k>,-0.06982422
m0->a2.h1<v>,0.045410156
m0->a2.h2<q>,0.025634766
m0->a2.h2<v>,0.030273438
m0->a2.h3<q>,-0.020751953
m0->a2.h3<v>,-0.024902344
m0->a2.h5<q>,-0.01574707
m0->a2.h5<k>,-0.016357422
m0->a2.h5<v>,-0.02734375
m0->a2.h6<k>,-0.022338867
m0->a2.h6<v>,0.014221191
m0->a2.h7<k>,0.020751953
m0->a2.h7<v>,0.044677734
m0->a2.h9<q>,-0.030639648
m0->a2.h9<v>,-0.021850586
m0->a2.h10<v>,-0.030761719
m0->a2.h11<v>,0.01977539
m1->a2.h1<q>,-0.014709473
m1->a2.h5<v>,-0.015075684
m1->a2.h6<q>,-0.014526367
m1->a2.h6<v>,0.014709473
m1->a2.h10<v>,-0.021728516
m1->a2.h11<q>,-0.015991211
input->m2,-0.025268555
m0->m2,0.111328125
a1.h1->m2,-0.026977539
m1->m2,0.12011719
a2.h10->m2,-0.021606445
input->a3.h2<k>,-0.014282227
input->a3.h3<k>,0.014465332
input->a3.h7<k>,0.01965332
m0->a3.h0<v>,0.01574707
m0->a3.h1<k>,-0.016845703
m0->a3.h1<v>,0.025146484
m0->a3.h2<v>,-0.018310547
m0->a3.h6<q>,0.018798828
m0->a3.h6<v>,0.019042969
m0->a3.h8<q>,0.015563965
m0->a3.h8<k>,0.028930664
m0->a3.h8<v>,-0.026733398
m1->a3.h1<q>,0.019897461
m1->a3.h1<v>,0.017211914
m1->a3.h2<q>,0.024536133
m1->a3.h3<q>,-0.023803711
m1->a3.h3<k>,0.018066406
m1->a3.h6<q>,0.016967773
m1->a3.h7<k>,0.015075684
m1->a3.h7<v>,-0.016845703
m1->a3.h8<q>,0.014038086
m1->a3.h8<k>,0.014709473
m2->a3.h6<k>,0.015319824
m2->a3.h6<v>,-0.016967773
m2->a3.h10<k>,-0.0138549805
m2->a3.h10<v>,0.014526367
m2->a3.h11<v>,0.016601562
input->m3,0.05126953
a0.h1->m3,-0.016357422
a0.h4->m3,-0.015563965
m0->m3,0.29296875
m1->m3,0.014831543
a2.h3->m3,0.019897461
a2.h10->m3,-0.016235352
a3.h6->m3,-0.01586914
input->a4.h6<k>,-0.017211914
m0->a4.h1<q>,-0.021972656
m0->a4.h1<k>,-0.018676758
m0->a4.h2<v>,0.016845703
m0->a4.h3<k>,-0.015625
m0->a4.h5<q>,-0.017333984
m0->a4.h5<v>,-0.016113281
m0->a4.h6<k>,0.019042969
m0->a4.h7<v>,0.0154418945
m0->a4.h8<q>,-0.034179688
m0->a4.h8<v>,0.014404297
m0->a4.h9<v>,-0.018066406
m0->a4.h10<q>,-0.029174805
m0->a4.h10<k>,-0.029785156
m0->a4.h11<v>,-0.030883789
m1->a4.h1<q>,-0.014831543
m1->a4.h6<q>,0.026245117
m1->a4.h8<q>,-0.014038086
m1->a4.h9<q>,-0.021728516
m2->a4.h2<v>,0.015319824
m2->a4.h8<k>,-0.024169922
m2->a4.h8<v>,0.01586914
m2->a4.h10<q>,-0.014770508
m3->a4.h6<q>,0.015380859
m3->a4.h6<v>,-0.0234375
m3->a4.h8<q>,-0.01928711
m3->a4.h9<v>,-0.014038086
input->m4,0.017944336
a0.h5->m4,0.014831543
m0->m4,-0.1484375
a1.h10->m4,0.014038086
m1->m4,0.05126953
a2.h6->m4,-0.016723633
m2->m4,-0.023803711
a3.h6->m4,-0.015258789
a3.h8->m4,0.01586914
m3->m4,-0.028442383
a4.h11->m4,0.021606445
m0->a5.h3<v>,0.030273438
m0->a5.h4<k>,0.018188477
m0->a5.h6<k>,0.018310547
m0->a5.h6<v>,-0.014892578
m0->a5.h8<q>,-0.015014648
m0->a5.h10<q>,-0.018066406
m1->a5.h3<v>,-0.020263672
m2->a5.h9<q>,-0.013671875
m2->a5.h10<q>,0.024536133
m3->a5.h10<q>,-0.016235352
m4->a5.h3<v>,-0.015991211
m4->a5.h4<v>,0.017456055
m4->a5.h6<q>,-0.020019531
m4->a5.h6<v>,-0.015991211
m4->a5.h8<k>,-0.020751953
m4->a5.h10<v>,-0.018310547
input->m5,-0.016601562
m0->m5,-0.31445312
