edge,score
input->a0.h0<q>,0.091796875
input->a0.h0<k>,0.123046875
input->a0.h0<v>,0.08886719
input->a0.h1<q>,-0.049804688
input->a0.h1<k>,0.9140625
input->a0.h1<v>,-0.13085938
input->a0.h2<q>,0.061035156
input->a0.h2<k>,0.04321289
input->a0.h3<v>,0.25
input->a0.h4<q>,0.029663086
input->a0.h4<k>,0.040039062
input->a0.h4<v>,0.15820312
input->a0.h5<q>,0.016723633
input->a0.h5<k>,0.12207031
input->a0.h5<v>,0.03857422
input->a0.h6<q>,-0.071777344
input->a0.h6<k>,0.021606445
input->a0.h6<v>,0.15136719
input->a0.h7<q>,-0.115234375
input->a0.h7<k>,-0.111816406
input->a0.h7<v>,-0.033447266
input->a0.h8<q>,0.09667969
input->a0.h8<k>,-0.018066406
input->a0.h8<v>,0.08105469
input->a0.h9<k>,-0.018798828
input->a0.h9<v>,0.061767578
input->a0.h10<q>,-0.6015625
input->a0.h10<k>,-0.09814453
input->a0.h10<v>,-0.28320312
input->a0.h11<q>,-0.022216797
input->a0.h11<k>,0.079589844
input->a0.h11<v>,-0.06738281
input->m0,-0.033691406
a0.h0->m0,-0.025268555
a0.h1->m0,-0.28320312
a0.h2->m0,0.047607422
a0.h3->m0,0.02331543
a0.h4->m0,-0.14453125
a0.h5->m0,0.032226562
a0.h7->m0,0.025024414
a0.h11->m0,0.020263672
input->a1.h3<q>,-0.018066406
input->a1.h6<q>,-0.05908203
input->a1.h10<q>,-0.08496094
input->a1.h11<v>,-0.023803711
a0.h3->a1.h10<q>,-0.05102539
a0.h5->a1.h10<q>,-0.028076172
a0.h10->a1.h10<q>,0.018798828
m0->a1.h0<q>,-0.026855469
m0->a1.h0<k>,-0.17480469
m0->a1.h0<v>,0.031982422
m0->a1.h1<q>,-0.09082031
m0->a1.h1<k>,0.06640625
m0->a1.h1<v>,-0.05834961
m0->a1.h2<q>,-0.024658203
m0->a1.h3<q>,-0.11767578
m0->a1.h4<q>,-0.025146484
m0->a1.h4<k>,0.035888672
m0->a1.h5<q>,0.06640625
m0->a1.h5<v>,0.037109375
m0->a1.h6<q>,-0.32421875
m0->a1.h6<k>,-0.18261719
m0->a1.h6<v>,0.02746582
m0->a1.h7<q>,-0.099609375
m0->a1.h8<q>,0.05053711
m0->a1.h9<q>,0.087890625
m0->a1.h10<q>,-0.31835938
m0->a1.h10<v>,-0.032226562
m0->a1.h11<q>,-0.13183594
m0->a1.h11<v>,-0.12597656
input->m1,0.103515625
a0.h1->m1,-0.038330078
a0.h3->m1,-0.02734375
a0.h5->m1,-0.01965332
m0->m1,0.53125
a1.h5->m1,-0.123535156
a1.h6->m1,-0.05053711
input->a2.h3<q>,0.06640625
input->a2.h3<k>,0.047607422
input->a2.h6<k>,0.020996094
input->a2.h6<v>,0.025146484
input->a2.h7<q>,0.026855469
input->a2.h10<q>,0.026733398
input->a2.h10<k>,0.025146484
a0.h1->a2.h3<k>,0.020751953
a0.h1->a2.h6<q>,0.018432617
a0.h3->a2.h3<k>,0.03930664
a0.h4->a2.h6<q>,0.020629883
a0.h5->a2.h6<q>,0.021728516
m0->a2.h0<q>,-0.041992188
m0->a2.h2<q>,0.026611328
m0->a2.h2<k>,-0.10253906
m0->a2.h3<q>,-0.11230469
m0->a2.h3<k>,0.05834961
m0->a2.h4<q>,-0.044921875
m0->a2.h4<k>,0.01940918
m0->a2.h4<v>,-0.055664062
m0->a2.h5<q>,0.028930664
m0->a2.h5<k>,-0.04248047
m0->a2.h5<v>,-0.068847656
m0->a2.h6<q>,-0.08984375
m0->a2.h6<k>,0.043701172
m0->a2.h6<v>,-0.09082031
m0->a2.h7<q>,-0.08300781
m0->a2.h7<k>,0.08886719
m0->a2.h7<v>,-0.053955078
m0->a2.h8<v>,0.021972656
m0->a2.h9<q>,-0.032470703
m0->a2.h9<v>,0.027832031
m0->a2.h10<q>,-0.07470703
m0->a2.h10<k>,0.09765625
m0->a2.h10<v>,0.060058594
m0->a2.h11<q>,-0.11816406
m0->a2.h11<k>,0.096191406
m0->a2.h11<v>,-0.051513672
a1.h5->a2.h3<q>,0.018310547
a1.h5->a2.h3<k>,0.017456055
a1.h5->a2.h6<q>,-0.042236328
a1.h5->a2.h6<v>,0.017211914
a1.h11->a2.h6<q>,-0.019165039
m1->a2.h0<q>,-0.020263672
m1->a2.h2<q>,0.030639648
m1->a2.h2<k>,-0.030029297
m1->a2.h3<q>,0.111816406
m1->a2.h3<k>,0.07421875
m1->a2.h5<q>,0.045654297
m1->a2.h5<v>,-0.068359375
m1->a2.h6<q>,-0.26367188
m1->a2.h6<v>,0.049316406
m1->a2.h7<q>,-0.029785156
m1->a2.h7<k>,0.03930664
m1->a2.h7<v>,-0.018798828
m1->a2.h9<k>,0.02746582
m1->a2.h10<q>,-0.14160156
m1->a2.h10<v>,-0.02331543
m1->a2.h11<q>,-0.095703125
m1->a2.h11<k>,0.024536133
input->m2,-0.100097656
a0.h1->m2,-0.084472656
a0.h3->m2,0.021118164
a0.h4->m2,-0.037597656
a0.h5->m2,-0.037109375
m0->m2,-0.32226562
a1.h0->m2,0.030517578
a1.h5->m2,0.048095703
a1.h11->m2,-0.044677734
m1->m2,0.546875
a2.h1->m2,0.032470703
a2.h11->m2,-0.018432617
input->a3.h2<v>,0.030639648
input->a3.h6<k>,0.016845703
input->a3.h10<k>,0.019165039
input->a3.h11<k>,-0.030761719
a0.h1->a3.h10<q>,0.029418945
a0.h5->a3.h10<q>,0.016845703
m0->a3.h0<q>,-0.10107422
m0->a3.h0<v>,-0.053955078
m0->a3.h2<q>,0.032226562
m0->a3.h2<k>,-0.016845703
m0->a3.h2<v>,0.21582031
m0->a3.h3<q>,-0.063964844
m0->a3.h3<v>,-0.024902344
m0->a3.h4<q>,0.06738281
m0->a3.h4<k>,0.019897461
m0->a3.h6<q>,-0.031982422
m0->a3.h6<k>,-0.06738281
m0->a3.h6<v>,0.050048828
m0->a3.h7<v>,-0.025878906
m0->a3.h8<k>,-0.064453125
m0->a3.h8<v>,-0.11425781
m0->a3.h10<q>,-0.34179688
m0->a3.h10<k>,0.09667969
m0->a3.h11<k>,0.103027344
m0->a3.h11<v>,0.017089844
a1.h5->a3.h10<k>,0.024169922
a1.h11->a3.h10<q>,0.016845703
m1->a3.h0<q>,-0.092285156
m1->a3.h0<v>,-0.041015625
m1->a3.h1<v>,-0.022949219
m1->a3.h2<k>,0.07080078
