edge,score
input->a0.h0<v>,-0.064453125
input->a0.h1<v>,-0.080078125
input->a0.h2<q>,0.02355957
input->a0.h2<k>,0.037353516
input->a0.h2<v>,-0.03173828
input->a0.h3<q>,0.04345703
input->a0.h3<k>,0.06542969
input->a0.h3<v>,0.026611328
input->a0.h4<q>,0.015625
input->a0.h4<v>,0.087890625
input->a0.h5<q>,0.075683594
input->a0.h5<k>,0.056884766
input->a0.h5<v>,0.09375
input->a0.h6<v>,0.14550781
input->a0.h7<v>,-0.123535156
input->a0.h8<q>,0.020629883
input->a0.h8<v>,-0.10888672
input->a0.h9<q>,0.025878906
input->a0.h9<v>,-0.14257812
input->a0.h10<k>,0.037597656
input->a0.h10<v>,0.068847656
input->a0.h11<v>,-0.037841797
input->m0,1.53125
a0.h0->m0,-0.02722168
a0.h1->m0,-0.024047852
a0.h6->m0,0.026977539
a0.h7->m0,0.038085938
a0.h9->m0,0.025146484
a0.h10->m0,0.13085938
a0.h11->m0,0.016601562
m0->a1.h0<v>,-0.016845703
m0->a1.h1<k>,-0.020629883
m0->a1.h4<v>,0.023803711
m0->a1.h5<q>,-0.020751953
m0->a1.h5<v>,-0.08691406
m0->a1.h6<v>,0.06591797
m0->a1.h7<k>,-0.018554688
m0->a1.h7<v>,-0.01940918
m0->a1.h8<v>,-0.036621094
m0->a1.h9<v>,0.021850586
m0->a1.h10<v>,0.028076172
m0->a1.h11<q>,-0.016357422
a0.h7->m1,-0.015319824
m0->m1,0.38085938
m0->a2.h1<q>,0.025268555
m0->a2.h1<k>,0.014709473
m0->a2.h1<v>,0.018554688
m0->a2.h4<q>,0.017822266
m0->a2.h6<v>,0.033691406
m0->a2.h7<v>,0.023803711
m0->a2.h8<v>,-0.048095703
m0->a2.h9<q>,-0.020751953
m0->a2.h9<v>,0.025512695
m0->a2.h11<q>,-0.020751953
m0->a2.h11<v>,-0.01977539
m1->a2.h1<v>,-0.055419922
m1->a2.h5<q>,0.025268555
m1->a2.h5<v>,-0.015625
m0->m2,-0.10888672
m1->m2,0.11816406
a2.h3->m2,-0.015258789
a2.h5->m2,-0.014465332
m0->a3.h0<q>,-0.068847656
m0->a3.h0<k>,-0.026123047
m0->a3.h1<q>,0.037353516
m0->a3.h1<k>,0.015991211
m0->a3.h1<v>,0.020507812
m0->a3.h2<k>,0.014831543
m0->a3.h2<v>,0.027954102
m0->a3.h3<q>,0.017456055
m0->a3.h3<k>,-0.04321289
m0->a3.h5<q>,-0.021606445
m0->a3.h5<v>,-0.017089844
m0->a3.h6<q>,0.015563965
m0->a3.h6<k>,-0.017456055
m0->a3.h7<k>,0.015319824
m0->a3.h7<v>,0.032470703
m0->a3.h8<q>,-0.041015625
m0->a3.h8<k>,0.037841797
m0->a3.h8<v>,-0.018432617
m0->a3.h9<q>,-0.037353516
m0->a3.h10<q>,0.03515625
m1->a3.h0<k>,-0.04248047
m1->a3.h1<v>,-0.017211914
m1->a3.h2<k>,0.01940918
m1->a3.h5<q>,-0.019042969
m1->a3.h6<q>,0.036621094
m1->a3.h6<k>,-0.043945312
m1->a3.h7<q>,0.020019531
m1->a3.h8<v>,-0.018920898
m1->a3.h9<q>,-0.064941406
m1->a3.h9<k>,0.014526367
m1->a3.h10<q>,0.049072266
m2->a3.h0<q>,0.018554688
m2->a3.h0<k>,-0.0154418945
m2->a3.h1<v>,-0.033691406
m2->a3.h5<v>,-0.015625
m0->m3,0.33984375
a1.h1->m3,0.021850586
m1->m3,0.022216797
a2.h8->m3,-0.020263672
m0->a4.h0<k>,-0.020507812
m0->a4.h1<k>,0.017456055
m0->a4.h4<q>,0.028930664
m0->a4.h4<k>,0.018920898
m0->a4.h5<q>,0.033203125
m0->a4.h5<k>,-0.022216797
